State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Kurnool,Adoni,Ajwan,Other,FAQ,2007-01-23,2800,5109,4159,137
Andhra Pradesh,Kurnool,Adoni,Ajwan,Other,FAQ,2007-01-29,3100,5333,4429,137
Andhra Pradesh,Kurnool,Adoni,Ajwan,Other,FAQ,2007-02-15,4100,6150,4806,137
Andhra Pradesh,Kurnool,Adoni,Ajwan,Other,FAQ,2007-03-05,2800,5209,4209,137
Andhra Pradesh,Kurnool,Adoni,Ajwan,Other,FAQ,2007-03-10,2140,5650,4501,137
Andhra Pradesh,Kurnool,Adoni,Ajwan,Other,FAQ,2007-03-22,5519,5901,5519,137
Andhra Pradesh,Kurnool,Adoni,Ajwan,Other,FAQ,2007-03-23,3800,4801,3800,137
Andhra Pradesh,Kurnool,Adoni,Ajwan,Other,FAQ,2007-03-26,2719,6160,5219,137
Andhra Pradesh,Kurnool,Adoni,Ajwan,Other,FAQ,2007-04-10,5300,5300,5300,137
Andhra Pradesh,Kurnool,Kurnool,Ajwan,Other,FAQ,2007-01-17,3419,5364,4489,137
Andhra Pradesh,Kurnool,Kurnool,Ajwan,Other,FAQ,2007-01-18,1980,5414,4389,137
Andhra Pradesh,Kurnool,Kurnool,Ajwan,Other,FAQ,2007-02-13,3842,6988,5822,137
Andhra Pradesh,Kurnool,Kurnool,Ajwan,Other,FAQ,2007-02-22,2502,6531,5412,137
Andhra Pradesh,Kurnool,Kurnool,Ajwan,Other,FAQ,2007-03-01,2340,6502,4012,137
Andhra Pradesh,Kurnool,Kurnool,Ajwan,Other,FAQ,2007-03-06,2579,6118,4169,137
Andhra Pradesh,Kurnool,Kurnool,Ajwan,Other,FAQ,2007-03-12,2099,5946,4449,137
Andhra Pradesh,Kurnool,Kurnool,Ajwan,Other,FAQ,2007-04-02,2572,2732,2612,137
Andhra Pradesh,Kurnool,Kurnool,Ajwan,Other,FAQ,2007-04-03,3569,6428,5169,137
Andhra Pradesh,Kurnool,Kurnool,Ajwan,Other,FAQ,2007-04-27,4000,6118,5589,137
Andhra Pradesh,Kurnool,Kurnool,Ajwan,Other,FAQ,2007-08-17,3050,5346,5082,137
Andhra Pradesh,Kurnool,Kurnool,Ajwan,Other,FAQ,2007-09-25,2300,4040,2562,137
Andhra Pradesh,Kurnool,Kurnool,Ajwan,Other,FAQ,2007-10-05,1912,4000,3500,137
Gujarat,Amreli,Amreli,Ajwan,Other,FAQ,2007-01-04,4055,4360,4360,137
Gujarat,Amreli,Amreli,Ajwan,Other,FAQ,2007-01-31,3850,4375,4375,137
Gujarat,Amreli,Amreli,Ajwan,Other,FAQ,2007-02-07,3250,4420,4420,137
Gujarat,Amreli,Amreli,Ajwan,Other,FAQ,2007-04-17,5350,5350,5350,137
Gujarat,Amreli,Amreli,Ajwan,Other,FAQ,2007-04-18,2500,5755,5400,137
Gujarat,Amreli,Amreli,Ajwan,Other,FAQ,2007-05-23,5330,5350,5350,137
Gujarat,Amreli,Amreli,Ajwan,Other,FAQ,2007-06-23,4000,4000,4000,137
Gujarat,Banaskanth,Tharad,Ajwan,Other,FAQ,2007-05-10,2500,5005,4250,137
Gujarat,Banaskanth,Tharad,Ajwan,Other,FAQ,2007-06-07,2500,4125,3850,137
Gujarat,Banaskanth,Tharad,Ajwan,Other,FAQ,2007-06-13,4000,4500,4300,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-03-20,4000,6750,5550,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-05-04,4500,6000,5200,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-05-05,4000,5750,5270,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-05-30,4500,5815,5158,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-06-26,3500,4825,4163,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-07-18,2650,5305,3978,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-07-19,2715,4725,3720,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-07-24,4000,6300,5150,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-07-31,1705,2500,2103,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-11-06,2500,4750,3650,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-11-29,3500,5000,4200,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-12-05,4000,5750,4875,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-12-10,4500,6265,5390,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-12-24,5000,7000,6100,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-12-26,5000,7000,6000,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-12-29,4500,6520,5525,137
Gujarat,Mehsana,Unjha,Ajwan,Other,FAQ,2007-01-06,5225,5225,5225,137
Gujarat,Mehsana,Unjha,Ajwan,Other,FAQ,2007-04-19,5045,5755,5500,137
Gujarat,Mehsana,Unjha,Ajwan,Other,FAQ,2007-05-16,3975,4350,4125,137
Gujarat,Mehsana,Unjha,Ajwan,Other,FAQ,2007-07-04,4205,4205,4205,137
Gujarat,Mehsana,Unjha,Ajwan,Other,FAQ,2007-10-10,3500,3500,3500,137
Madhya Pradesh,Ashoknagar,Ashoknagar,Ajwan,Other,FAQ,2007-02-07,3961,4383,4383,137
Madhya Pradesh,Ashoknagar,Ashoknagar,Ajwan,Other,FAQ,2007-02-10,4001,4001,4001,137
Madhya Pradesh,Ashoknagar,Mungawali,Ajwan,Other,FAQ,2007-01-05,3146,3535,3535,137
Madhya Pradesh,Ashoknagar,Mungawali,Ajwan,Other,FAQ,2007-01-06,2412,3711,3711,137
Madhya Pradesh,Ashoknagar,Mungawali,Ajwan,Other,FAQ,2007-01-08,3200,3490,3490,137
Madhya Pradesh,Ashoknagar,Mungawali,Ajwan,Other,FAQ,2007-02-01,3600,4171,4171,137
Madhya Pradesh,Ashoknagar,Mungawali,Ajwan,Other,FAQ,2007-04-05,1940,1940,1940,137
