State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Chattisgarh,Jashpur,Kunkuri,Alasande Gram,Alasande Gram,FAQ,2009-04-10,3000,3000,3000.0,281
Karnataka,Bagalkot,Bagalakot,Alasande Gram,Alasande Gram,FAQ,2009-04-02,2422,2426,2426.0,281
Karnataka,Bagalkot,Bagalakot,Alasande Gram,Alasande Gram,FAQ,2009-04-11,2525,2527,2527.0,281
Karnataka,Bagalkot,Bagalakot,Alasande Gram,Alasande Gram,FAQ,2009-04-15,2545,2550,2546.0,281
Karnataka,Bagalkot,Bagalakot,Alasande Gram,Alasande Gram,FAQ,2009-04-17,2475,2475,2475.0,281
Karnataka,Bagalkot,Bagalakot,Alasande Gram,Alasande Gram,FAQ,2009-05-26,2101,2211,2151.0,281
Karnataka,Bagalkot,Bagalakot,Alasande Gram,Alasande Gram,Medium,2009-06-01,2125,2205,2205.0,281
Karnataka,Bagalkot,Bagalakot,Alasande Gram,Alasande Gram,Medium,2009-06-15,2162,2162,2162.0,281
Karnataka,Bagalkot,Bagalakot,Alasande Gram,Alasande Gram,Medium,2009-07-28,2181,2181,2181.0,281
Karnataka,Bagalkot,Bagalakot,Alasande Gram,Alasande Gram,Medium,2009-08-24,2201,2201,2201.0,281
Karnataka,Bangalore,Bangalore,Alasande Gram,Alasande Gram,FAQ,2009-01-12,2500,2800,2700.0,281
Karnataka,Bangalore,Bangalore,Alasande Gram,Alasande Gram,FAQ,2009-01-13,2500,2800,2700.0,281
Karnataka,Bangalore,Bangalore,Alasande Gram,Alasande Gram,FAQ,2009-01-23,2500,2800,2700.0,281
Karnataka,Bangalore,Bangalore,Alasande Gram,Alasande Gram,FAQ,2009-01-28,2500,2800,2700.0,281
Karnataka,Bangalore,Bangalore,Alasande Gram,Alasande Gram,FAQ,2009-01-31,2500,2800,2700.0,281
Karnataka,Bangalore,Bangalore,Alasande Gram,Alasande Gram,FAQ,2009-02-05,2500,2800,2700.0,281
Karnataka,Bangalore,Bangalore,Alasande Gram,Alasande Gram,FAQ,2009-02-12,2500,2800,2700.0,281
Karnataka,Bangalore,Bangalore,Alasande Gram,Alasande Gram,FAQ,2009-02-20,2500,2800,2700.0,281
