State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Bihar,Madhepura,Bihariganj,Almond(Badam),Other,FAQ,2015-06-12,32000,38000,34000.0,325
Kerala,Kollam,Sasthamkotta,Almond(Badam),Other,FAQ,2015-02-04,1600,1800,1700.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-01-04,6000,6500,6200.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-01-11,6000,6500,6200.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-01-21,6000,6500,6200.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-01-23,6000,6500,6200.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-02-02,6000,6500,6200.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-02-16,6000,6500,6200.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-02-20,6000,6500,6200.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-02-25,6000,6500,6200.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-02-26,6000,6500,6200.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-03-08,6000,6500,6200.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-03-12,6000,6500,6200.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-03-16,6000,6500,6200.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-03-19,6000,6500,6200.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-03-20,6000,6500,6200.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-03-21,6000,6500,6200.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-03-23,6000,6500,6200.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-03-31,5000,6000,5500.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-04-15,5000,6000,5500.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-04-17,5000,6000,5500.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-04-26,5000,6000,5500.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-05-03,5000,6000,5500.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-05-11,5000,6000,5500.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-05-12,5000,6000,5500.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-05-22,5000,6000,5500.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-07-12,4000,5000,4500.0,325
Odisha,Angul,Angul,Almond(Badam),Other,FAQ,2015-07-26,4000,5000,4500.0,325
Odisha,Angul,Angul(Jarapada),Almond(Badam),Other,FAQ,2015-01-05,6000,6500,6200.0,325
Odisha,Angul,Angul(Jarapada),Almond(Badam),Other,FAQ,2015-01-21,6000,6500,6200.0,325
Odisha,Angul,Angul(Jarapada),Almond(Badam),Other,FAQ,2015-02-25,6000,6500,6200.0,325
Odisha,Angul,Angul(Jarapada),Almond(Badam),Other,FAQ,2015-03-05,6000,6500,6200.0,325
Odisha,Angul,Angul(Jarapada),Almond(Badam),Other,FAQ,2015-03-09,6000,6500,6200.0,325
Odisha,Angul,Angul(Jarapada),Almond(Badam),Other,FAQ,2015-03-23,6000,6500,6200.0,325
Odisha,Angul,Angul(Jarapada),Almond(Badam),Other,FAQ,2015-04-09,5000,6000,5500.0,325
Odisha,Angul,Angul(Jarapada),Almond(Badam),Other,FAQ,2015-04-20,5000,6000,5500.0,325
Odisha,Angul,Angul(Jarapada),Almond(Badam),Other,FAQ,2015-04-29,5000,6000,5500.0,325
Odisha,Angul,Angul(Jarapada),Almond(Badam),Other,FAQ,2015-05-19,5000,6000,5500.0,325
Odisha,Angul,Angul(Jarapada),Almond(Badam),Other,FAQ,2015-05-26,5000,6000,5500.0,325
Odisha,Angul,Angul(Jarapada),Almond(Badam),Other,FAQ,2015-06-13,4500,5500,5000.0,325
Odisha,Angul,Angul(Jarapada),Almond(Badam),Other,FAQ,2015-07-09,4000,5000,4500.0,325
Odisha,Angul,Angul(Jarapada),Almond(Badam),Other,FAQ,2015-07-22,4000,5000,4500.0,325
West Bengal,Darjeeling,Karsiyang(Matigara),Almond(Badam),Other,FAQ,2015-07-20,1800,2000,1900.0,325
