State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-11-03,500,600,575,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-11-04,400,600,550,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-11-09,400,600,550,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-12-09,300,400,350,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-12-12,300,400,375,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-12-16,250,350,325,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-12-25,400,500,450,86
Gujarat,Botad,Botad,Amaranthus,Other,FAQ,2006-06-24,200,400,300,86
Gujarat,Botad,Botad,Amaranthus,Other,FAQ,2006-09-03,250,500,375,86
Gujarat,Botad,Botad,Amaranthus,Other,FAQ,2006-09-23,250,500,375,86
Gujarat,Botad,Botad,Amaranthus,Other,FAQ,2006-10-12,200,500,350,86
Gujarat,Botad,Botad,Amaranthus,Other,FAQ,2006-11-24,100,200,150,86
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,2006-02-15,400,500,450,86
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,2006-06-26,400,500,450,86
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,2006-07-05,400,500,450,86
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,2006-07-11,400,450,425,86
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,2006-07-12,400,500,450,86
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,2006-07-24,500,600,550,86
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,2006-07-27,400,500,450,86
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,2006-08-01,400,500,450,86
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,2006-08-19,400,500,450,86
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,2006-08-23,500,600,550,86
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,2006-09-02,400,500,450,86
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,2006-09-11,400,500,450,86
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,2006-09-21,500,600,550,86
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,2006-09-23,400,500,450,86
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,2006-09-27,400,500,450,86
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,2006-10-04,500,600,550,86
Kerala,Ernakulam,Piravam,Amaranthus,Amaranthus,FAQ,2006-05-17,0,0,950,86
