State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Kerala,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,2007-01-20,500,700,600,102
Kerala,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,2007-02-24,700,1000,850,102
Kerala,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,2007-05-28,800,1200,1000,102
Kerala,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,2007-07-09,1000,1200,1100,102
Kerala,Alleppey,Kayamkulam(Alleppey),Amphophalus,Other,FAQ,2007-12-06,600,800,700,102
Kerala,Alleppey,Kayamkulam(Alleppey),Amphophalus,Other,FAQ,2007-12-17,500,700,600,102
Kerala,Ernakulam,Aluva,Amphophalus,Other,FAQ,2007-12-01,550,550,550,102
Kerala,Ernakulam,Ernakulam,Amphophalus,Other,FAQ,2007-12-21,700,750,725.0,102
Kerala,Kollam,Kollam,Amphophalus,Other,FAQ,2007-06-19,1200,1200,1200.0,102
Kerala,Kollam,Sasthamkotta,Amphophalus,Amphophalus,FAQ,2007-12-12,1100,1200,1150.0,102
Kerala,Kottayam,Ettumanoor,Amphophalus,Other,FAQ,2007-01-11,700,900,800.0,102
Kerala,Kottayam,Ettumanoor,Amphophalus,Other,FAQ,2007-02-08,700,900,800.0,102
Kerala,Kottayam,Ettumanoor,Amphophalus,Other,FAQ,2007-02-22,700,900,800.0,102
Kerala,Kottayam,Ettumanoor,Amphophalus,Other,FAQ,2007-05-31,700,900,800.0,102
Kerala,Kottayam,Ettumanoor,Amphophalus,Other,FAQ,2007-07-05,900,1100,1000.0,102
Kerala,Kottayam,Ettumanoor,Amphophalus,Other,FAQ,2007-07-12,1300,1500,1400.0,102
Kerala,Kottayam,Ettumanoor,Amphophalus,Other,FAQ,2007-07-23,1300,1500,1400.0,102
Kerala,Kottayam,Ettumanoor,Amphophalus,Other,FAQ,2007-10-15,900,1100,1000.0,102
Kerala,Kottayam,Ettumanoor,Amphophalus,Other,FAQ,2007-11-29,750,850,800.0,102
Kerala,Kottayam,Kanjirappally,Amphophalus,Other,FAQ,2007-04-16,500,1000,800.0,102
Kerala,Kottayam,Kanjirappally,Amphophalus,Other,FAQ,2007-09-01,800,1400,1200.0,102
Kerala,Kottayam,Kanjirappally,Amphophalus,Other,FAQ,2007-09-29,600,1000,700.0,102
Kerala,Kottayam,Kuruppanthura,Amphophalus,Amphophalus,FAQ,2007-05-14,600,650,650.0,102
