State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Yamuna Nagar,Jagadhri,Apricot(Jardalu/Khumani),Other,Medium,2007-06-16,800,800,800,326
Haryana,Yamuna Nagar,Jagadhri,Apricot(Jardalu/Khumani),Other,Medium,2007-06-26,800,2000,1400,326
Haryana,Yamuna Nagar,Jagadhri,Apricot(Jardalu/Khumani),Other,Medium,2007-06-28,800,1000,1000,326
Haryana,Yamuna Nagar,Jagadhri,Apricot(Jardalu/Khumani),Other,Medium,2007-07-02,1000,1000,1000,326
Haryana,Yamuna Nagar,Yamuna Nagar,Apricot(Jardalu/Khumani),Other,Medium,2007-05-13,800,1200,1000,326
Haryana,Yamuna Nagar,Yamuna Nagar,Apricot(Jardalu/Khumani),Other,Medium,2007-05-20,1000,2000,1500,326
Haryana,Yamuna Nagar,Yamuna Nagar,Apricot(Jardalu/Khumani),Other,Medium,2007-05-25,1000,1500,1200,326
Haryana,Yamuna Nagar,Yamuna Nagar,Apricot(Jardalu/Khumani),Other,Medium,2007-06-06,600,1800,1200,326
Haryana,Yamuna Nagar,Yamuna Nagar,Apricot(Jardalu/Khumani),Other,Medium,2007-06-09,500,1000,750,326
Haryana,Yamuna Nagar,Yamuna Nagar,Apricot(Jardalu/Khumani),Other,Medium,2007-06-10,600,1400,1000,326
Haryana,Yamuna Nagar,Yamuna Nagar,Apricot(Jardalu/Khumani),Other,Medium,2007-06-15,500,800,700,326
Haryana,Yamuna Nagar,Yamuna Nagar,Apricot(Jardalu/Khumani),Other,Medium,2007-06-18,700,1000,900,326
Haryana,Yamuna Nagar,Yamuna Nagar,Apricot(Jardalu/Khumani),Other,Medium,2007-06-26,1500,2200,1800,326
Haryana,Yamuna Nagar,Yamuna Nagar,Apricot(Jardalu/Khumani),Other,Medium,2007-07-01,1000,1300,1150,326
Haryana,Yamuna Nagar,Yamuna Nagar,Apricot(Jardalu/Khumani),Other,Medium,2007-07-09,2000,2800,2400,326
Himachal Pradesh,Kullu,Bhuntar,Apricot(Jardalu/Khumani),Other,Medium,2007-05-31,1500,2500,2000,326
Himachal Pradesh,Kullu,Bhuntar,Apricot(Jardalu/Khumani),Other,Medium,2007-06-06,1000,1500,1300,326
Himachal Pradesh,Kullu,Kullu,Apricot(Jardalu/Khumani),Other,Medium,2007-06-18,200,500,400,326
Himachal Pradesh,Kullu,Kullu,Apricot(Jardalu/Khumani),Other,Medium,2007-06-27,300,800,600,326
Himachal Pradesh,Kullu,Kullu,Apricot(Jardalu/Khumani),Other,Medium,2007-07-06,300,600,550,326
Himachal Pradesh,Kullu,Kullu(Chauri Bihal),Apricot(Jardalu/Khumani),Other,Medium,2007-07-02,700,1100,900,326
Himachal Pradesh,Kullu,Kullu(Patli Kuhal),Apricot(Jardalu/Khumani),Other,Medium,2007-08-29,500,1900,1100,326
Punjab,Ludhiana,Ludhiana,Apricot(Jardalu/Khumani),Other,Medium,2007-05-26,600,1400,1000,326
Punjab,Ludhiana,Ludhiana,Apricot(Jardalu/Khumani),Other,Medium,2007-06-11,500,1100,750,326
Uttrakhand,Nanital,Haldwani,Apricot(Jardalu/Khumani),Other,Medium,2007-06-03,300,800,700,326
Himachal Pradesh,Kullu,Bandrol,Apricot(Jardalu/Khumani),Other,Medium,2017-07-16,2800,4300,3500,326
Himachal Pradesh,Kullu,Bhuntar,Apricot(Jardalu/Khumani),Other,Medium,2017-06-07,3000,5000,3800,326
Himachal Pradesh,Kullu,Bhuntar,Apricot(Jardalu/Khumani),Other,Medium,2017-06-20,3000,4000,3400,326
Himachal Pradesh,Kullu,Bhuntar,Apricot(Jardalu/Khumani),Other,Medium,2017-06-25,4000,4500,4200,326
Himachal Pradesh,Kullu,Bhuntar,Apricot(Jardalu/Khumani),Other,Medium,2017-06-28,3500,6000,4800,326
Himachal Pradesh,Kullu,Bhuntar,Apricot(Jardalu/Khumani),Other,Medium,2017-07-05,3000,4000,3500,326
Himachal Pradesh,Kullu,Kullu,Apricot(Jardalu/Khumani),Other,Medium,2017-06-20,2500,3000,2700,326
Himachal Pradesh,Kullu,Kullu(Patli Kuhal),Apricot(Jardalu/Khumani),Other,Medium,2017-06-20,3600,6000,4800,326
Himachal Pradesh,Kullu,Kullu(Patli Kuhal),Apricot(Jardalu/Khumani),Other,Medium,2017-06-28,1000,3600,2700,326
Himachal Pradesh,Kullu,Kullu(Patli Kuhal),Apricot(Jardalu/Khumani),Other,Medium,2017-07-11,2000,3500,2600,326
Himachal Pradesh,Kullu,Kullu(Patli Kuhal),Apricot(Jardalu/Khumani),Other,Medium,2017-07-14,1000,2000,1500,326
Himachal Pradesh,Mandi,Mandi(Takoli),Apricot(Jardalu/Khumani),Other,Medium,2017-06-12,1500,3500,3000,326
Himachal Pradesh,Mandi,Mandi(Takoli),Apricot(Jardalu/Khumani),Other,Medium,2017-06-26,1000,4000,3000,326
Himachal Pradesh,Mandi,Mandi(Takoli),Apricot(Jardalu/Khumani),Other,Medium,2017-06-27,1000,2000,1500,326
Himachal Pradesh,Shimla,Shimla and Kinnaur(Rampur),Apricot(Jardalu/Khumani),Apricot(Jardalu/Khumani),Medium,2017-05-19,3500,5000,4250,326
Himachal Pradesh,Shimla,Shimla and Kinnaur(Rampur),Apricot(Jardalu/Khumani),Apricot(Jardalu/Khumani),Large,2017-05-29,4000,5000,4500,326
Himachal Pradesh,Shimla,Shimla and Kinnaur(Rampur),Apricot(Jardalu/Khumani),Apricot(Jardalu/Khumani),Large,2017-06-03,2000,2500,2250,326
Himachal Pradesh,Solan,Solan,Apricot(Jardalu/Khumani),Other,Medium,2017-05-19,2500,3500,3000,326
Himachal Pradesh,Solan,Solan,Apricot(Jardalu/Khumani),Other,Medium,2017-05-26,2000,4000,3000,326
Himachal Pradesh,Solan,Solan,Apricot(Jardalu/Khumani),Other,Medium,2017-05-29,2000,4000,3000,326
Himachal Pradesh,Solan,Solan,Apricot(Jardalu/Khumani),Other,Medium,2017-05-31,1500,4500,3000,326
Himachal Pradesh,Solan,Solan,Apricot(Jardalu/Khumani),Other,Medium,2017-06-20,4000,5000,4500,326
Himachal Pradesh,Solan,Solan,Apricot(Jardalu/Khumani),Other,Medium,2017-06-22,5000,6000,5500,326
Himachal Pradesh,Solan,Solan,Apricot(Jardalu/Khumani),Other,Medium,2017-07-11,5000,6000,5500,326
Uttrakhand,Nanital,Haldwani,Apricot(Jardalu/Khumani),Other,Medium,2017-05-18,1800,2500,2033,326
Uttrakhand,Nanital,Haldwani,Apricot(Jardalu/Khumani),Other,Medium,2017-05-30,1800,2400,2211,326
Haryana,Ambala,Naraingarh,Apricot(Jardalu/Khumani),Other,Medium,2015-05-26,4000,5000,4500.0,326
Haryana,Ambala,Naraingarh,Apricot(Jardalu/Khumani),Other,Medium,2015-06-11,4000,4000,4000.0,326
Haryana,Ambala,Naraingarh,Apricot(Jardalu/Khumani),Other,Medium,2015-06-12,2500,2500,2500.0,326
Haryana,Ambala,Naraingarh,Apricot(Jardalu/Khumani),Other,Medium,2015-06-25,2000,2000,2000.0,326
Haryana,Ambala,Naraingarh,Apricot(Jardalu/Khumani),Other,Medium,2015-07-04,2000,2000,2000.0,326
Haryana,Fatehabad,Tohana(New Veg Market),Apricot(Jardalu/Khumani),Other,Medium,2015-05-28,4500,5000,4700.0,326
Haryana,Fatehabad,Tohana(New Veg Market),Apricot(Jardalu/Khumani),Other,Medium,2015-06-12,4500,5000,4700.0,326
Himachal Pradesh,Hamirpur,Hamirpur,Apricot(Jardalu/Khumani),Other,Large,2015-06-22,3500,4000,3800.0,326
Himachal Pradesh,Kullu,Bandrol,Apricot(Jardalu/Khumani),Other,Medium,2015-06-19,500,3000,2000.0,326
Himachal Pradesh,Kullu,Bandrol,Apricot(Jardalu/Khumani),Other,Medium,2015-06-23,1000,1500,1300.0,326
Himachal Pradesh,Kullu,Bandrol,Apricot(Jardalu/Khumani),Other,Medium,2015-06-29,700,1800,1500.0,326
Himachal Pradesh,Kullu,Bandrol,Apricot(Jardalu/Khumani),Other,Medium,2015-07-07,1000,3500,2700.0,326
Himachal Pradesh,Kullu,Bandrol,Apricot(Jardalu/Khumani),Other,Medium,2015-07-13,1000,2500,1700.0,326
Himachal Pradesh,Kullu,Bhuntar,Apricot(Jardalu/Khumani),Other,Medium,2015-05-18,8000,9000,8500.0,326
Himachal Pradesh,Kullu,Bhuntar,Apricot(Jardalu/Khumani),Other,Medium,2015-05-19,6000,8000,7000.0,326
Himachal Pradesh,Kullu,Bhuntar,Apricot(Jardalu/Khumani),Other,Medium,2015-05-28,3500,4500,3900.0,326
Himachal Pradesh,Kullu,Bhuntar,Apricot(Jardalu/Khumani),Other,Medium,2015-05-29,3000,4000,3500.0,326
Himachal Pradesh,Kullu,Bhuntar,Apricot(Jardalu/Khumani),Other,Medium,2015-06-30,1500,2200,1900.0,326
Himachal Pradesh,Kullu,Bhuntar,Apricot(Jardalu/Khumani),Other,Medium,2015-07-03,1500,2200,1900.0,326
Himachal Pradesh,Kullu,Bhuntar,Apricot(Jardalu/Khumani),Other,Medium,2015-07-08,1200,1600,1300.0,326
Himachal Pradesh,Kullu,Kullu,Apricot(Jardalu/Khumani),Other,Medium,2015-06-11,2000,4000,3000.0,326
Himachal Pradesh,Kullu,Kullu,Apricot(Jardalu/Khumani),Other,Medium,2015-06-15,2000,3000,2500.0,326
Himachal Pradesh,Kullu,Kullu,Apricot(Jardalu/Khumani),Other,Medium,2015-06-26,1200,1500,1300.0,326
Himachal Pradesh,Kullu,Kullu,Apricot(Jardalu/Khumani),Other,Medium,2015-07-03,1000,2000,1700.0,326
Himachal Pradesh,Kullu,Kullu(Chauri Bihal),Apricot(Jardalu/Khumani),Other,Medium,2015-07-08,1000,1500,1300.0,326
Himachal Pradesh,Mandi,Dhanotu (Mandi),Apricot(Jardalu/Khumani),Other,Medium,2015-05-14,4000,4000,4000.0,326
Himachal Pradesh,Mandi,Dhanotu (Mandi),Apricot(Jardalu/Khumani),Other,Medium,2015-05-15,3500,3500,3500.0,326
Himachal Pradesh,Mandi,Dhanotu (Mandi),Apricot(Jardalu/Khumani),Other,Medium,2015-05-29,2500,3500,3000.0,326
Himachal Pradesh,Mandi,Dhanotu (Mandi),Apricot(Jardalu/Khumani),Other,Medium,2015-06-18,2000,3000,3000.0,326
Himachal Pradesh,Mandi,Dhanotu (Mandi),Apricot(Jardalu/Khumani),Other,Medium,2015-07-07,200,2200,2100.0,326
Himachal Pradesh,Mandi,Mandi(Mandi),Apricot(Jardalu/Khumani),Other,Large,2015-06-13,3500,4000,3800.0,326
Himachal Pradesh,Mandi,Mandi(Mandi),Apricot(Jardalu/Khumani),Other,Medium,2015-06-13,2500,3000,2800.0,326
Himachal Pradesh,Mandi,Mandi(Mandi),Apricot(Jardalu/Khumani),Other,Medium,2015-06-15,2500,4000,3000.0,326
Himachal Pradesh,Mandi,Mandi(Mandi),Apricot(Jardalu/Khumani),Other,Medium,2015-06-17,1000,2500,2000.0,326
Himachal Pradesh,Mandi,Mandi(Mandi),Apricot(Jardalu/Khumani),Other,Medium,2015-06-18,2000,3800,3000.0,326
