State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Uttar Pradesh,Bulandshahar,Khurja,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-04-29,8135,8355,8246,260
Uttar Pradesh,Bulandshahar,Khurja,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-05-02,8138,8385,8242,260
Uttar Pradesh,Bulandshahar,Khurja,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-05-16,8135,8335,8215,260
Uttar Pradesh,Bulandshahar,Khurja,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-05-18,8140,8340,8230,260
Uttar Pradesh,Bulandshahar,Khurja,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-05-22,8138,8340,8235,260
Uttar Pradesh,Bulandshahar,Khurja,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-05-26,8125,8350,8220,260
Uttar Pradesh,Bulandshahar,Khurja,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-05-28,8131,8350,8210,260
Uttar Pradesh,Bulandshahar,Khurja,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-05-29,8130,8340,8225,260
Uttar Pradesh,Bulandshahar,Khurja,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-06-02,8105,8335,8220,260
Uttar Pradesh,Bulandshahar,Khurja,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-06-03,8115,8340,8225,260
Uttar Pradesh,Bulandshahar,Khurja,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-06-05,8125,8360,8240,260
Uttar Pradesh,Bulandshahar,Khurja,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-06-09,8000,8500,8222,260
Uttar Pradesh,Bulandshahar,Khurja,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-06-11,8010,8495,8210,260
Uttar Pradesh,Bulandshahar,Khurja,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-11-27,8400,8700,8530,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-01-03,8175,8195,8185,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-01-14,8200,8235,8225,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-02-04,8160,8180,8170,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-02-05,8170,8190,8180,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-02-13,8150,8185,8170,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-02-17,8150,8185,8175,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-02-21,7950,7985,7970,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-02-24,7950,7990,7980,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-03-03,7750,7795,7785,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-03-05,7500,7650,7600,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-03-21,7350,7395,7380,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-03-24,7340,7465,7350,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-03-31,7550,7650,7600,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-04-03,7665,7685,7675,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-04-04,7675,7695,7680,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-04-05,7650,7700,7685,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-04-07,7850,7950,7900,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-04-13,8150,8185,8170,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-04-15,8165,8195,8185,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-05-06,7940,7980,7960,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-05-12,7950,7985,7970,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-05-13,7945,7980,7960,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-05-19,7940,7965,7950,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-05-22,7950,7975,7965,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-05-24,7960,7995,7980,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-05-25,7975,8000,7990,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-05-27,7940,7980,7960,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-05-29,7950,7985,7970,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-06-02,7950,7995,7980,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-06-05,7960,7995,7980,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-06-06,7970,7995,7985,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-06-21,7950,7980,7970,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-07-04,7920,7980,7960,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-07-07,7950,7985,7970,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-07-24,8440,8465,8455,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-07-25,8440,8475,8460,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-07-28,8450,8475,8465,260
Uttar Pradesh,Deoria,Devariya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-08-06,8460,8490,8480,260
