State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Raichur,Sindhanur,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-08-28,4300,4300,4300,49
Karnataka,Raichur,Sindhanur,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-10-12,3600,3600,3600,49
Karnataka,Raichur,Sindhanur,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-11-07,3300,3800,3800,49
Karnataka,Raichur,Sindhanur,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-11-15,3700,3700,3700,49
Karnataka,Raichur,Sindhanur,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-11-22,3400,3400,3400,49
Karnataka,Shimoga,Bhadravathi,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-03-18,7500,7500,7500,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-01-04,6500,8500,7500,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-01-07,9000,10000,9500,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-01-16,6500,7000,6750,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-01-27,8000,9000,8500,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-02-06,8000,9500,8750,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-02-09,8000,9000,8500,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-03-06,8000,8500,8250,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-03-10,6400,7200,6800,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-03-23,6500,8000,7250,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-04-03,6800,7500,7150,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-04-05,6800,7500,7150,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-04-11,6500,8000,7250,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-04-17,7000,7500,7250,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-05-16,6000,7000,6500,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-05-25,5500,7000,6250,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-05-29,6000,6800,6400,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-06-12,5500,6500,6000,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-06-23,5500,6800,6150,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-06-28,5800,6600,6200,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-06-30,5800,6200,6000,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-07-01,5800,6200,6000,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-07-05,6200,6400,6300,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-07-12,5500,6200,5850,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-07-13,5300,6000,5650,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-07-18,5500,6500,6000,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-07-19,5500,6200,5850,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-08-02,6500,6500,6500,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-08-09,6000,6500,6250,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-08-19,6500,7500,7000,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-08-21,7000,7500,7250,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-09-01,6500,7400,6950,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-09-04,6600,7200,6900,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-09-07,6200,6800,6500,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-09-13,6200,7200,6700,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-11-02,7500,7800,7650,49
Karnataka,Shimoga,Shimoga,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-11-08,5800,6600,6200,49
Karnataka,Tumkur,Sira,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-04-06,6000,6500,6000,49
Karnataka,Tumkur,Tumkur,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-01-03,3300,4300,4000,49
Karnataka,Tumkur,Tumkur,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-03-18,3400,3800,3650,49
Karnataka,Tumkur,Tumkur,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-09-12,6000,7000,6300,49
Karnataka,Udupi,Kundapura,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-01-30,5483,5850,5483,49
Karnataka,Udupi,Kundapura,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-02-06,5815,6100,6100,49
Karnataka,Udupi,Kundapura,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-05-30,5800,5815,5800,49
Karnataka,Udupi,Kundapura,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-07-11,5450,5450,5450,49
Karnataka,Yadgiri,Shahapur,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-01-06,4209,4652,4460,49
Karnataka,Yadgiri,Shahapur,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2017-01-25,4509,4906,4713,49
