State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-01-01,1000,1100,1050,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-01-02,1000,1100,1050,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-01-04,1100,1200,1150,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-01-08,1000,1200,1100,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-01-09,1000,1200,1100,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-01-25,1000,1100,1050,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-01-26,1000,1100,1050,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-02-01,1000,1100,1050,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-02-03,1000,1100,1050,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-02-18,900,1000,950,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-02-26,900,1100,1000,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-03-09,700,800,750,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-03-25,500,700,600,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-03-30,500,600,550,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-04-25,500,600,550,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-04-26,400,600,500,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-05-11,300,400,350,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-05-14,300,400,350,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-05-21,500,600,550,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-05-23,500,600,550,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-05-25,600,700,650,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-05-27,500,600,550,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-06-01,600,800,700,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-06-04,500,700,600,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-06-08,500,700,600,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-06-12,500,700,600,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-06-16,500,800,700,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-06-21,600,800,700,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-06-25,800,1100,950,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-06-29,600,900,800,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-07-02,800,1100,1000,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-07-03,1000,1200,1100,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-07-11,800,1000,900,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-07-14,1000,1300,1200,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-07-16,1000,1200,1100,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-07-20,1000,1200,1100,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-07-21,900,1200,1100,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-08-07,900,1200,1000,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-08-14,1000,1200,1100,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-08-22,500,800,650,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-08-31,800,1000,900,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-09-09,800,1000,900,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-09-12,700,800,750,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-09-17,600,1000,800,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-09-27,600,1000,800,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-10-07,800,1000,900,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-10-13,700,900,800,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-10-15,700,900,800,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-10-20,400,600,500,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-10-24,700,900,800,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-10-25,700,900,800,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-10-29,500,800,600,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-11-03,700,1200,1000,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-11-11,600,800,700,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-11-16,800,1000,900,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-11-25,800,1000,900,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-12-07,1000,1200,1100,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-12-17,1000,1500,1250,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-12-22,900,1200,1100,274
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,2009-12-29,1200,1500,1300,274
