State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Telangana,Ranga Reddy,Shankarapally,Beans,Beans (Whole),Medium,2017-01-10,10,10,10,94
Telangana,Ranga Reddy,Shankarapally,Beans,Beans (Whole),Medium,2017-03-28,25,25,25,94
Telangana,Ranga Reddy,Shankarapally,Beans,Beans (Whole),Medium,2017-04-11,15,15,15,94
Telangana,Ranga Reddy,Shankarapally,Beans,Beans (Whole),Medium,2017-05-27,15,15,15,94
Telangana,Ranga Reddy,Shankarapally,Beans,Beans (Whole),Medium,2017-07-27,20,20,20,94
Telangana,Ranga Reddy,Shankarapally,Beans,Beans (Whole),Medium,2017-08-05,10,10,10,94
Telangana,Ranga Reddy,Shankarapally,Beans,Beans (Whole),Medium,2017-08-19,5,10,7,94
Telangana,Ranga Reddy,Shankarapally,Beans,Beans (Whole),Medium,2017-10-10,10,10,10,94
Telangana,Ranga Reddy,Shankarapally,Beans,Beans (Whole),Medium,2017-11-25,20,20,20,94
Telangana,Ranga Reddy,Shankarapally,Beans,Local,Medium,2017-02-28,20,20,20,94
Telangana,Warangal,Warangal,Beans,Local,FAQ,2017-09-15,2485,2485,2485,94
Telangana,Warangal,Warangal,Beans,Local,FAQ,2017-09-26,1612,1612,1612,94
Tripura,Dhalai,Gandacharra,Beans,Local,FAQ,2017-02-08,2000,3000,2500,94
Tripura,Dhalai,Gandacharra,Beans,Local,FAQ,2017-06-01,2000,3000,2500,94
Tripura,Dhalai,Gandacharra,Beans,Local,FAQ,2017-06-08,2000,3000,2500,94
Tripura,Dhalai,Gandacharra,Beans,Local,FAQ,2017-08-03,2500,3500,3000,94
Tripura,Dhalai,Gandacharra,Beans,Local,FAQ,2017-12-14,3500,4000,4000,94
Tripura,Dhalai,Kulai,Beans,Local,FAQ,2017-01-10,1500,1700,1600,94
Tripura,Dhalai,Kulai,Beans,Local,FAQ,2017-01-17,1600,1800,1700,94
Tripura,Dhalai,Kulai,Beans,Local,FAQ,2017-02-28,800,1000,900,94
Uttrakhand,Dehradoon,Rishikesh,Beans,Other,FAQ,2017-02-08,850,950,900,94
Uttrakhand,Dehradoon,Rishikesh,Beans,Other,FAQ,2017-03-01,600,650,610,94
Uttrakhand,Dehradoon,Vikasnagar,Beans,Other,FAQ,2017-08-31,5100,5100,5100,94
Uttrakhand,Dehradoon,Vikasnagar,Beans,Other,FAQ,2017-12-21,5200,5200,5200,94
Uttrakhand,Nanital,Haldwani,Beans,Other,FAQ,2017-04-06,1200,1600,1400,94
Uttrakhand,Nanital,Haldwani,Beans,Other,FAQ,2017-05-24,150,1600,1503,94
Uttrakhand,Nanital,Haldwani,Beans,Other,FAQ,2017-05-25,150,150,150,94
Uttrakhand,Nanital,Haldwani,Beans,Other,FAQ,2017-06-26,1200,2000,1600,94
Uttrakhand,Nanital,Haldwani,Beans,Other,FAQ,2017-07-02,1500,1700,1600,94
Uttrakhand,Nanital,Haldwani,Beans,Other,FAQ,2017-07-03,1600,2500,2050,94
Uttrakhand,Nanital,Haldwani,Beans,Other,FAQ,2017-07-19,1600,2000,1800,94
