State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-06-27,5625,5700,5660,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-07-22,5660,5745,5700,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-07-24,5640,5700,5670,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-08-10,5670,5750,5725,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-08-16,5550,5645,5620,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-08-23,5650,5745,5700,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-08-28,5640,5720,5675,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-09-05,5685,5760,5730,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-09-11,5700,5785,5740,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-09-16,5665,5740,5700,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-09-25,5640,5735,5700,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-10-07,5800,5885,5850,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-10-17,5670,5750,5700,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-10-21,5570,5675,5620,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-10-23,5565,5675,5600,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-11-05,5650,5725,5680,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-11-08,5750,5850,5775,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-11-14,5720,5830,5750,263
West Bengal,Howrah,Ramkrishanpur(Howrah),Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-01-06,6800,7200,7000,263
West Bengal,Howrah,Ramkrishanpur(Howrah),Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-01-09,6800,7200,7000,263
West Bengal,Howrah,Ramkrishanpur(Howrah),Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-01-12,6800,7200,7000,263
West Bengal,Howrah,Ramkrishanpur(Howrah),Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-01-17,6800,7200,7000,263
West Bengal,Howrah,Ramkrishanpur(Howrah),Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-01-24,6800,7200,7000,263
West Bengal,Howrah,Ramkrishanpur(Howrah),Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,2019-01-25,6800,7200,7000,263
