State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Madhya Pradesh,Datia,Sevda,Binoula,Binoula,FAQ,2007-12-28,510,510,510,51
Madhya Pradesh,Guna,Binaganj,Binoula,Binoula,FAQ,2007-12-28,510,510,510,51
Madhya Pradesh,Shivpuri,Khaniadhana,Binoula,Binoula,FAQ,2007-12-28,510,510,510,51
Madhya Pradesh,Shivpuri,Pohari,Binoula,Binoula,FAQ,2007-12-28,510,510,510,51
NCT of Delhi,Delhi,Narela,Binoula,Other,FAQ,2007-08-26,1510,1510,1510,51
Haryana,Bhiwani,Jui,Binoula,Other,FAQ,2012-10-30,2000,2000,2000,51
NCT of Delhi,Delhi,Narela,Binoula,Other,FAQ,2012-04-08,2240,2240,2240,51
Uttar Pradesh,Meerut,Meerut,Binoula,Other,FAQ,2012-09-11,2350,2800,2585,51
Uttar Pradesh,Meerut,Meerut,Binoula,Other,FAQ,2012-10-02,2315,2750,2570,51
Uttar Pradesh,Meerut,Meerut,Binoula,Other,FAQ,2012-10-05,2500,2770,2590,51
Uttar Pradesh,Meerut,Meerut,Binoula,Other,FAQ,2012-10-24,2380,2790,2560,51
Uttar Pradesh,Meerut,Meerut,Binoula,Other,FAQ,2012-10-29,2415,2790,2590,51
Uttar Pradesh,Meerut,Meerut,Binoula,Other,FAQ,2012-10-31,2410,2790,2555,51
Haryana,Mewat,Hathin,Binoula,Other,FAQ,2011-06-14,1200,1200,1200,51
Haryana,Mewat,Hathin,Binoula,Other,FAQ,2011-06-27,13000,13000,13000,51
Haryana,Mewat,Hathin,Binoula,Other,FAQ,2011-07-20,1250,1400,1400,51
Haryana,Mewat,Hathin,Binoula,Other,FAQ,2011-09-21,1500,1500,1500,51
NCT of Delhi,Delhi,Narela,Binoula,Other,FAQ,2011-07-01,1665,1665,1665,51
NCT of Delhi,Delhi,Narela,Binoula,Other,FAQ,2011-08-23,2130,2130,2130,51
NCT of Delhi,Delhi,Narela,Binoula,Other,FAQ,2011-09-13,2000,2000,2000,51
NCT of Delhi,Delhi,Narela,Binoula,Other,FAQ,2011-12-04,2050,2050,2050,51
NCT of Delhi,Delhi,Narela,Binoula,Other,FAQ,2011-12-09,2100,2100,2100,51
