State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Uttar Pradesh,Farukhabad,Kayamganj,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-10-19,6050,6100,6075,264
Uttar Pradesh,Farukhabad,Kayamganj,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-10-24,6050,6100,6075,264
Uttar Pradesh,Farukhabad,Kayamganj,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-10-26,6000,6100,6050,264
Uttar Pradesh,Farukhabad,Kayamganj,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-11-01,6050,6150,6100,264
Uttar Pradesh,Farukhabad,Kayamganj,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-11-08,6450,6550,6500,264
Uttar Pradesh,Farukhabad,Kayamganj,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-11-09,6800,6900,6850,264
Uttar Pradesh,Farukhabad,Kayamganj,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-11-19,8550,8700,8650,264
Uttar Pradesh,Farukhabad,Kayamganj,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-11-26,8400,8500,8450,264
Uttar Pradesh,Farukhabad,Kayamganj,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-12-11,8200,8300,8250,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-01-09,6400,6600,6500,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-01-16,6350,6550,6480,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-01-18,6350,6550,6480,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-01-22,6450,6580,6500,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-01-24,6450,6650,6500,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-01-30,6500,6650,6600,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-02-01,6500,6670,6630,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-02-19,6500,6650,6580,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-02-26,6555,6700,6650,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-03-01,6550,6700,6600,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-03-10,6600,6780,6670,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-03-12,6550,6650,6600,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-03-15,6560,6700,6610,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-03-24,6500,6650,6600,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-04-09,6550,6650,6600,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-04-14,6550,6650,6600,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-04-22,6450,6550,6500,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-04-29,6400,6550,6490,264
Uttar Pradesh,Fatehpur,Bindki,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2019-05-03,6450,6500,6490,264
