State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Odisha,Ganjam,Digapahandi,Broken Rice,1st Raw,FAQ,2020-01-03,1000,1100,1050,293
Odisha,Ganjam,Digapahandi,Broken Rice,1st Raw,FAQ,2020-01-25,800,1000,900,293
Odisha,Ganjam,Digapahandi,Broken Rice,1st Raw,FAQ,2020-08-03,1800,2200,2000,293
Odisha,Ganjam,Digapahandi,Broken Rice,1st Raw,FAQ,2020-09-13,1600,2000,1800,293
Odisha,Nowarangpur,Nabarangpur(Umerkote),Broken Rice,Broken Rice,FAQ,2020-01-25,1000,1000,1000,293
Odisha,Nowarangpur,Nabarangpur(Umerkote),Broken Rice,Broken Rice,FAQ,2020-03-01,1200,1200,1200,293
Odisha,Nowarangpur,Nabarangpur(Umerkote),Broken Rice,Broken Rice,FAQ,2020-04-16,2669,2669,2669,293
Odisha,Nowarangpur,Nabarangpur(Umerkote),Broken Rice,Broken Rice,FAQ,2020-05-01,1000,1000,1000,293
Odisha,Nowarangpur,Nabarangpur(Umerkote),Broken Rice,Broken Rice,FAQ,2020-11-09,1000,1000,1000,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-01-09,1200,1200,1200,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-02-01,800,1200,1000,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-02-04,800,1200,800,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-02-10,1200,1200,1200,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-03-14,1600,1950,1600,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-05-05,700,800,700,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-05-25,800,800,800,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-05-30,1200,1200,1200,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-06-01,800,800,800,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-06-08,800,800,800,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-06-10,800,1000,800,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-06-20,800,800,800,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-06-25,800,1400,800,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-08-23,800,800,800,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-10-08,800,800,800,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-10-31,700,700,700,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-11-24,600,600,600,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Broken Rice,FAQ,2020-12-21,800,800,800,293
Odisha,Nowarangpur,Nawarangpur,Broken Rice,Other,FAQ,2020-07-10,800,800,800,293
Kerala,Idukki,Nedumkandam,Broken Rice,Other,FAQ,2012-01-15,2500,3500,2700,293
Kerala,Idukki,Nedumkandam,Broken Rice,Other,FAQ,2012-02-12,2500,3500,2700,293
Kerala,Idukki,Nedumkandam,Broken Rice,Other,FAQ,2012-03-11,2200,2800,2500,293
Kerala,Idukki,Nedumkandam,Broken Rice,Other,FAQ,2012-03-25,2200,2400,2300,293
Kerala,Idukki,Nedumkandam,Broken Rice,Other,FAQ,2012-04-01,2000,2400,2200,293
Kerala,Idukki,Nedumkandam,Broken Rice,Other,FAQ,2012-04-15,2000,2500,2250,293
Kerala,Idukki,Nedumkandam,Broken Rice,Other,FAQ,2012-05-13,1800,2300,2050,293
Kerala,Idukki,Nedumkandam,Broken Rice,Other,FAQ,2012-06-17,1800,2300,2050,293
Kerala,Idukki,Nedumkandam,Broken Rice,Other,FAQ,2012-07-15,2200,3000,2600,293
Kerala,Idukki,Nedumkandam,Broken Rice,Other,FAQ,2012-08-05,2400,3100,2750,293
