State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Arunachal Pradesh,Tirap,Khonsa,Broomstick(Flower Broom),Other,FAQ,2015-03-03,4400,4600,4500,320
Arunachal Pradesh,Tirap,Khonsa,Broomstick(Flower Broom),Other,FAQ,2015-03-09,4600,4750,4600,320
Arunachal Pradesh,Tirap,Khonsa,Broomstick(Flower Broom),Other,FAQ,2015-03-17,4700,4750,4700,320
Arunachal Pradesh,Tirap,Khonsa,Broomstick(Flower Broom),Other,FAQ,2015-03-24,4650,4800,4650,320
Arunachal Pradesh,Tirap,Khonsa,Broomstick(Flower Broom),Other,FAQ,2015-03-30,4600,4800,4600,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-02-04,6000,6500,6500,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-02-05,6000,6500,6400,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-02-09,6000,6400,6200,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-02-18,6000,6400,6200,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-03-02,6000,6400,6200,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-03-12,5700,6800,6000,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-03-20,6000,7200,6800,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-03-28,7000,8000,7500,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-03-31,7500,8300,7800,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-04-02,2500,3200,3000,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-04-16,7800,8000,7800,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-04-18,7000,8000,7500,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-05-07,7000,8000,7500,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-05-08,7000,8200,7600,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-05-09,7500,8000,7800,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-05-14,7500,8200,8000,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-05-15,6200,8200,7200,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-05-16,6000,8000,7000,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-05-19,6000,8000,7000,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-06-10,7000,8000,7500,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-06-16,7000,8200,7600,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-07-01,7000,9000,8000,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-07-10,7000,9000,8000,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-07-21,8500,9300,8800,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-07-27,7000,9000,8000,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-07-28,8000,9000,8500,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-07-31,7300,9300,8300,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-08-04,7300,9300,8300,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-08-06,7300,9300,8300,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-08-08,7300,9300,8300,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-08-11,8800,9300,9000,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-09-01,7500,9500,8500,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-09-18,8000,9500,8800,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-09-24,8000,9200,8500,320
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,2015-09-28,8500,9000,8700,320
