State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-03-16,3900,3900,3900,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-04-01,3000,3940,3750,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-04-04,3500,3890,3800,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-04-07,3300,3860,3700,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-04-11,3790,3890,3840,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-04-13,3740,3820,3765,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-04-19,3690,3770,3730,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-05-09,3560,3590,3575,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-05-10,3300,3300,3300,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-06-27,3170,3170,3170,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-07-14,3460,3460,3460,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-07-22,3460,3460,3460,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-07-26,3490,3620,3570,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-11-04,3590,3590,3590,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-11-12,3590,3610,3600,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-11-14,3560,3600,3580,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-11-16,3540,3570,3550,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-11-19,3520,3520,3520,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-12-15,3440,3440,3440,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-12-27,3050,3450,3330,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2022-12-29,3425,3425,3425,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2024-02-01,5130,5170,5150,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2024-02-03,4900,5220,5100,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2024-02-09,5090,5090,5090,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2024-02-27,4600,5060,4980,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2024-03-05,4400,5150,4990,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2024-03-06,4620,5290,5140,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2024-03-09,4890,5290,5100,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2024-03-13,4960,5250,5180,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2024-03-18,4690,5230,5110,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2024-03-20,4500,5160,4980,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2024-03-31,3200,3300,3280,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2024-04-19,5640,5990,5890,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2024-04-22,3950,5900,5620,272
Chattisgarh,Mungeli,Munguli,Butter,Other,FAQ,2024-04-26,5920,6040,5980,272
