State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Chattisgarh,Jashpur,Kunkuri,Cardamoms,Green,FAQ,2007-03-24,2000,2000,2000.0,40
Chattisgarh,Jashpur,Kunkuri,Cardamoms,Green,FAQ,2007-05-03,2000,2000,2000.0,40
Chattisgarh,Jashpur,Kunkuri,Cardamoms,Green,FAQ,2007-05-14,2000,2000,2000.0,40
Chattisgarh,Jashpur,Kunkuri,Cardamoms,Green,FAQ,2007-07-02,2000,2000,2000.0,40
Gujarat,Vadodara(Baroda),Vadodara,Cardamoms,Other,FAQ,2007-04-28,22000,35000,28500.0,40
Gujarat,Vadodara(Baroda),Vadodara,Cardamoms,Other,FAQ,2007-05-03,22000,35000,28500.0,40
Gujarat,Vadodara(Baroda),Vadodara,Cardamoms,Other,FAQ,2007-11-20,36000,44000,40000.0,40
Gujarat,Vadodara(Baroda),Vadodara,Cardamoms,Other,FAQ,2007-12-04,35000,45000,40000.0,40
Gujarat,Vadodara(Baroda),Vadodara,Cardamoms,Other,FAQ,2007-12-19,35000,45000,40000.0,40
Kerala,Idukki,Thodupuzha,Cardamoms,Other,FAQ,2007-03-10,25000,40100,40000.0,40
Kerala,Idukki,Thodupuzha,Cardamoms,Other,FAQ,2007-03-14,24000,37600,37500.0,40
Kerala,Idukki,Thodupuzha,Cardamoms,Other,FAQ,2007-05-19,27500,42600,42500.0,40
Kerala,Idukki,Thodupuzha,Cardamoms,Other,FAQ,2007-06-13,29000,40100,40000.0,40
Kerala,Idukki,Thodupuzha,Cardamoms,Other,FAQ,2007-06-20,29000,40100,40000.0,40
Kerala,Idukki,Thodupuzha,Cardamoms,Other,FAQ,2007-07-07,32500,42600,42500.0,40
Kerala,Idukki,Thodupuzha,Cardamoms,Other,FAQ,2007-08-01,33000,45100,45000.0,40
Kerala,Idukki,Thodupuzha,Cardamoms,Other,FAQ,2007-09-05,32500,40100,40000.0,40
Kerala,Idukki,Thodupuzha,Cardamoms,Other,FAQ,2007-09-26,34000,44100,44000.0,40
Kerala,Idukki,Thodupuzha,Cardamoms,Other,FAQ,2007-10-10,25000,52600,52500.0,40
Kerala,Idukki,Thodupuzha,Cardamoms,Other,FAQ,2007-10-27,35000,45100,45000.0,40
Kerala,Idukki,Thodupuzha,Cardamoms,Other,FAQ,2007-12-15,50000,60100,60000.0,40
Kerala,Idukki,Thodupuzha,Cardamoms,Other,FAQ,2007-12-19,51000,65100,65000.0,40
Kerala,Idukki,Thodupuzha,Cardamoms,Other,FAQ,2007-12-29,55000,65100,65000.0,40
Maharashtra,Mumbai,Mumbai,Cardamoms,Other,FAQ,2007-01-09,25000,65000,45000.0,40
Maharashtra,Mumbai,Mumbai,Cardamoms,Other,FAQ,2007-01-11,25000,65000,45000.0,40
Maharashtra,Mumbai,Mumbai,Cardamoms,Other,FAQ,2007-01-17,25000,65000,45000.0,40
Maharashtra,Mumbai,Mumbai,Cardamoms,Other,FAQ,2007-01-19,25000,65000,45000.0,40
Maharashtra,Mumbai,Mumbai,Cardamoms,Other,FAQ,2007-01-31,25000,65000,45000.0,40
Maharashtra,Mumbai,Mumbai,Cardamoms,Other,FAQ,2007-02-17,27500,55000,41250.0,40
Maharashtra,Mumbai,Mumbai,Cardamoms,Other,FAQ,2007-02-22,27500,55000,41250.0,40
Maharashtra,Mumbai,Mumbai,Cardamoms,Other,FAQ,2007-02-23,27500,55000,41250.0,40
Maharashtra,Mumbai,Mumbai,Cardamoms,Other,FAQ,2007-03-01,27500,55000,41250.0,40
Maharashtra,Mumbai,Mumbai,Cardamoms,Other,FAQ,2007-03-17,32500,60000,46250.0,40
Maharashtra,Mumbai,Mumbai,Cardamoms,Other,FAQ,2007-03-21,32500,60000,46250.0,40
Maharashtra,Mumbai,Mumbai,Cardamoms,Other,FAQ,2007-04-04,35000,65000,50000.0,40
Maharashtra,Mumbai,Mumbai,Cardamoms,Other,FAQ,2007-04-09,35000,65000,50000.0,40
