State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,East Godavari,Kakinada,Carrot,Carrot,FAQ,2007-10-26,1500,1800,1500,153
Andhra Pradesh,East Godavari,Kakinada,Carrot,Carrot,FAQ,2007-11-02,1400,1600,1400,153
Andhra Pradesh,East Godavari,Kakinada,Carrot,Carrot,FAQ,2007-11-08,1500,1700,1500,153
Andhra Pradesh,East Godavari,Kakinada,Carrot,Carrot,FAQ,2007-11-22,1400,1800,1400,153
Andhra Pradesh,East Godavari,Kakinada,Carrot,Carrot,FAQ,2007-12-12,1500,1800,1500,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-10-03,1000,1000,1000,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-10-10,1000,1000,1000,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-10-12,1000,1000,1000,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-10-13,1000,1000,1000,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-10-17,1000,1000,1000,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-10-18,1000,1000,1000,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-10-23,1300,1300,1300,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-10-25,1600,1600,1600,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-10-26,1500,1500,1500,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-10-31,1200,1200,1200,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-11-02,1500,1500,1500,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-11-06,1500,1500,1500,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-11-07,1600,1600,1600,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-11-16,1600,1600,1600,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-11-19,1600,1600,1600,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-11-26,1700,1700,1700,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-11-28,1800,1800,1800,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-12-01,1400,1400,1400,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-12-15,1200,1200,1200,153
Andhra Pradesh,East Godavari,Rajahmundry,Carrot,Carrot,FAQ,2007-12-18,1100,1100,1100,153
Andhra Pradesh,East Godavari,Ravulapelem,Carrot,Carrot,FAQ,2007-10-15,1000,1000,1000,153
Andhra Pradesh,East Godavari,Ravulapelem,Carrot,Carrot,FAQ,2007-11-01,1200,1200,1200,153
Andhra Pradesh,East Godavari,Ravulapelem,Carrot,Carrot,FAQ,2007-12-05,1300,1300,1300,153
Andhra Pradesh,Guntur,Mangalagiri,Carrot,Carrot,FAQ,2007-12-14,1600,1800,1600,153
Andhra Pradesh,Guntur,Mangalagiri,Carrot,Carrot,FAQ,2007-12-15,1600,1800,1600,153
Andhra Pradesh,Krishna,Mylavaram,Carrot,Carrot,FAQ,2007-12-19,1300,1300,1300,153
Andhra Pradesh,Krishna,Vijayawada,Carrot,Carrot,FAQ,2007-01-11,550,650,600,153
Andhra Pradesh,Krishna,Vijayawada,Carrot,Carrot,FAQ,2007-01-17,620,700,660,153
Andhra Pradesh,Krishna,Vijayawada,Carrot,Carrot,FAQ,2007-01-19,700,900,800,153
Andhra Pradesh,Krishna,Vijayawada,Carrot,Carrot,FAQ,2007-01-29,700,900,800,153
Andhra Pradesh,Krishna,Vijayawada,Carrot,Carrot,FAQ,2007-02-05,500,600,540,153
Andhra Pradesh,Krishna,Vijayawada,Carrot,Carrot,FAQ,2007-02-13,460,500,480,153
Andhra Pradesh,Krishna,Vijayawada,Carrot,Carrot,FAQ,2007-02-16,400,500,440,153
Andhra Pradesh,Krishna,Vijayawada,Carrot,Carrot,FAQ,2007-02-22,520,600,560,153
Andhra Pradesh,Krishna,Vijayawada,Carrot,Carrot,FAQ,2007-02-25,480,500,490,153
Andhra Pradesh,Krishna,Vijayawada,Carrot,Carrot,FAQ,2007-03-03,500,550,530,153
Andhra Pradesh,Krishna,Vijayawada,Carrot,Carrot,FAQ,2007-03-05,500,550,530,153
Andhra Pradesh,Krishna,Vijayawada,Carrot,Carrot,FAQ,2007-03-18,450,500,480,153
Andhra Pradesh,Krishna,Vijayawada,Carrot,Carrot,FAQ,2007-03-21,500,550,520,153
Andhra Pradesh,Krishna,Vijayawada,Carrot,Carrot,FAQ,2007-04-02,700,900,800,153
Andhra Pradesh,Krishna,Vijayawada,Carrot,Carrot,FAQ,2007-04-07,800,900,860,153
Andhra Pradesh,Krishna,Vijayawada,Carrot,Carrot,FAQ,2007-04-15,1000,1200,1100,153
