State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,East Godavari,Jaggampet,Cashewnuts,Local(Raw),FAQ,2007-10-08,2700,3000,2900.0,36
Andhra Pradesh,East Godavari,Jaggampet,Cashewnuts,Local(Raw),FAQ,2007-10-18,2700,3000,2900.0,36
Andhra Pradesh,East Godavari,Jaggampet,Cashewnuts,Local(Raw),FAQ,2007-11-29,2700,3000,2900.0,36
Andhra Pradesh,East Godavari,Jaggampet,Cashewnuts,Local(Raw),FAQ,2007-12-07,2700,3000,2900.0,36
Andhra Pradesh,East Godavari,Jaggampet,Cashewnuts,Local(Raw),FAQ,2007-12-12,2700,3000,2900.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-01-02,2700,2800,2750.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-01-19,2700,2800,2750.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-01-25,2700,2800,2750.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-01-27,2700,2800,2750.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-02-02,2700,2800,2750.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-02-06,2700,2800,2750.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-02-08,2700,2800,2750.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-02-12,2700,2800,2750.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-02-13,2700,2800,2750.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-05-08,2700,3000,2900.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-05-19,2700,3000,2900.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-05-22,2700,3000,2900.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-05-29,2700,3000,2900.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-06-08,2700,3000,2900.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-06-16,2700,3000,2900.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-06-18,2700,3000,2900.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-07-17,2700,3000,2900.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-07-31,2700,3000,2900.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-08-09,2700,3000,2900.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-08-10,2700,3000,2900.0,36
Andhra Pradesh,East Godavari,Rajahmundry,Cashewnuts,Local(Raw),FAQ,2007-08-18,2700,3000,2900.0,36
