State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-01-18,600.0,1000,850.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-01-23,200.0,450,350.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-02-06,150.0,250,200.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-02-20,100.0,200,150.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-02-23,100.0,170,150.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-04-08,600.0,600,600.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-04-11,250.0,800,500.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-04-17,250.0,1000,650.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-04-19,1000.0,1000,1000.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-04-22,250.0,500,375.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-05-15,625.0,1000,810.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-09-16,1000.0,3000,1250.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-09-27,2405.0,3205,2750.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-11-03,1000.0,1400,1250.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-11-18,350.0,600,450.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-11-22,170.0,700,450.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-11-24,200.0,700,450.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-11-29,800.0,1150,950.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-12-06,200.0,850,525.0,34
Gujarat,Mehsana,Vijapur(veg),Cauliflower,Other,FAQ,2017-12-11,250.0,700,500.0,34
Gujarat,Navsari,Bilimora,Cauliflower,Other,FAQ,2017-07-04,1000.0,1400,1200.0,34
Gujarat,Patan,"Patan(Veg,Yard Patan)",Cauliflower,Other,FAQ,2017-01-04,500.0,700,600.0,34
Gujarat,Patan,"Patan(Veg,Yard Patan)",Cauliflower,Other,FAQ,2017-01-08,600.0,800,700.0,34
Gujarat,Patan,"Patan(Veg,Yard Patan)",Cauliflower,Other,FAQ,2017-01-15,700.0,900,800.0,34
Gujarat,Patan,"Patan(Veg,Yard Patan)",Cauliflower,Other,FAQ,2017-01-19,1000.0,1200,1100.0,34
