State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-01-09,750,950,850,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-01-17,900,1100,1000,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-01-19,800,1000,900,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-01-20,800,1000,900,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-01-22,800,1000,900,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-02-19,700,900,800,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-03-01,800,1000,900,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-03-12,700,900,800,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-04-13,800,1100,1000,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-04-30,900,1300,1100,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-05-02,900,1300,1100,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-05-23,900,1200,1100,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-05-26,800,1000,900,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-06-01,800,1000,900,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-06-12,1000,1400,1200,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-06-16,1000,1400,1200,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-07-07,900,1300,1100,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-07-13,900,1100,1000,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-08-23,1200,1400,1300,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-08-25,1000,1300,1200,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-08-29,900,1100,1000,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-09-22,1000,1200,1100,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-09-24,900,1200,1100,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-10-17,900,1100,1000,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-10-26,900,1200,1000,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-10-27,900,1300,1100,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-10-29,900,1200,1000,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-10-30,900,1200,1100,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-11-15,1000,1400,1200,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-11-16,1100,1500,1300,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-11-19,1400,1800,1600,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-11-29,1300,1600,1400,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2007-12-17,900,1500,1300,169
Karnataka,Bangalore,Doddaballa Pur,Chapparad Avare,Chapparada Avarekai,FAQ,2007-01-03,1000,1200,1100,169
Karnataka,Kolar,Chickkaballapura,Chapparad Avare,Chapparada Avarekai,FAQ,2007-06-30,600,700,650,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2009-02-20,1200,1400,1300,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2009-03-20,800,1200,1000,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2009-05-23,1300,1500,1400,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2009-06-02,1600,1800,1700,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2009-06-03,1800,2000,1900,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2009-06-10,1400,1600,1500,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2009-07-21,1300,1500,1400,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,Large,2009-11-18,1400,1800,1600,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,Large,2009-11-24,1600,1800,1700,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,Large,2009-12-22,1400,1600,1500,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,Large,2009-12-29,1300,1400,1350,169
Karnataka,Bangalore,Doddaballa Pur,Chapparad Avare,Chapparada Avarekai,FAQ,2009-01-07,1300,1500,1400,169
Karnataka,Bangalore,Doddaballa Pur,Chapparad Avare,Chapparada Avarekai,FAQ,2009-01-09,1400,1600,1500,169
Karnataka,Bangalore,Doddaballa Pur,Chapparad Avare,Chapparada Avarekai,FAQ,2009-01-20,800,1000,900,169
Karnataka,Bangalore,Doddaballa Pur,Chapparad Avare,Chapparada Avarekai,FAQ,2009-02-04,1200,1500,1250,169
Karnataka,Bangalore,Doddaballa Pur,Chapparad Avare,Chapparada Avarekai,FAQ,2009-02-16,800,1000,900,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-01-23,800,1000,900,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-02-06,1100,1200,1150,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-02-09,1000,1200,1100,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-02-19,800,1200,1000,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-02-22,1200,1400,1300,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-02-26,1000,1200,1100,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-03-04,1000,1200,1100,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-03-09,1000,1200,1100,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-03-18,1000,1200,1100,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-03-31,1000,1200,1100,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-04-05,600,800,700,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-04-07,1200,1400,1300,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-04-15,800,1000,900,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-04-17,1000,1200,1100,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-04-19,1100,1300,1200,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-04-23,800,1000,900,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,Medium,2009-04-27,1000,1200,1100,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,Medium,2009-04-28,800,1000,900,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,Medium,2009-04-30,1000,1100,1050,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,Medium,2009-05-06,1200,1400,1300,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,Medium,2009-05-23,1000,1300,1150,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,Medium,2009-05-26,4000,5000,4500,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,Medium,2009-05-28,2500,3000,2750,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,Medium,2009-06-09,200,300,250,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,Medium,2009-06-10,1500,4000,2750,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,Medium,2009-06-26,2500,3500,3000,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,Medium,2009-06-30,1200,1300,1250,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-07-14,800,1000,920,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-07-16,1000,1200,1060,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-07-23,1000,1100,1033,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-07-25,1000,1200,1167,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-07-29,2000,2300,2200,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-10-07,800,900,800,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-10-12,700,900,883,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-10-14,600,700,640,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-10-21,1400,1500,1400,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-10-22,1400,1500,1400,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-10-28,900,1000,917,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-10-30,1000,1200,1071,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-10-31,1000,1400,1133,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-11-04,1200,1300,1200,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-11-09,1200,1400,1220,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-11-10,1300,1400,1300,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-11-12,1800,2100,1916,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-11-30,1500,1700,1600,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-12-04,1600,1800,1700,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-12-18,1300,1600,1450,169
Karnataka,Hassan,Hassan,Chapparad Avare,Chapparada Avarekai,FAQ,2009-12-29,1400,1800,1600,169
Karnataka,Kolar,Chickkaballapura,Chapparad Avare,Chapparada Avarekai,FAQ,2009-06-08,1200,1400,1300,169
Karnataka,Kolar,Chickkaballapura,Chapparad Avare,Chapparada Avarekai,FAQ,2009-06-13,1200,1500,1400,169
Karnataka,Kolar,Chickkaballapura,Chapparad Avare,Chapparada Avarekai,FAQ,2009-07-08,1000,1200,1100,169
Karnataka,Kolar,Chickkaballapura,Chapparad Avare,Chapparada Avarekai,FAQ,2009-07-13,800,1000,900,169
Karnataka,Kolar,Chickkaballapura,Chapparad Avare,Chapparada Avarekai,FAQ,2009-08-05,900,1200,1000,169
Karnataka,Kolar,Malur,Chapparad Avare,Chapparada Avarekai,FAQ,2009-07-18,550,750,600,169
Punjab,Moga,Kot ise Khan,Chapparad Avare,Other,FAQ,2009-10-04,1000,1050,1000,169
Punjab,Moga,Kot ise Khan,Chapparad Avare,Other,FAQ,2009-10-06,1000,1050,1000,169
Punjab,Moga,Kot ise Khan,Chapparad Avare,Other,FAQ,2009-10-07,1200,1250,1200,169
Punjab,Moga,Kot ise Khan,Chapparad Avare,Other,FAQ,2009-10-08,1000,1050,1000,169
Punjab,Moga,Kot ise Khan,Chapparad Avare,Other,FAQ,2009-10-09,1000,1050,1000,169
Punjab,Moga,Kot ise Khan,Chapparad Avare,Other,FAQ,2009-10-16,800,850,800,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-01-11,2600,3500,3000,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-01-14,2800,3400,3200,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-01-21,2600,3000,2800,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-01-31,2400,2800,2600,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-02-01,2200,2600,2400,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-02-11,2400,3000,2800,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-02-15,2200,2400,2300,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-02-19,2000,2400,2200,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-03-16,2600,3200,3000,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-03-21,3000,4000,3500,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-03-23,3200,3600,3400,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-03-30,3000,3400,3200,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-04-04,3400,4000,3600,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-04-23,3400,4000,3600,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-05-02,2800,3200,3000,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-05-06,2800,3200,3000,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-05-16,2800,3200,3000,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-05-17,2600,3000,2800,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-05-22,2800,3200,3000,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-05-24,2600,3200,2800,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-05-25,2600,3000,2800,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-05-29,2600,3200,2800,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-06-01,2800,3500,3200,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-06-07,2800,3200,3000,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-06-15,3200,3600,3400,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-06-17,3200,3600,3400,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-06-18,3200,3600,3400,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-07-18,2600,3200,2800,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-07-20,2400,3000,2800,169
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,2019-08-02,2400,2800,2600,169
