State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-01-08,4800,5400,5100,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-01-28,5800,6100,5950,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-01-30,5800,6100,5950,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-02-06,5900,6200,6050,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-02-11,6000,6200,6100,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-02-14,6000,6200,6100,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-03-05,6100,6300,6200,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-03-09,6100,6300,6200,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-03-31,5800,6000,5900,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-04-08,7500,8000,7750,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-04-28,7500,8000,7750,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-05-12,7500,8000,7750,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-05-26,7000,7200,7100,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-06-26,6800,7000,6900,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-06-30,6800,7000,6900,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-07-21,6500,6800,6650,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-07-22,6400,6500,6450,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-08-03,6400,6800,6600,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-08-04,6400,6800,6600,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-08-21,6400,6800,6600,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-09-09,6800,7100,6950,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-09-16,6800,7100,6950,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-09-19,6400,6800,6600,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-09-22,6400,6800,6600,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-09-25,6400,6800,6600,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-10-01,6400,6800,6600,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-10-05,6400,6800,6600,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-10-15,6400,6800,6600,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-10-28,6800,7200,7000,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-11-03,6900,7200,7050,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-11-05,6900,7200,7050,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-11-24,6800,7000,6900,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-11-25,680,7200,7000,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-12-01,6900,7200,7050,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-12-14,6800,7000,6900,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-12-23,6500,7000,6750,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2020-12-28,6500,7000,6750,295
Karnataka,Hassan,Hassan,Chennangi Dal,Chennangi Dal,FAQ,2020-03-12,5101,5101,5101,295
Karnataka,Hassan,Hassan,Chennangi Dal,Chennangi Dal,FAQ,2020-05-12,5150,5325,5325,295
Karnataka,Hassan,Hassan,Chennangi Dal,Chennangi Dal,FAQ,2020-05-29,5047,5047,5047,295
Karnataka,Hassan,Hassan,Chennangi Dal,Chennangi Dal,FAQ,2020-06-23,5600,5600,5600,295
Karnataka,Hassan,Hassan,Chennangi Dal,Chennangi Dal,FAQ,2020-06-30,5125,5125,5125,295
Karnataka,Hassan,Hassan,Chennangi Dal,Chennangi Dal,FAQ,2020-09-04,6400,6400,6400,295
Karnataka,Hassan,Hassan,Chennangi Dal,Chennangi Dal,FAQ,2020-09-22,5650,5650,5650,295
Karnataka,Hassan,Hassan,Chennangi Dal,Chennangi Dal,FAQ,2020-10-19,6450,6450,6450,295
Gujarat,Surat,Songadh,Chennangi Dal,Other,FAQ,2015-01-22,3057,3057,3057,295
Gujarat,Surat,Songadh,Chennangi Dal,Other,FAQ,2015-02-26,3610,3610,3610,295
Gujarat,Surat,Songadh,Chennangi Dal,Other,FAQ,2015-03-14,3345,3450,3397,295
Gujarat,Surat,Songadh,Chennangi Dal,Other,FAQ,2015-03-21,3325,3510,3417,295
Haryana,Jhajar,Beri,Chennangi Dal,Other,FAQ,2015-03-11,2400,2600,2500,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-01-01,6600,7500,7100,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-01-02,6550,7550,7000,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-01-06,6650,7500,7100,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-01-08,6650,7500,7100,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-01-24,6500,7500,6800,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-01-29,6500,7500,6800,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-01-31,7000,7400,7200,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-02-04,7000,7400,7200,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,Large,2015-02-10,7000,7200,7100,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-02-13,7000,7200,7100,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-02-18,7000,7200,7100,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-03-07,6800,7200,7000,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-03-10,3500,4500,3900,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-03-17,6500,7000,6800,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-03-25,6000,7000,6500,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-03-27,6000,7000,6500,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-03-31,6000,7000,6500,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-04-04,6000,7000,6500,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-04-06,6000,7000,6500,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-04-22,5800,7000,6500,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-04-29,6200,7600,7000,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-05-02,6200,7600,7000,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-05-08,7000,7600,7200,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-05-11,7000,7600,7200,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-05-12,7000,7600,7200,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-05-13,7000,7600,7200,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-05-19,6500,7500,7200,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-05-22,6500,7500,7200,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-05-23,6500,7000,6800,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-05-26,6500,7000,6800,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-06-20,7000,7600,7300,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-06-27,7000,7600,7300,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-06-29,7500,8000,7750,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-07-08,7500,8000,7750,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-07-30,8000,8500,8250,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-07-31,8000,8500,8250,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-08-05,8000,8500,8250,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-08-10,8000,8500,8250,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-08-18,8000,8500,8250,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-09-01,8000,8500,8250,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-09-07,8000,9000,8500,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-09-09,8000,9000,8500,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-09-21,7000,8000,7500,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-09-24,7000,8000,7500,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-10-03,7000,8000,7500,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-10-07,8200,8400,8300,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-10-15,8200,8400,8300,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-10-19,8200,8500,8350,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-11-03,8000,8600,8300,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-12-07,8000,8600,8300,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-12-08,8000,8600,8300,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-12-16,8000,8600,8300,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-12-19,8000,8600,8300,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-12-21,8000,8600,8300,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2015-12-30,7500,8600,8050,295
Karnataka,Belgaum,Nippani,Chennangi Dal,Chennangi Dal,FAQ,2015-03-06,5403,5403,5403,295
Karnataka,Belgaum,Nippani,Chennangi Dal,Chennangi Dal,FAQ,2015-06-24,6000,7000,6643,295
Karnataka,Belgaum,Nippani,Chennangi Dal,Chennangi Dal,FAQ,2015-07-29,7500,7980,7940,295
Karnataka,Hassan,Hassan,Chennangi Dal,Chennangi Dal,FAQ,2015-08-27,5850,5850,5850,295
Punjab,Jalandhar,Noor Mehal,Chennangi Dal,Other,FAQ,2015-12-10,5200,6000,5600,295
Punjab,Jalandhar,Noor Mehal,Chennangi Dal,Other,FAQ,2015-12-21,5100,5900,5500,295
Punjab,Jalandhar,Noor Mehal,Chennangi Dal,Other,FAQ,2015-12-24,5000,5600,5300,295
Punjab,Jalandhar,Noor Mehal,Chennangi Dal,Other,FAQ,2015-12-29,5200,5600,5400,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2012-01-04,3500,4100,3920,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2012-01-10,3500,4100,3920,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2012-01-25,3500,4100,3920,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2012-02-02,3500,4100,3920,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2012-02-07,3500,4100,3920,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2012-02-08,3500,4100,3920,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2012-02-17,3000,3900,3500,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2012-03-01,3200,3700,3400,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2012-03-12,3500,3800,3700,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2012-03-21,3400,3600,3500,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2012-03-29,3400,3600,3500,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2012-03-30,3400,3600,3500,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2012-04-18,3600,3940,3800,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,Large,2012-04-23,3600,3940,3800,295
Karnataka,Bangalore,Bangalore,Chennangi Dal,Chennangi Dal,FAQ,2012-04-26,3600,3940,3800,295
