State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,West Godavari,Tadepalligudem,Chili Red,Red,FAQ,2009-12-18,5000,6200,6000,26
Andhra Pradesh,West Godavari,Tadepalligudem,Chili Red,Red,FAQ,2009-12-23,5000,6200,6000,26
Andhra Pradesh,West Godavari,Tadepalligudem,Chili Red,Red,FAQ,2009-12-27,5000,6100,5900,26
Assam,Kamrup,P.O. Uparhali Guwahati,Chili Red,Other,FAQ,2009-10-19,3500,4200,4100,26
Chattisgarh,Koria,Baikunthpur,Chili Red,Other,FAQ,2009-03-26,1000,1000,1000,26
Chattisgarh,Koria,Baikunthpur,Chili Red,Other,FAQ,2009-08-29,1000,1000,1000,26
Chattisgarh,Koria,Baikunthpur,Chili Red,Other,FAQ,2009-09-29,1000,1000,1000,26
Chattisgarh,Narayanpur,Narayanpur,Chili Red,Other,FAQ,2009-08-19,1800,2000,1800,26
Gujarat,Amreli,Amreli,Chili Red,Red,FAQ,2009-03-19,6105,7580,6885,26
Gujarat,Amreli,Amreli,Chili Red,Red,FAQ,2009-03-21,4915,7625,6125,26
Gujarat,Amreli,Amreli,Chili Red,Red,FAQ,2009-03-23,5500,8375,6000,26
Gujarat,Amreli,Amreli,Chili Red,Red,FAQ,2009-04-04,6875,9275,6955,26
Gujarat,Amreli,Amreli,Chili Red,Red,FAQ,2009-04-06,6500,8750,8100,26
Gujarat,Amreli,Amreli,Chili Red,Red,FAQ,2009-04-07,4000,9000,6000,26
Gujarat,Amreli,Amreli,Chili Red,Red,FAQ,2009-04-20,8500,8500,8500,26
Gujarat,Amreli,Amreli,Chili Red,Red,FAQ,2009-04-22,2775,10100,7875,26
Gujarat,Banaskanth,Vadgam,Chili Red,Other,FAQ,2009-09-11,3150,3150,3150,26
Gujarat,Banaskanth,Vadgam,Chili Red,Other,FAQ,2009-10-01,2785,2785,2785,26
Gujarat,Banaskanth,Vadgam,Chili Red,Other,FAQ,2009-10-29,3000,3200,3100,26
Gujarat,Jamnagar,Jamnagar,Chili Red,Other,FAQ,2009-02-03,4825,6000,5413,26
Gujarat,Jamnagar,Jamnagar,Chili Red,Other,FAQ,2009-02-13,4500,5000,4750,26
Gujarat,Jamnagar,Jamnagar,Chili Red,Other,FAQ,2009-02-17,3750,5250,4500,26
Gujarat,Jamnagar,Jamnagar,Chili Red,Other,FAQ,2009-02-19,1850,3500,2690,26
Gujarat,Jamnagar,Jamnagar,Chili Red,Other,FAQ,2009-02-25,4500,5600,5050,26
Gujarat,Jamnagar,Jamnagar,Chili Red,Other,FAQ,2009-03-12,3100,5600,4350,26
Gujarat,Jamnagar,Jamnagar,Chili Red,Other,FAQ,2009-03-17,4200,6275,5240,26
Gujarat,Jamnagar,Jamnagar,Chili Red,Other,FAQ,2009-04-04,5000,7900,6450,26
Gujarat,Jamnagar,Jamnagar,Chili Red,Other,FAQ,2009-04-11,5000,7525,6263,26
Gujarat,Jamnagar,Jamnagar,Chili Red,Other,FAQ,2009-04-16,5000,6975,5990,26
Gujarat,Jamnagar,Jamnagar,Chili Red,Other,FAQ,2009-04-17,5000,7525,6265,26
Gujarat,Jamnagar,Jamnagar,Chili Red,Other,FAQ,2009-04-20,4500,7125,5825,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-02-09,3500,5000,4250,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-02-11,4000,6000,5250,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-02-14,4500,6000,5375,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-02-16,4500,5500,5125,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-02-19,3500,5500,4750,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-02-27,4500,6725,6000,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-03-04,3150,6150,5500,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-03-09,3500,6775,5750,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-03-21,3100,7500,6250,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-03-26,3500,7050,6000,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-04-13,3250,8550,6250,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-04-15,3750,9150,6750,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-04-18,3000,9250,7000,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-04-23,4750,6355,5000,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-05-01,7000,9400,8500,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-05-11,5500,10000,8000,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-05-16,4500,6500,5875,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-05-29,2500,5700,5000,26
Gujarat,Rajkot,Rajkot,Chili Red,Red,FAQ,2009-06-04,5000,7250,6250,26
