State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Pune,Manchar,Chrysanthemum(Loose),Other,FAQ,2007-01-03,1000,1000,1000.0,231
Maharashtra,Pune,Manchar,Chrysanthemum(Loose),Other,FAQ,2007-01-05,800,1000,900.0,231
Maharashtra,Pune,Manchar,Chrysanthemum(Loose),Other,FAQ,2007-01-12,900,900,900.0,231
Maharashtra,Pune,Manchar,Chrysanthemum(Loose),Other,FAQ,2007-02-05,1000,1000,1000.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-01-06,16,28,20.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-01-15,30,40,35.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-01-30,30,50,40.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-10-04,40,70,60.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-10-07,50,70,60.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-10-11,40,70,60.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-10-15,60,80,70.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-10-22,45,80,70.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-10-23,50,70,60.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-10-24,40,60,50.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-11-03,30,60,50.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-11-06,40,80,60.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-11-08,90,120,100.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-11-10,50,80,70.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-11-13,30,60,50.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-11-17,30,60,45.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-12-06,10,20,15.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-12-08,5,15,10.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-12-11,4,10,8.0,231
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-12-30,20,40,35.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-01-09,30,40,35.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-01-13,25,30,28.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-01-29,60,80,70.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-01-30,20,30,25.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-02-16,8,12,10.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-09-04,80,120,100.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-09-06,70,90,80.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-10-12,60,100,80.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-10-13,60,120,90.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-10-14,70,100,85.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-10-17,80,120,100.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-10-22,60,80,70.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-11-09,100,150,125.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-11-15,50,70,60.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-11-16,40,60,50.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-11-26,20,40,30.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-11-28,10,20,15.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-12-24,10,15,12.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Chysanthemum(Loose),FAQ,2007-12-30,20,30,25.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-03-31,8000,10000,8500.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-06-21,5000,8500,6900.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-07-04,8000,11000,9500.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-07-12,5000,8000,6500.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-07-20,8000,12000,10000.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-09-18,2000,3000,2500.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-09-19,2000,3000,2500.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-10-13,7000,12000,10000.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-10-15,3300,6300,4800.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-10-17,3900,6900,5400.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-10-18,4200,7200,5700.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-10-20,3300,6300,4800.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-10-27,4000,7000,5500.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-10-30,10000,14000,12000.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-10-31,10000,13000,12000.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-11-03,8000,10000,9000.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-11-16,2500,6500,5500.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-12-18,10000,15000,13000.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-12-27,8000,12000,10000.0,231
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,2021-12-28,12000,17000,15000.0,231
Karnataka,Kolar,Malur,Chrysanthemum(Loose),Other,FAQ,2021-08-03,3000,5000,3846.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-01-03,4000,10000,7000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-01-04,5000,10000,8000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-01-05,4000,10000,7000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-01-16,3000,6000,5000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-01-20,2000,5000,4000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-01-22,2000,5000,4000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-01-29,2000,4000,3000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-01-30,2000,5000,4000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-02-02,1000,3000,2800.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-02-10,2000,4000,3000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-03-08,1500,3000,2800.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-05-08,4000,5000,4500.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-07-05,8000,16000,15000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-07-10,10000,15000,13000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-07-17,15000,30000,22000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-07-18,15000,30000,23000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-07-22,15000,25000,20000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-07-31,10000,20000,16000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-08-03,8000,16000,13000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-08-23,10000,15000,14000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-08-25,10000,15000,12000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-09-25,5000,10000,7000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-09-28,5000,8000,6000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-09-29,5000,10000,8000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-09-30,6000,12000,10000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-10-01,8000,12000,10000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-10-05,8000,12000,10000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-10-09,8000,12000,10000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-10-18,8000,12000,11000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-10-22,10000,15000,12000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-10-23,10000,12000,11000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-11-06,8000,12000,11000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-11-08,5000,10000,8000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-11-12,5000,10000,7000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-11-13,8000,12000,10000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-11-19,10000,15000,13000.0,231
NCT of Delhi,Delhi,"Flower Market,Gazipur",Chrysanthemum(Loose),Other,FAQ,2021-11-30,4000,8000,5000.0,231
