State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-02-01,50000,70000,60000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-02-15,80000,100000,90000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-02-18,80000,100000,90000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-03-10,80000,100000,90000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-03-11,80000,100000,90000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-03-17,80000,100000,90000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-03-29,80000,100000,90000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-03-31,150000,200000,175000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-05-05,20000,30000,25000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-05-24,15000,20000,17500,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-05-25,15000,20000,17500,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-06-07,15000,20000,17500,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-06-08,15000,20000,17500,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-07-28,16000,20000,18000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-08-09,16000,20000,18000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-08-10,16000,20000,18000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-08-24,16000,20000,18000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-09-08,20000,25000,22500,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-09-29,22000,29000,25500,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-10-01,22000,29000,25500,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-11-10,20000,22000,21000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-11-24,20000,22000,21000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-12-02,20000,22000,21000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2022-12-14,20000,22000,21000,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2024-01-10,16500,23000,19750.0,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2024-01-11,16500,23000,19750.0,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2024-01-18,16500,23000,19750.0,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2024-01-30,16500,23000,19750.0,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2024-01-31,16500,23000,19750.0,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2024-02-21,16000,24500,20250.0,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2024-03-01,16000,24500,20250.0,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2024-03-06,16000,24500,20250.0,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2024-03-14,16000,24600,20350.0,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2024-03-16,16000,24600,20350.0,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2024-03-21,16000,24600,20350.0,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2024-06-25,13000,22000,17500,316
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,2024-06-26,13000,22000,17500,316
