State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Kerala,Idukki,Adimali,Cloves,Other,FAQ,2018-01-23,62500,63500,63000,105
Kerala,Idukki,Adimali,Cloves,Other,FAQ,2018-02-02,650,670,660,105
Kerala,Idukki,Adimali,Cloves,Other,FAQ,2018-05-04,75000,78000,77000,105
Kerala,Idukki,Adimali,Cloves,Other,FAQ,2018-06-01,6700,6900,6800,105
Kerala,Idukki,Adimali,Cloves,Other,FAQ,2018-06-05,6700,6900,6800,105
Kerala,Idukki,Adimali,Cloves,Other,FAQ,2018-06-08,6700,6900,6800,105
Kerala,Idukki,Adimali,Cloves,Other,FAQ,2018-09-11,500,530,520,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-01-01,68000,68000,68000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-01-03,71000,71000,71000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-01-08,71000,71000,71000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-01-09,65000,65000,65000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-01-11,70000,70000,70000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-01-12,65000,65000,65000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-01-18,68000,68000,68000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-02-02,63000,63000,63000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-02-09,61000,61000,61000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-02-13,62000,62000,62000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-02-16,62500,62500,62500,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-02-23,63000,63000,63000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-02-24,62500,62500,62500,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-03-01,23000,23000,23000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-03-10,62000,62000,62000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-03-22,62000,62000,62000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-04-07,60000,60000,60000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-04-19,65000,65000,65000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-05-15,67000,67000,67000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-05-21,67500,67500,67500,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-07-28,72000,72000,72000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-09-29,72000,72000,72000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-10-31,70000,70000,70000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-11-06,70000,70000,70000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-11-19,71000,71000,71000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-11-21,71000,71000,71000,105
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,2018-12-04,70000,70000,70000,105
