State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,East Godavari,Alamuru,Coconut,Medium,FAQ,2007-03-23,2000.0,2100.0,2050.0,138
Andhra Pradesh,East Godavari,Allavaram,Coconut,Coconut,FAQ,2007-01-26,2200.0,2400.0,2300.0,138
Andhra Pradesh,East Godavari,Allavaram,Coconut,Coconut,FAQ,2007-06-08,1700.0,1900.0,1800.0,138
Andhra Pradesh,East Godavari,Allavaram,Coconut,Grade-III,FAQ,2007-01-05,2100.0,2300.0,2200.0,138
Andhra Pradesh,East Godavari,Allavaram,Coconut,Grade-III,FAQ,2007-05-31,1700.0,1900.0,1800.0,138
Andhra Pradesh,East Godavari,Allavaram,Coconut,Grade-III,FAQ,2007-10-08,1700.0,1900.0,1800.0,138
Andhra Pradesh,East Godavari,Allavaram,Coconut,Medium,FAQ,2007-01-23,2200.0,2400.0,2300.0,138
Andhra Pradesh,East Godavari,Allavaram,Coconut,Medium,FAQ,2007-01-24,2200.0,2400.0,2300.0,138
Andhra Pradesh,East Godavari,Allavaram,Coconut,Medium,FAQ,2007-01-27,2200.0,2400.0,2300.0,138
Andhra Pradesh,East Godavari,Allavaram,Coconut,Medium,FAQ,2007-01-29,2200.0,2400.0,2300.0,138
Andhra Pradesh,East Godavari,Allavaram,Coconut,Medium,FAQ,2007-02-01,2200.0,2400.0,2300.0,138
Andhra Pradesh,East Godavari,Allavaram,Coconut,Medium,FAQ,2007-02-13,2200.0,2400.0,2300.0,138
Andhra Pradesh,East Godavari,Allavaram,Coconut,Medium,FAQ,2007-02-23,2200.0,2400.0,2200.0,138
Andhra Pradesh,East Godavari,Allavaram,Coconut,Medium,FAQ,2007-02-27,2200.0,2400.0,2300.0,138
Andhra Pradesh,East Godavari,Allavaram,Coconut,Medium,FAQ,2007-03-02,2200.0,2400.0,2300.0,138
Andhra Pradesh,East Godavari,Allavaram,Coconut,Medium,FAQ,2007-03-05,2200.0,2400.0,2300.0,138
Andhra Pradesh,East Godavari,Allavaram,Coconut,Medium,FAQ,2007-03-07,2200.0,2400.0,2300.0,138
