State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-03-17,1870,2131,2131,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-03-23,2140,2140,2140,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-03-24,1800,2161,2161,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-04-03,1307,3211,3000,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-04-16,2469,3152,3152,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-04-25,2400,2850,2850,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-04-26,2401,2401,2401,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-05-12,2500,2500,2500,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-05-21,2418,2418,2418,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-06-01,2401,2401,2401,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-06-02,1751,2740,2680,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-06-25,500,2806,2731,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-06-26,1401,2900,2900,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-07-07,2991,3251,3150,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-07-11,2700,3489,3331,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-07-18,3253,3253,3253,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-07-25,3000,3000,3000,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-07-26,3060,3060,3060,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-08-03,3400,3400,3400,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-08-06,1300,3326,3326,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-08-14,2901,3851,3800,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-08-20,2600,3747,3500,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-08-21,2300,3766,3766,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-08-31,3181,3181,3181,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-09-06,3100,3781,3550,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-09-11,3700,3700,3700,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-09-14,3200,3729,3400,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-09-20,611,3550,3460,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-10-20,2500,3700,3700,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-11-16,3302,3302,3302,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-11-22,3900,3900,3900,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-12-03,3200,3250,3250,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-12-07,1402,1402,1402,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-12-08,900,3500,3500,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-12-13,1901,3500,3500,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-12-15,1181,3396,3396,108
Madhya Pradesh,Dewas,Dewas,Corriander seed,Coriander Seed,FAQ,2007-12-26,2292,3201,3100,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-01-04,1101,2500,2500,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-01-10,941,2441,2201,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-01-17,1360,2569,2569,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-01-27,1851,1851,1851,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-02-03,800,2401,1800,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-02-10,2196,2196,2196,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-02-22,1500,2900,1921,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-02-23,1703,2512,1800,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-02-26,1411,2160,2160,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-03-24,1800,2161,2161,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-04-03,1307,3211,3000,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-04-07,1801,1801,1801,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-04-23,2280,2280,2280,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-04-26,2401,2401,2401,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-05-10,1675,2751,2751,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-05-21,2418,2418,2418,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-05-23,2126,2651,2600,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-06-14,1800,2791,2600,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-06-15,800,2771,2771,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-06-27,2200,2799,2730,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-06-30,2500,2581,2581,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-07-14,2800,3641,3200,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-07-21,3091,3140,3140,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-07-31,2500,4070,3640,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-08-02,2551,3800,3556,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-08-13,2200,4090,3800,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-09-05,3244,3244,3244,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-09-06,3100,3781,3550,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-09-11,3700,3700,3700,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-10-16,2002,2025,2025,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-10-20,2500,3700,3700,108
Madhya Pradesh,Dewas,Haatpipliya,Corriander seed,Coriander Seed,FAQ,2007-10-27,3000,3000,3000,108
