State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-01-18,1950,2060,2000,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-02-10,1900,2100,2000,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-02-14,1950,2125,2000,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-02-19,2000,2175,2100,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-02-20,2000,2200,2100,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-02-23,2000,2250,2100,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-02-26,2000,2200,2100,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-03-01,1900,2100,2000,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-03-08,2000,2275,2100,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-03-16,2000,2300,2100,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-03-24,2000,2300,2100,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-03-28,2000,2300,2100,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-03-30,2000,2300,2100,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-04-24,2100,2400,2250,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-05-04,2000,2300,2200,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-05-17,2000,2300,2200,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-05-18,2000,2350,2200,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-05-22,2000,2350,2200,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-05-31,2000,2375,2250,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-06-09,3300,4050,3750,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-06-26,2000,2400,2200,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-07-04,2000,2425,2300,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-07-05,2000,2450,2300,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-07-12,2100,2500,2350,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-07-13,2100,2525,2350,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-07-19,2200,2600,2400,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-07-23,2200,2550,2400,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-08-17,2300,2670,2400,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-08-20,2300,2675,2400,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-08-22,2300,2675,2400,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-08-23,2300,2660,2400,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-09-05,2300,2650,2400,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-09-12,2300,2640,2400,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-09-14,2200,2630,2400,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-09-20,2100,2675,2400,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-09-28,2000,2650,2300,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-10-01,2000,2675,2350,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-10-09,1700,2175,1900,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-10-16,1700,2100,1950,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-10-27,1900,2300,2100,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-11-05,1800,2070,1950,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-11-07,1800,2125,1950,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-11-15,2000,2150,2045,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-11-20,1900,2100,2050,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-11-29,1900,2150,2050,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-11-30,1900,2150,2050,15
Telangana,Warangal,Warangal,Cotton,Cotton (Unginned),FAQ,2007-12-05,1800,2075,2045,15
