State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Rajasthan,Bharatpur,Kama,Cotton Seed,Other,FAQ,2017-11-15,4312,4475,4393,99
Rajasthan,Bharatpur,Kama,Cotton Seed,Other,FAQ,2017-11-20,4451,4690,4570,99
Rajasthan,Bharatpur,Kama,Cotton Seed,Other,FAQ,2017-11-30,4341,4960,4650,99
Rajasthan,Bharatpur,Kama,Cotton Seed,Other,FAQ,2017-12-11,4792,5000,4896,99
Rajasthan,Bharatpur,Kama,Cotton Seed,Other,FAQ,2017-12-16,3915,4290,4102,99
Rajasthan,Bharatpur,Kama,Cotton Seed,Other,FAQ,2017-12-20,4675,5151,4913,99
Rajasthan,Bharatpur,Kama,Cotton Seed,Other,FAQ,2017-12-21,4375,4700,4538,99
Rajasthan,Bharatpur,Kama,Cotton Seed,Other,FAQ,2017-12-27,5260,5260,5260,99
Rajasthan,Bharatpur,Kama,Cotton Seed,Other,FAQ,2017-12-28,5325,5592,5458,99
Rajasthan,Bharatpur,Kama,Cotton Seed,Other,FAQ,2017-12-29,4691,5491,5091,99
Telangana,Mahbubnagar,Gadwal,Cotton Seed,Other,Medium,2017-10-21,2669,4061,3879,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-01-20,0,0,3300,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-01-27,0,0,3300,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-02-05,0,0,3700,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-02-15,0,0,3550,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-02-16,0,0,3500,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-02-23,0,0,3450,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-03-03,0,0,3700,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-03-05,0,0,3700,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-03-07,0,0,3700,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-03-10,0,0,3700,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-03-15,0,0,3700,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-03-18,0,0,3700,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-03-23,0,0,3300,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-03-25,0,0,3100,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-04-15,0,0,3350,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-04-16,0,0,3400,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-04-19,0,0,3450,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-04-22,0,0,3450,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-05-12,0,0,3300,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-05-16,0,0,3300,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-06-21,0,0,3500,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-06-23,0,0,3500,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-06-24,0,0,3500,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-06-28,0,0,3460,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-06-30,0,0,3460,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-07-05,0,0,3450,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-07-23,0,0,3450,99
Uttar Pradesh,Muzaffarnagar,Khatauli,Cotton Seed,Cotton Seed,FAQ,2017-07-27,0,0,3450,99
NCT of Delhi,Delhi,Najafgarh,Cotton Seed,Cotton Seed,FAQ,2014-11-10,2000,2000,2000.0,99
NCT of Delhi,Delhi,Najafgarh,Cotton Seed,Cotton Seed,FAQ,2014-11-11,1800,1800,1800.0,99
NCT of Delhi,Delhi,Narela,Cotton Seed,Cotton Seed,FAQ,2014-05-01,2400,2400,2400.0,99
Punjab,Bhatinda,Bhucho,Cotton Seed,Other,FAQ,2014-02-18,4200,5560,5510.0,99
Punjab,Bhatinda,Bhucho,Cotton Seed,Other,FAQ,2014-02-22,4800,5640,5560.0,99
Punjab,Bhatinda,Bhucho,Cotton Seed,Other,FAQ,2014-02-26,4100,5570,5510.0,99
Rajasthan,Bharatpur,Kama,Cotton Seed,Other,FAQ,2014-11-20,3515,3521,3518.0,99
Rajasthan,Bharatpur,Kama,Cotton Seed,Other,FAQ,2014-11-21,3470,3470,3470.0,99
Rajasthan,Bharatpur,Kama,Cotton Seed,Other,FAQ,2014-12-15,3641,4076,3858.0,99
Rajasthan,Bharatpur,Kama,Cotton Seed,Other,FAQ,2014-12-19,3475,3866,3670.0,99
Rajasthan,Bharatpur,Kama,Cotton Seed,Other,FAQ,2014-12-31,4100,4192,4145.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Other,FAQ,2014-01-02,4475,5075,5030.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Other,FAQ,2014-01-07,4850,5125,5085.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Other,FAQ,2014-01-11,4500,5775,5235.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Other,FAQ,2014-01-27,4250,5430,5375.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Other,FAQ,2014-02-13,4000,5295,5270.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Other,FAQ,2014-02-15,4125,5350,5285.0,99
