State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Rajasthan,Kota,Itawa,Cowpea (Lobia/Karamani),Other,FAQ,2006-07-24,1500,1500,1500.0,92
Rajasthan,Kota,Itawa,Cowpea (Lobia/Karamani),Other,FAQ,2006-12-08,1809,1809,1809.0,92
Rajasthan,Kota,Kota,Cowpea (Lobia/Karamani),Other,FAQ,2006-01-03,1410,1451,1440.0,92
Rajasthan,Kota,Kota,Cowpea (Lobia/Karamani),Other,FAQ,2006-01-24,1332,1332,1332.0,92
Rajasthan,Kota,Kota,Cowpea (Lobia/Karamani),Other,FAQ,2006-05-06,1702,1702,1702.0,92
Rajasthan,Kota,Kota,Cowpea (Lobia/Karamani),Other,FAQ,2006-06-07,1665,1665,1665.0,92
Rajasthan,Kota,Kota,Cowpea (Lobia/Karamani),Other,FAQ,2006-09-08,1451,1451,1451.0,92
Rajasthan,Kota,Kota,Cowpea (Lobia/Karamani),Other,FAQ,2006-11-17,1672,1672,1672.0,92
Rajasthan,Kota,Kota,Cowpea (Lobia/Karamani),Other,FAQ,2006-12-07,1834,1849,1845.0,92
Rajasthan,Kota,Kota,Cowpea (Lobia/Karamani),Other,FAQ,2006-12-16,1700,1725,1715.0,92
Rajasthan,Nagaur,Degana,Cowpea (Lobia/Karamani),Other,FAQ,2006-03-27,2690,2700,2695.0,92
Rajasthan,Nagaur,Degana,Cowpea (Lobia/Karamani),Other,FAQ,2006-09-16,2450,2499,2480.0,92
Rajasthan,Nagaur,Kuchaman City,Cowpea (Lobia/Karamani),Jawari/Local,FAQ,2006-01-03,1800,2200,2100.0,92
Rajasthan,Nagaur,Kuchaman City,Cowpea (Lobia/Karamani),Jawari/Local,FAQ,2006-01-04,1980,1980,1980.0,92
Rajasthan,Nagaur,Kuchaman City,Cowpea (Lobia/Karamani),Jawari/Local,FAQ,2006-01-16,1600,1900,1800.0,92
Rajasthan,Nagaur,Kuchaman City,Cowpea (Lobia/Karamani),Jawari/Local,FAQ,2006-01-18,1800,1900,1850.0,92
Rajasthan,Nagaur,Kuchaman City,Cowpea (Lobia/Karamani),Jawari/Local,FAQ,2006-03-06,1700,2000,1900.0,92
Rajasthan,Nagaur,Kuchaman City,Cowpea (Lobia/Karamani),Jawari/Local,FAQ,2006-03-25,1366,1366,1366.0,92
Rajasthan,Nagaur,Kuchaman City,Cowpea (Lobia/Karamani),Jawari/Local,FAQ,2006-06-01,2441,2441,2441.0,92
Rajasthan,Nagaur,Kuchaman City,Cowpea (Lobia/Karamani),Jawari/Local,FAQ,2006-10-18,2700,3266,3100.0,92
Rajasthan,Nagaur,Merta City,Cowpea (Lobia/Karamani),Other,FAQ,2006-09-19,2700,2900,2800.0,92
Rajasthan,Nagaur,Merta City,Cowpea (Lobia/Karamani),Other,FAQ,2006-09-20,2650,2775,2713.0,92
Rajasthan,Nagaur,Merta City,Cowpea (Lobia/Karamani),Other,FAQ,2006-09-22,2500,2775,2638.0,92
Rajasthan,Nagaur,Merta City,Cowpea (Lobia/Karamani),Other,FAQ,2006-10-27,2350,2670,2510.0,92
Rajasthan,Pali,Rani,Cowpea (Lobia/Karamani),Other,FAQ,2006-09-30,2700,2855,2800.0,92
Rajasthan,Pali,Sumerpur,Cowpea (Lobia/Karamani),Cowpea (Whole),FAQ,2006-01-17,1461,1524,1505.0,92
Rajasthan,Pali,Sumerpur,Cowpea (Lobia/Karamani),Cowpea (Whole),FAQ,2006-02-13,1430,1579,1551.0,92
Rajasthan,Pali,Sumerpur,Cowpea (Lobia/Karamani),Cowpea (Whole),FAQ,2006-02-14,1500,1583,1555.0,92
Rajasthan,Pali,Sumerpur,Cowpea (Lobia/Karamani),Cowpea (Whole),FAQ,2006-02-25,1470,1568,1541.0,92
Rajasthan,Pali,Sumerpur,Cowpea (Lobia/Karamani),Cowpea (Whole),FAQ,2006-03-03,1425,1532,1511.0,92
Rajasthan,Pali,Sumerpur,Cowpea (Lobia/Karamani),Cowpea (Whole),FAQ,2006-03-06,1482,1540,1521.0,92
Rajasthan,Pali,Sumerpur,Cowpea (Lobia/Karamani),Cowpea (Whole),FAQ,2006-03-07,1532,1532,1532.0,92
Rajasthan,Pali,Sumerpur,Cowpea (Lobia/Karamani),Cowpea (Whole),FAQ,2006-03-09,1493,1493,1493.0,92
