State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Kerala,Idukki,Nedumkandam,Cowpea(Veg),Other,FAQ,2017-08-30,4000,4000,4000,89
Kerala,Idukki,Nedumkandam,Cowpea(Veg),Other,FAQ,2017-10-08,3000,3000,3000,89
Kerala,Idukki,Nedumkandam,Cowpea(Veg),Other,FAQ,2017-11-05,4000,4000,4000,89
Kerala,Idukki,Nedumkandam,Cowpea(Veg),Other,FAQ,2017-11-19,4000,4000,4000,89
Kerala,Idukki,Nedumkandam,Cowpea(Veg),Other,FAQ,2017-12-24,4000,4000,4000,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-01-12,3900,4000,4000,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-01-17,4900,5000,5000,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-02-03,3400,3600,3600,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-02-04,3800,4000,4000,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-02-10,4200,4400,4400,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-02-20,3800,4000,4000,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-02-23,3800,4000,4000,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-03-03,3400,3500,3500,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-03-16,3600,3800,3800,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-03-20,3800,4000,4000,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-03-24,3800,4000,4000,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-04-17,3400,3600,3600,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-04-26,2800,3000,3000,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-04-27,2800,3000,3000,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-05-04,2600,2800,2800,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-05-05,2600,2800,2800,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-05-13,3200,3400,3400,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-05-16,2900,3000,3000,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-05-19,2900,3000,3000,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-05-31,2200,2400,2400,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-06-01,2200,2400,2400,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-06-06,2400,2600,2600,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-06-07,2400,2600,2600,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-06-24,4200,4400,4400,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-06-28,3600,3700,3700,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-06-29,3600,3700,3700,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-07-01,3600,3700,3700,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-07-06,3200,3400,3400,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-07-08,3200,3400,3400,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-07-12,3200,3400,3400,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-07-13,3200,3400,3400,89
Kerala,Idukki,Thodupuzha,Cowpea(Veg),Other,FAQ,2017-07-14,3200,3400,3400,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-03-30,5000,5200,5200,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-04-11,5000,5200,5200,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-04-24,3800,4000,4000,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-04-27,4000,4200,4200,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-05-06,4600,4800,4800,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-05-10,3800,4500,4500,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-05-19,2400,2600,2600,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-05-22,2200,2400,2400,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-05-23,2000,2500,2500,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-05-27,2800,3500,3500,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-06-05,2800,3000,3000,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-06-06,3000,4000,4000,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-06-15,4200,4400,4400,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-07-19,3600,4000,4000,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-07-28,2800,3200,3200,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-08-08,4000,4200,4200,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-08-11,4000,4200,4200,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-08-14,3400,3600,3600,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-08-18,5000,5200,5200,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-08-23,4600,4800,4800,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-08-29,3000,3400,3400,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-09-09,2000,2500,2500,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-09-20,5200,5200,5200,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-09-22,5600,5800,5800,89
Kerala,Thirssur,Wadakkanchery,Cowpea(Veg),Cowpea (Veg),FAQ,2017-09-26,4000,5000,5000,89
