State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Banaskanth,Bhabhar,Cummin Seed(Jeera),Other,FAQ,2017-03-16,12750,15655,14202.0,42
Gujarat,Banaskanth,Bhabhar,Cummin Seed(Jeera),Other,FAQ,2017-03-24,13500,16350,14925.0,42
Gujarat,Banaskanth,Deesa(Bhildi),Cummin Seed(Jeera),Other,FAQ,2017-02-27,12500,14955,12500.0,42
Gujarat,Banaskanth,Deesa(Bhildi),Cummin Seed(Jeera),Other,FAQ,2017-03-07,14000,15000,14500.0,42
Gujarat,Banaskanth,Deesa(Bhildi),Cummin Seed(Jeera),Other,FAQ,2017-03-09,15000,15225,15155.0,42
Gujarat,Banaskanth,Deesa(Bhildi),Cummin Seed(Jeera),Other,FAQ,2017-03-17,14250,14730,14500.0,42
Gujarat,Banaskanth,Deesa(Bhildi),Cummin Seed(Jeera),Other,FAQ,2017-03-20,13505,15250,15110.0,42
Gujarat,Banaskanth,Deesa(Bhildi),Cummin Seed(Jeera),Other,FAQ,2017-04-15,14500,16805,16300.0,42
Gujarat,Banaskanth,Deesa(Bhildi),Cummin Seed(Jeera),Other,FAQ,2017-04-22,16230,16995,16500.0,42
Gujarat,Banaskanth,Deesa(Bhildi),Cummin Seed(Jeera),Other,FAQ,2017-05-13,14255,14255,14255.0,42
Gujarat,Banaskanth,Deesa(Bhildi),Cummin Seed(Jeera),Other,FAQ,2017-05-16,15750,15750,15750.0,42
Gujarat,Banaskanth,Deesa(Bhildi),Cummin Seed(Jeera),Other,FAQ,2017-09-08,12500,12500,12500.0,42
Gujarat,Banaskanth,Dhanera,Cummin Seed(Jeera),Other,FAQ,2017-01-04,15655,16100,15877.0,42
Gujarat,Banaskanth,Dhanera,Cummin Seed(Jeera),Other,FAQ,2017-01-31,16590,16590,16590.0,42
Gujarat,Banaskanth,Dhanera,Cummin Seed(Jeera),Other,FAQ,2017-02-02,16500,16555,16527.0,42
Gujarat,Banaskanth,Dhanera,Cummin Seed(Jeera),Other,FAQ,2017-02-06,16555,16555,16555.0,42
Gujarat,Banaskanth,Dhanera,Cummin Seed(Jeera),Other,FAQ,2017-02-07,13000,16500,14750.0,42
Gujarat,Banaskanth,Dhanera,Cummin Seed(Jeera),Other,FAQ,2017-02-14,14355,15400,14877.0,42
Gujarat,Banaskanth,Dhanera,Cummin Seed(Jeera),Other,FAQ,2017-02-15,15800,15800,15800.0,42
Gujarat,Banaskanth,Dhanera,Cummin Seed(Jeera),Other,FAQ,2017-02-23,15500,15500,15500.0,42
Gujarat,Banaskanth,Dhanera,Cummin Seed(Jeera),Other,FAQ,2017-02-27,15800,17000,16400.0,42
Gujarat,Banaskanth,Dhanera,Cummin Seed(Jeera),Other,FAQ,2017-03-09,14455,16105,15280.0,42
Gujarat,Banaskanth,Dhanera,Cummin Seed(Jeera),Other,FAQ,2017-03-10,14650,16180,15415.0,42
Gujarat,Banaskanth,Dhanera,Cummin Seed(Jeera),Other,FAQ,2017-03-20,14055,16200,15127.0,42
Gujarat,Banaskanth,Dhanera,Cummin Seed(Jeera),Other,FAQ,2017-04-03,14455,16680,15567.0,42
Gujarat,Banaskanth,Dhanera,Cummin Seed(Jeera),Other,FAQ,2017-04-06,14000,17150,15575.0,42
Gujarat,Banaskanth,Dhanera,Cummin Seed(Jeera),Other,FAQ,2017-04-18,15500,17470,16485.0,42
