State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Jharkhand,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,2020-06-17,8000,9000,8500,273
Jharkhand,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,2020-06-26,8500,9000,8800,273
Jharkhand,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,2020-06-29,8500,9500,9000,273
Jharkhand,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,2020-07-03,8500,9500,9000,273
Jharkhand,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,2020-07-10,9000,9500,9200,273
Jharkhand,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,2020-07-11,9000,9500,9200,273
Jharkhand,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,2020-07-16,9500,10000,9800,273
Jharkhand,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,2020-07-23,9500,10000,9800,273
Jharkhand,Deogarh,Madhupur,Dalda,Other,FAQ,2011-01-06,6100,6200,6180,273
Jharkhand,Deogarh,Madhupur,Dalda,Other,FAQ,2011-01-07,6100,6200,6180,273
Jharkhand,Deogarh,Madhupur,Dalda,Other,FAQ,2011-01-15,6100,6200,6180,273
Jharkhand,Deogarh,Madhupur,Dalda,Other,FAQ,2011-01-20,6100,6200,6180,273
Jharkhand,Deogarh,Madhupur,Dalda,Other,FAQ,2011-01-31,6300,6400,6380,273
Jharkhand,Deogarh,Madhupur,Dalda,Other,FAQ,2011-02-04,6300,6400,6380,273
Jharkhand,Deogarh,Madhupur,Dalda,Other,FAQ,2011-02-05,6300,6400,6380,273
Jharkhand,Deogarh,Madhupur,Dalda,Other,FAQ,2011-02-09,6300,6400,6380,273
Jharkhand,Deogarh,Madhupur,Dalda,Other,FAQ,2011-02-10,6300,6400,6380,273
Jharkhand,Deogarh,Madhupur,Dalda,Other,FAQ,2011-02-11,6300,6400,6380,273
Jharkhand,Deogarh,Madhupur,Dalda,Other,FAQ,2011-02-15,6500,6600,6580,273
