State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-02-27,4400,5300,5100,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-04-03,4600,5800,5400,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-04-04,4600,5800,5400,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-04-15,5200,6000,5600,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-05-11,5000,5400,5200,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-05-19,4500,5500,5300,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-05-29,4700,5500,5100,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-06-01,4800,5300,5100,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-06-06,4700,5200,5000,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-06-26,4300,5200,4800,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-07-03,4200,5400,4800,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-07-04,4200,5400,4800,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-07-11,4000,5000,4500,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-07-17,4000,4900,4500,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-07-28,4200,5100,4500,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-08-12,4500,5500,4900,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-09-14,4200,5300,4700,132
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,1st Sort,FAQ,2007-09-19,4200,5200,4700,132
