State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Sirsa,Sirsa,Dry Fodder,Other,FAQ,2007-01-04,200,272,255,345
Haryana,Sirsa,Sirsa,Dry Fodder,Other,FAQ,2007-01-06,210,285,255,345
Haryana,Sirsa,Sirsa,Dry Fodder,Other,FAQ,2007-01-15,251,300,280,345
Haryana,Sirsa,Sirsa,Dry Fodder,Other,FAQ,2007-01-17,250,310,310,345
Haryana,Sirsa,Sirsa,Dry Fodder,Other,FAQ,2007-01-20,250,315,293,345
Haryana,Sirsa,Sirsa,Dry Fodder,Other,FAQ,2007-01-25,230,325,285,345
Haryana,Sirsa,Sirsa,Dry Fodder,Other,FAQ,2007-01-27,200,300,290,345
Haryana,Sirsa,Sirsa,Dry Fodder,Other,FAQ,2007-02-07,250,330,300,345
Haryana,Sirsa,Sirsa,Dry Fodder,Other,FAQ,2007-02-20,200,325,250,345
Haryana,Sirsa,Sirsa,Dry Fodder,Other,FAQ,2007-03-05,200,312,250,345
Haryana,Sirsa,Sirsa,Dry Fodder,Other,FAQ,2007-03-20,250,420,300,345
Haryana,Sirsa,Sirsa,Dry Fodder,Other,FAQ,2007-03-31,210,315,252,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-01-03,340,360,350,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-01-13,340,360,350,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-01-23,320,340,330,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-01-28,320,340,330,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-02-03,330,350,335,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-02-07,330,340,335,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-02-09,320,340,330,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-02-10,320,340,330,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-02-12,320,340,330,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-02-13,330,360,345,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-02-17,330,350,340,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-02-23,330,350,340,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-02-24,330,350,340,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-03-12,330,345,342,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-03-22,350,380,360,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-03-28,340,360,350,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-04-07,350,370,360,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-04-08,350,370,360,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-04-10,340,360,350,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-04-13,300,320,310,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-04-22,270,290,280,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-04-28,270,290,280,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-05-12,240,260,250,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-05-14,240,260,250,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-05-16,220,240,230,345
NCT of Delhi,Delhi,"Fodder Market, Mangolpuri",Dry Fodder,Dry Fodder,FAQ,2007-05-23,230,250,240,345
