State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
West Bengal,Malda,Samsi,Duck,Other,FAQ,2006-04-27,220,220,220.0,370
West Bengal,Malda,Samsi,Duck,Other,FAQ,2006-06-01,210,210,210.0,370
West Bengal,Malda,Samsi,Duck,Other,FAQ,2006-06-29,220,220,220.0,370
West Bengal,Malda,Samsi,Duck,Other,FAQ,2006-07-20,240,240,240.0,370
Tripura,Sepahijala,Jumpuijala,Duck,Other,FAQ,2011-01-20,140,200,180.0,370
Tripura,Sepahijala,Jumpuijala,Duck,Other,FAQ,2011-03-27,160,190,180.0,370
Tripura,Sepahijala,Melaghar,Duck,Local,FAQ,2011-05-03,130,200,150.0,370
Tripura,Sepahijala,Melaghar,Duck,Local,FAQ,2011-05-10,140,200,170.0,370
Tripura,Unokoti,Pabiacherra,Duck,Local,FAQ,2011-06-11,160,250,225.0,370
Tripura,Dhalai,Chowmanu,Duck,Local,FAQ,2018-02-17,450,500,500.0,370
Tripura,Dhalai,Chowmanu,Duck,Local,FAQ,2018-03-17,450,500,500.0,370
Tripura,Dhalai,Chowmanu,Duck,Local,FAQ,2018-04-07,500,600,600.0,370
Tripura,Dhalai,Chowmanu,Duck,Local,FAQ,2018-06-02,4,5,5.0,370
Tripura,Dhalai,Chowmanu,Duck,Local,FAQ,2018-09-22,450,500,475.0,370
Tripura,Dhalai,Masli,Duck,Local,FAQ,2018-02-06,450,500,500.0,370
Tripura,Dhalai,Masli,Duck,Local,FAQ,2018-02-13,450,500,500.0,370
Tripura,Dhalai,Masli,Duck,Local,FAQ,2018-04-10,450,500,500.0,370
Tripura,Khowai,Bachaibari,Duck,Local,FAQ,2018-03-24,250,400,350.0,370
Tripura,Khowai,Bachaibari,Duck,Local,FAQ,2018-04-10,250,400,350.0,370
Tripura,Khowai,Bachaibari,Duck,Local,FAQ,2018-04-17,200,400,350.0,370
Tripura,Khowai,Bachaibari,Duck,Local,FAQ,2018-05-26,200,450,300.0,370
Tripura,Khowai,Bachaibari,Duck,Local,FAQ,2018-08-28,200,300,250.0,370
Tripura,West District,Kamalghat,Duck,Local,FAQ,2018-01-05,275,350,300.0,370
Tripura,West District,Kamalghat,Duck,Local,FAQ,2018-01-19,350,400,375.0,370
Tripura,West District,Kamalghat,Duck,Local,FAQ,2018-02-02,300,400,360.0,370
Tripura,West District,Kamalghat,Duck,Local,FAQ,2018-04-06,250,325,300.0,370
Tripura,West District,Kamalghat,Duck,Local,FAQ,2018-04-09,250,300,275.0,370
Tripura,West District,Kamalghat,Duck,Local,FAQ,2018-06-15,250,300,275.0,370
Tripura,West District,Kamalghat,Duck,Local,FAQ,2018-07-06,250,350,300.0,370
Tripura,West District,Kamalghat,Duck,Local,FAQ,2018-09-17,260,320,280.0,370
Tripura,West District,Kamalghat,Duck,Local,FAQ,2018-09-18,250,350,300.0,370
Tripura,Dhalai,Chowmanu,Duck,Local,FAQ,2020-03-07,500,600,550.0,370
Tripura,Dhalai,Chowmanu,Duck,Local,FAQ,2020-06-13,700,800,750.0,370
Tripura,Dhalai,Chowmanu,Duck,Local,FAQ,2020-07-04,600,700,650.0,370
Tripura,Dhalai,Masli,Duck,Local,FAQ,2020-08-11,150,200,160.0,370
Tripura,Dhalai,Masli,Duck,Local,FAQ,2020-08-18,150,250,200.0,370
Tripura,Khowai,Bachaibari,Duck,Local,FAQ,2020-02-11,340,500,450.0,370
Tripura,Khowai,Bachaibari,Duck,Local,FAQ,2020-03-17,280,500,450.0,370
Tripura,Khowai,Bachaibari,Duck,Local,FAQ,2020-08-15,350,560,500.0,370
Tripura,Khowai,Bachaibari,Duck,Local,FAQ,2020-09-26,360,550,500.0,370
Tripura,Khowai,Bachaibari,Duck,Local,FAQ,2020-10-06,350,550,500.0,370
Tripura,Khowai,Bachaibari,Duck,Local,FAQ,2020-10-13,360,550,500.0,370
Tripura,Khowai,Bachaibari,Duck,Local,FAQ,2020-10-17,360,560,500.0,370
Tripura,Khowai,Bachaibari,Duck,Local,FAQ,2020-11-21,380,560,500.0,370
Tripura,Khowai,Bachaibari,Duck,Local,FAQ,2020-12-01,380,560,500.0,370
Tripura,Khowai,Bachaibari,Duck,Local,FAQ,2020-12-05,360,550,500.0,370
Tripura,Khowai,Bachaibari,Duck,Local,FAQ,2020-12-15,460,600,550.0,370
