State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Tumkur,Madhugiri,Firewood,Firewood,FAQ,2009-03-31,100,200,150,206
Tripura,West District,Champaknagar,Firewood,Firewood,FAQ,2009-01-28,190,210,200,206
Tripura,West District,Champaknagar,Firewood,Firewood,FAQ,2009-06-11,200,220,210,206
Uttar Pradesh,Rampur,Vilaspur,Firewood,Other,FAQ,2009-01-30,0,0,200,206
Uttar Pradesh,Rampur,Vilaspur,Firewood,Other,FAQ,2009-02-07,0,0,180,206
Uttar Pradesh,Rampur,Vilaspur,Firewood,Other,FAQ,2009-02-10,0,0,180,206
Uttar Pradesh,Rampur,Vilaspur,Firewood,Other,FAQ,2009-02-11,0,0,180,206
Uttar Pradesh,Rampur,Vilaspur,Firewood,Other,FAQ,2009-02-26,0,0,190,206
Uttar Pradesh,Rampur,Vilaspur,Firewood,Other,FAQ,2009-03-03,0,0,190,206
Punjab,Hoshiarpur,Garhshankar(Saila Khurd),Firewood,Other,FAQ,2015-02-26,200,250,250,206
Punjab,Hoshiarpur,Garhshankar(Saila Khurd),Firewood,Other,FAQ,2015-04-17,200,300,250,206
Punjab,Hoshiarpur,Garhshankar(Saila Khurd),Firewood,Other,FAQ,2015-05-14,200,400,320,206
Punjab,Hoshiarpur,Garhshankar(Saila Khurd),Firewood,Other,FAQ,2015-06-30,300,400,350,206
Punjab,Hoshiarpur,Garhshankar(Saila Khurd),Firewood,Other,FAQ,2015-08-13,250,300,300,206
Uttar Pradesh,Amethi,Sultanpur,Firewood,Firewood,FAQ,2020-01-10,350,400,375,206
Uttar Pradesh,Amethi,Sultanpur,Firewood,Firewood,FAQ,2020-01-24,350,400,360,206
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,Firewood,Firewood,FAQ,2020-01-04,325,390,350,206
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,Firewood,Firewood,FAQ,2020-01-17,310,370,325,206
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,Firewood,Firewood,FAQ,2020-01-28,350,400,375,206
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,Firewood,Firewood,FAQ,2020-01-30,350,430,370,206
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,Firewood,Firewood,FAQ,2020-02-20,300,300,300,206
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,Firewood,Firewood,FAQ,2020-03-07,100,205,155,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-01-02,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-01-04,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-01-27,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-01-30,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-02-01,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-02-09,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-02-24,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-02-26,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-03-12,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-03-17,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-03-21,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-03-22,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-04-03,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-04-04,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-04-05,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-04-14,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-04-16,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-05-03,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-05-07,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-05-10,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-05-16,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-05-19,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-06-01,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-06-24,170,190,180,206
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Firewood,Other,FAQ,2020-06-28,170,190,180,206
