State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Palwal,Hodal,Galgal(Lemon),Galgal(Lemon),FAQ,2017-07-10,1000,1500,1200,350
Himachal Pradesh,Mandi,Chail Chowk ,Galgal(Lemon),Other,FAQ,2017-11-22,1000,1400,1200,350
Himachal Pradesh,Mandi,Chail Chowk ,Galgal(Lemon),Other,FAQ,2017-12-05,1000,1500,1250,350
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Galgal(Lemon),Galgal(Lemon),FAQ,2017-11-25,1600,1700,1650,350
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Galgal(Lemon),Galgal(Lemon),FAQ,2017-12-04,1600,1700,1650,350
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Galgal(Lemon),Galgal(Lemon),FAQ,2017-12-19,1500,1700,1600,350
Kerala,Ernakulam,Piravam,Galgal(Lemon),Other,FAQ,2017-01-31,3000,3500,3300,350
Kerala,Ernakulam,Piravam,Galgal(Lemon),Other,FAQ,2017-02-14,3000,4000,3500,350
Kerala,Ernakulam,Piravam,Galgal(Lemon),Other,FAQ,2017-04-25,3000,3500,3200,350
Kerala,Ernakulam,Piravam,Galgal(Lemon),Other,FAQ,2017-06-27,2000,2800,2500,350
Kerala,Ernakulam,Piravam,Galgal(Lemon),Other,FAQ,2017-07-17,3000,4000,3500,350
Kerala,Ernakulam,Piravam,Galgal(Lemon),Other,FAQ,2017-08-08,2500,3200,2800,350
Kerala,Ernakulam,Piravam,Galgal(Lemon),Other,FAQ,2017-08-29,4500,5000,4800,350
Kerala,Ernakulam,Piravam,Galgal(Lemon),Other,FAQ,2017-08-30,5000,5500,5200,350
Kerala,Ernakulam,Piravam,Galgal(Lemon),Other,FAQ,2017-10-03,2500,3000,2800,350
Kerala,Ernakulam,Piravam,Galgal(Lemon),Other,FAQ,2017-11-15,3000,4000,3500,350
Kerala,Ernakulam,Piravam,Galgal(Lemon),Other,FAQ,2017-12-12,2500,2900,2700,350
Kerala,Ernakulam,Piravam,Galgal(Lemon),Other,FAQ,2017-12-19,3500,3800,3600,350
Punjab,Hoshiarpur,Dasuya,Galgal(Lemon),Other,FAQ,2017-01-10,800,1000,1000,350
Punjab,Hoshiarpur,Dasuya,Galgal(Lemon),Other,FAQ,2017-05-26,2500,3000,3000,350
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Galgal(Lemon),Other,FAQ,2017-12-02,1500,2500,2070,350
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Galgal(Lemon),Other,FAQ,2017-12-05,1000,2000,1560,350
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Galgal(Lemon),Other,FAQ,2017-12-29,1500,2500,2120,350
Haryana,Fatehabad,Fatehabad,Galgal(Lemon),Other,FAQ,2007-01-12,700,700,700,350
Haryana,Fatehabad,Fatehabad,Galgal(Lemon),Other,FAQ,2007-01-18,500,800,700,350
Haryana,Fatehabad,Fatehabad,Galgal(Lemon),Other,FAQ,2007-11-22,600,600,600,350
Haryana,Fatehabad,Fatehabad,Galgal(Lemon),Other,FAQ,2007-12-06,700,700,700,350
Haryana,Fatehabad,Fatehabad,Galgal(Lemon),Other,FAQ,2007-12-19,700,700,700,350
Himachal Pradesh,Kangra,Kangra,Galgal(Lemon),Other,FAQ,2007-10-20,500,600,550,350
Himachal Pradesh,Kangra,Kangra,Galgal(Lemon),Other,FAQ,2007-11-07,400,600,500,350
Himachal Pradesh,Kangra,Kangra(Jassour),Galgal(Lemon),Other,FAQ,2007-10-22,400,500,450,350
Himachal Pradesh,Kangra,Kangra(Jassour),Galgal(Lemon),Other,FAQ,2007-10-27,300,400,350,350
Himachal Pradesh,Kangra,Kangra(Jassour),Galgal(Lemon),Other,FAQ,2007-11-19,200,300,250,350
Himachal Pradesh,Kangra,Kangra(Jassour),Galgal(Lemon),Other,FAQ,2007-11-26,200,300,250,350
Himachal Pradesh,Kangra,Kangra(Jassour),Galgal(Lemon),Other,FAQ,2007-11-29,200,300,250,350
Himachal Pradesh,Kangra,Kangra(Jassour),Galgal(Lemon),Other,FAQ,2007-12-07,200,300,250,350
Himachal Pradesh,Kangra,Kangra(Jassour),Galgal(Lemon),Other,FAQ,2007-12-15,200,300,250,350
Himachal Pradesh,Kangra,Kangra(Jassour),Galgal(Lemon),Other,FAQ,2007-12-27,200,300,250,350
Himachal Pradesh,Kangra,Kangra(Jassour),Galgal(Lemon),Other,FAQ,2007-12-28,200,300,250,350
Himachal Pradesh,Kangra,Kangra(Jassour),Galgal(Lemon),Other,FAQ,2007-12-29,200,300,250,350
Himachal Pradesh,Kangra,Palampur,Galgal(Lemon),Other,FAQ,2007-12-11,600,700,650,350
Himachal Pradesh,Kangra,Palampur,Galgal(Lemon),Other,FAQ,2007-12-12,400,600,500,350
Kerala,Kottayam,Ettumanoor,Galgal(Lemon),Other,FAQ,2007-01-01,1900,2200,2000,350
Kerala,Kottayam,Ettumanoor,Galgal(Lemon),Other,FAQ,2007-01-11,2200,3000,2500,350
Kerala,Kottayam,Ettumanoor,Galgal(Lemon),Other,FAQ,2007-02-01,1800,2500,2000,350
Kerala,Kottayam,Ettumanoor,Galgal(Lemon),Other,FAQ,2007-02-08,2300,2500,2400,350
Kerala,Kottayam,Ettumanoor,Galgal(Lemon),Other,FAQ,2007-03-05,1900,2100,2000,350
Kerala,Kottayam,Ettumanoor,Galgal(Lemon),Other,FAQ,2007-03-15,1700,2000,1800,350
Kerala,Kottayam,Ettumanoor,Galgal(Lemon),Other,FAQ,2007-03-22,1900,2200,2000,350
Kerala,Kottayam,Ettumanoor,Galgal(Lemon),Other,FAQ,2007-04-09,3500,4500,4000,350
Kerala,Kottayam,Ettumanoor,Galgal(Lemon),Other,FAQ,2007-05-03,3400,3500,3500,350
Kerala,Kottayam,Ettumanoor,Galgal(Lemon),Other,FAQ,2007-05-24,2900,3000,3000,350
Kerala,Palakad,Koduvayoor,Galgal(Lemon),Other,FAQ,2007-09-28,2000,2200,2100,350
Kerala,Palakad,Koduvayoor,Galgal(Lemon),Other,FAQ,2007-10-18,2200,2400,2300,350
NCT of Delhi,Delhi,Azadpur,Galgal(Lemon),Galgal(Lemon),FAQ,2007-02-14,400,533,483,350
NCT of Delhi,Delhi,Azadpur,Galgal(Lemon),Galgal(Lemon),FAQ,2007-02-20,467,600,533,350
Punjab,Ferozpur,Firozepur City,Galgal(Lemon),Other,FAQ,2007-01-06,1200,1400,1300,350
Punjab,Ferozpur,Firozepur City,Galgal(Lemon),Other,FAQ,2007-03-20,1800,2000,1900,350
Punjab,Ferozpur,Firozepur City,Galgal(Lemon),Other,FAQ,2007-06-29,4500,5000,4800,350
Punjab,Ferozpur,Firozepur City,Galgal(Lemon),Other,FAQ,2007-11-23,500,800,700,350
Punjab,Jalandhar,Goraya,Galgal(Lemon),Other,FAQ,2007-07-17,900,900,900,350
Punjab,Jalandhar,Goraya,Galgal(Lemon),Other,FAQ,2007-07-19,900,900,900,350
Punjab,Ludhiana,Raikot,Galgal(Lemon),Other,FAQ,2007-06-01,1200,1400,1210,350
Punjab,Ludhiana,Raikot,Galgal(Lemon),Other,FAQ,2007-06-10,1700,1900,1800,350
Punjab,Ludhiana,Raikot,Galgal(Lemon),Other,FAQ,2007-06-16,1800,1850,1820,350
Punjab,Ludhiana,Raikot,Galgal(Lemon),Other,FAQ,2007-06-21,700,900,770,350
Punjab,Ludhiana,Raikot,Galgal(Lemon),Other,FAQ,2007-06-22,800,1000,880,350
Punjab,Ludhiana,Raikot,Galgal(Lemon),Other,FAQ,2007-06-25,800,900,840,350
Punjab,Ludhiana,Raikot,Galgal(Lemon),Other,FAQ,2007-06-29,1140,1400,1200,350
Punjab,Ludhiana,Raikot,Galgal(Lemon),Other,FAQ,2007-07-22,1000,1200,1075,350
Punjab,Ludhiana,Raikot,Galgal(Lemon),Other,FAQ,2007-07-26,960,1200,1025,350
Punjab,Ludhiana,Raikot,Galgal(Lemon),Other,FAQ,2007-07-31,700,900,725,350
Punjab,Ludhiana,Raikot,Galgal(Lemon),Other,FAQ,2007-08-01,700,900,800,350
Punjab,Ludhiana,Raikot,Galgal(Lemon),Other,FAQ,2007-08-02,700,900,800,350
Punjab,Nawanshahr,Nawanshahar,Galgal(Lemon),Other,FAQ,2007-02-17,600,800,700,350
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Galgal(Lemon),Other,FAQ,2007-10-18,2000,3000,2050,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-01-25,1600,2000,1850,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-02-04,1500,1700,1553,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-02-11,1700,2000,1900,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-02-16,1600,1900,1705,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-02-24,2800,4000,3207,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-03-05,2500,3200,2628,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-03-07,2700,3500,2799,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-03-08,4000,5000,4164,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-03-09,3300,4000,3412,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-03-20,2500,3200,2596,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-04-02,3000,3700,3115,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-04-14,3700,4300,3850,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-04-16,3500,4000,3750,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-05-03,2500,3800,2749,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-05-12,3600,4600,3847,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-05-18,1500,2000,1756,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-05-22,1500,2000,1602,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-06-03,2000,2500,2190,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-06-12,3200,4200,3463,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-06-13,2800,3800,3133,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-06-17,2500,3000,2650,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-06-20,1500,2000,1655,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-06-25,2000,2500,2124,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-07-07,1000,1500,1175,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-07-09,800,1000,853,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-07-11,1000,1500,1134,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-07-16,2200,2500,2294,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-07-17,2000,2500,2145,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-07-28,1900,2000,1951,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-08-04,2900,3000,2957,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-08-24,3000,4000,3734,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-08-27,3000,3500,3268,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-11-15,800,1200,932,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-11-21,400,600,500,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-11-27,400,500,430,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-12-05,900,1000,1000,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-12-06,500,800,641,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-12-11,700,900,800,350
Andhra Pradesh,West Godavari,Bhimadole,Galgal(Lemon),Galgal(Lemon),FAQ,2019-12-16,400,600,500,350
Himachal Pradesh,Kangra,Kangra,Galgal(Lemon),Other,FAQ,2019-01-02,1800,2000,1900,350
Himachal Pradesh,Kangra,Kangra,Galgal(Lemon),Other,FAQ,2019-01-15,1800,2000,1900,350
Himachal Pradesh,Kangra,Palampur,Galgal(Lemon),Other,FAQ,2019-11-15,5500,6000,5700,350
Himachal Pradesh,Kangra,Palampur,Galgal(Lemon),Other,FAQ,2019-11-21,1500,1800,1600,350
Himachal Pradesh,Kangra,Palampur,Galgal(Lemon),Other,FAQ,2019-11-23,1600,1800,1800,350
Himachal Pradesh,Kangra,Palampur,Galgal(Lemon),Other,FAQ,2019-11-27,1600,1800,1800,350
