State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Madhya Pradesh,Gwalior,Lashkar,Ginger(Dry),Dry,FAQ,2009-01-20,2500,2500,2500,27
Madhya Pradesh,Gwalior,Lashkar,Ginger(Dry),Dry,FAQ,2009-02-20,2000,2000,2000,27
Madhya Pradesh,Gwalior,Lashkar,Ginger(Dry),Dry,FAQ,2009-03-03,2000,2000,2000,27
Madhya Pradesh,Gwalior,Lashkar,Ginger(Dry),Dry,FAQ,2009-03-06,2000,2000,2000,27
Madhya Pradesh,Gwalior,Lashkar,Ginger(Dry),Dry,FAQ,2009-03-23,2500,2500,2500,27
Madhya Pradesh,Gwalior,Lashkar,Ginger(Dry),Dry,FAQ,2009-03-26,3000,3000,3000,27
Madhya Pradesh,Gwalior,Lashkar,Ginger(Dry),Dry,FAQ,2009-03-28,3000,3000,3000,27
Madhya Pradesh,Indore,Indore(F&V),Ginger(Dry),Other,FAQ,2009-01-10,1600,3000,2000,27
Madhya Pradesh,Indore,Indore(F&V),Ginger(Dry),Other,FAQ,2009-01-13,2000,3000,2400,27
Madhya Pradesh,Indore,Indore(F&V),Ginger(Dry),Other,FAQ,2009-02-18,2000,3000,2500,27
Madhya Pradesh,Indore,Indore(F&V),Ginger(Dry),Other,FAQ,2009-05-12,2400,3200,3000,27
Madhya Pradesh,Indore,Indore(F&V),Ginger(Dry),Other,FAQ,2009-11-07,1000,2500,1500,27
Madhya Pradesh,Indore,Indore(F&V),Ginger(Dry),Other,FAQ,2009-11-11,1000,2500,1500,27
Madhya Pradesh,Indore,Indore(F&V),Ginger(Dry),Other,FAQ,2009-12-01,1200,2500,1800,27
Madhya Pradesh,Khandwa,Khandwa,Ginger(Dry),Other,FAQ,2009-12-15,2700,2700,2700,27
Madhya Pradesh,Khandwa,Khandwa,Ginger(Dry),Other,FAQ,2009-12-24,3000,3000,3000,27
Madhya Pradesh,Morena,Kailaras,Ginger(Dry),Dry,FAQ,2009-01-13,2500,2500,2500,27
Madhya Pradesh,Morena,Kailaras,Ginger(Dry),Dry,FAQ,2009-01-19,2500,2500,2500,27
Madhya Pradesh,Morena,Kailaras,Ginger(Dry),Dry,FAQ,2009-01-31,2500,2500,2500,27
Madhya Pradesh,Morena,Kailaras,Ginger(Dry),Dry,FAQ,2009-02-03,2500,2500,2500,27
Madhya Pradesh,Morena,Kailaras,Ginger(Dry),Dry,FAQ,2009-02-04,2500,2500,2500,27
Madhya Pradesh,Morena,Kailaras,Ginger(Dry),Dry,FAQ,2009-02-26,2000,2000,2000,27
Madhya Pradesh,Morena,Kailaras,Ginger(Dry),Dry,FAQ,2009-02-28,2000,2000,2000,27
Madhya Pradesh,Morena,Kailaras,Ginger(Dry),Dry,FAQ,2009-03-03,2000,2000,2000,27
Madhya Pradesh,Morena,Morena,Ginger(Dry),Dry,FAQ,2009-01-14,2500,2500,2500,27
Madhya Pradesh,Morena,Morena,Ginger(Dry),Dry,FAQ,2009-02-04,2500,2500,2500,27
Madhya Pradesh,Morena,Morena,Ginger(Dry),Dry,FAQ,2009-02-25,2000,2000,2000,27
Madhya Pradesh,Morena,Morena,Ginger(Dry),Dry,FAQ,2009-02-28,2000,2000,2000,27
Madhya Pradesh,Morena,Morena,Ginger(Dry),Dry,FAQ,2009-03-04,2000,2000,2000,27
Madhya Pradesh,Morena,Porsa,Ginger(Dry),Dry,FAQ,2009-01-19,2500,2500,2500,27
Madhya Pradesh,Morena,Porsa,Ginger(Dry),Dry,FAQ,2009-01-20,2500,2500,2500,27
Madhya Pradesh,Morena,Porsa,Ginger(Dry),Dry,FAQ,2009-02-03,2500,2500,2500,27
Madhya Pradesh,Morena,Porsa,Ginger(Dry),Dry,FAQ,2009-02-06,2500,2500,2500,27
Madhya Pradesh,Morena,Porsa,Ginger(Dry),Dry,FAQ,2009-02-19,2000,2000,2000,27
Madhya Pradesh,Morena,Porsa,Ginger(Dry),Dry,FAQ,2009-03-03,2000,2000,2000,27
Madhya Pradesh,Morena,Sabalgarh,Ginger(Dry),Dry,FAQ,2009-01-06,2000,2000,2000,27
Madhya Pradesh,Morena,Sabalgarh,Ginger(Dry),Dry,FAQ,2009-01-13,2500,2500,2500,27
Madhya Pradesh,Morena,Sabalgarh,Ginger(Dry),Dry,FAQ,2009-01-16,2500,2500,2500,27
Madhya Pradesh,Morena,Sabalgarh,Ginger(Dry),Dry,FAQ,2009-02-04,2500,2500,2500,27
