State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
NCT of Delhi,Delhi,"Flower Market,Gazipur",Gladiolus Cut Flower,Gladiolus Cut Flower,FAQ,2021-01-06,0.41,1.66,1.25,363
NCT of Delhi,Delhi,"Flower Market,Gazipur",Gladiolus Cut Flower,Gladiolus Cut Flower,FAQ,2021-01-19,0.83,1.66,1.16,363
NCT of Delhi,Delhi,"Flower Market,Gazipur",Gladiolus Cut Flower,Gladiolus Cut Flower,FAQ,2021-01-20,0.83,1.66,1.25,363
NCT of Delhi,Delhi,"Flower Market,Gazipur",Gladiolus Cut Flower,Gladiolus Cut Flower,FAQ,2021-01-21,0.83,2.08,1.45,363
NCT of Delhi,Delhi,"Flower Market,Gazipur",Gladiolus Cut Flower,Gladiolus Cut Flower,FAQ,2021-01-30,0.83,2.08,1.66,363
NCT of Delhi,Delhi,"Flower Market,Gazipur",Gladiolus Cut Flower,Gladiolus Cut Flower,FAQ,2021-03-01,1.66,3.33,2.91,363
NCT of Delhi,Delhi,"Flower Market,Gazipur",Gladiolus Cut Flower,Gladiolus Cut Flower,FAQ,2021-03-07,1.66,3.33,2.5,363
NCT of Delhi,Delhi,"Flower Market,Gazipur",Gladiolus Cut Flower,Gladiolus Cut Flower,FAQ,2021-03-08,2.08,4.16,2.91,363
NCT of Delhi,Delhi,"Flower Market,Gazipur",Gladiolus Cut Flower,Gladiolus Cut Flower,FAQ,2021-03-09,2.08,4.16,3.33,363
NCT of Delhi,Delhi,"Flower Market,Gazipur",Gladiolus Cut Flower,Gladiolus Cut Flower,FAQ,2021-03-15,1.66,3.33,2.5,363
NCT of Delhi,Delhi,"Flower Market,Gazipur",Gladiolus Cut Flower,Gladiolus Cut Flower,FAQ,2021-03-16,1.66,2.5,2.08,363
NCT of Delhi,Delhi,"Flower Market,Gazipur",Gladiolus Cut Flower,Gladiolus Cut Flower,FAQ,2021-03-19,2.08,4.16,2.91,363
NCT of Delhi,Delhi,"Flower Market,Gazipur",Gladiolus Cut Flower,Gladiolus Cut Flower,FAQ,2021-04-06,1.66,2.5,2.08,363
