State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Tripura,Khowai,Teliamura,Goat,Goat,FAQ,2021-11-26,3000,5000,4000.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-01-06,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-01-09,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-02-06,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-02-27,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-03-13,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-04-10,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-05-01,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-05-15,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-05-19,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-05-29,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-06-09,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-07-03,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-07-07,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-08-04,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-08-11,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-08-25,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-09-01,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-10-20,4000,5000,4200.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-10-23,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-10-27,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-10-30,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-11-27,4000,5000,4500.0,219
Tripura,Sepahijala,Sonamura,Goat,Goat,FAQ,2021-12-16,4000,5000,4500.0,219
Uttar Pradesh,Amethi,Jafarganj,Goat,Goat,FAQ,2021-01-29,4490,4510,4500.0,219
Uttar Pradesh,Amethi,Jafarganj,Goat,Goat,FAQ,2021-02-05,4490,4510,4500.0,219
Uttar Pradesh,Amethi,Jafarganj,Goat,Goat,FAQ,2021-06-18,4490,4510,4500.0,219
Uttar Pradesh,Amethi,Jafarganj,Goat,Goat,FAQ,2021-06-25,4490,4510,4500.0,219
Uttar Pradesh,Amethi,Jafarganj,Goat,Goat,FAQ,2021-07-09,4540,4560,4550.0,219
Uttar Pradesh,Amethi,Jafarganj,Goat,Goat,FAQ,2021-07-16,4540,4560,4550.0,219
Uttar Pradesh,Amethi,Jafarganj,Goat,Goat,FAQ,2021-08-27,4390,4410,4400.0,219
Uttar Pradesh,Amethi,Jafarganj,Goat,Goat,FAQ,2021-09-24,3890,4010,3900.0,219
Uttar Pradesh,Amethi,Jafarganj,Goat,Goat,FAQ,2021-10-08,3940,3960,3950.0,219
Uttar Pradesh,Amethi,Jafarganj,Goat,Goat,FAQ,2021-11-12,3810,3830,3820.0,219
Uttar Pradesh,Amethi,Jafarganj,Goat,Goat,FAQ,2021-11-26,3890,3910,3900.0,219
Uttar Pradesh,Amethi,Jafarganj,Goat,Goat,FAQ,2021-12-03,3940,3960,3950.0,219
Uttar Pradesh,Amethi,Jafarganj,Goat,Goat,FAQ,2021-12-17,3920,3940,3930.0,219
Uttar Pradesh,Amethi,Sultanpur,Goat,Goat,FAQ,2021-01-15,3400,3500,3450.0,219
Uttar Pradesh,Amethi,Sultanpur,Goat,Goat,FAQ,2021-01-29,3440,3500,3460.0,219
Uttar Pradesh,Amethi,Sultanpur,Goat,Goat,FAQ,2021-02-19,3450,3500,3470.0,219
Uttar Pradesh,Amethi,Sultanpur,Goat,Goat,FAQ,2021-02-26,3450,3500,3470.0,219
Uttar Pradesh,Amethi,Sultanpur,Goat,Goat,FAQ,2021-08-20,3800,3930,3900.0,219
Uttar Pradesh,Amethi,Sultanpur,Goat,Goat,FAQ,2021-10-15,3850,3950,3900.0,219
Uttar Pradesh,Amethi,Sultanpur,Goat,Goat,FAQ,2021-11-12,3800,3900,3850.0,219
Uttar Pradesh,Amethi,Sultanpur,Goat,Goat,FAQ,2021-12-17,3900,3960,3920.0,219
Karnataka,Belgaum,Athani,Goat,Goat,FAQ,2021-08-07,5000,10000,7000.0,219
Karnataka,Belgaum,Athani,Goat,Goat,FAQ,2021-10-17,5000,10000,7000.0,219
Karnataka,Chikmagalur,Bagepalli,Goat,Goat,FAQ,2021-03-01,4200,6500,5000.0,219
Karnataka,Chikmagalur,Bagepalli,Goat,Goat,FAQ,2021-04-03,3500,7500,6000.0,219
Karnataka,Chikmagalur,Bagepalli,Goat,Goat,FAQ,2021-12-14,3800,5500,4800.0,219
Karnataka,Chikmagalur,Bagepalli,Goat,Goat,FAQ,2021-12-31,3800,5500,4500.0,219
Karnataka,Chitradurga,Hiriyur,Goat,Goat,FAQ,2021-01-02,2200,9800,4900.0,219
Karnataka,Chitradurga,Hiriyur,Goat,Goat,FAQ,2021-01-23,2200,9800,4900.0,219
Karnataka,Chitradurga,Hiriyur,Goat,Goat,FAQ,2021-02-13,2200,9800,4800.0,219
Karnataka,Chitradurga,Hiriyur,Goat,Goat,FAQ,2021-02-27,2200,9800,4900.0,219
Karnataka,Hassan,Arasikere,Goat,Goat,FAQ,2021-01-15,6750,9900,8300.0,219
Karnataka,Tumkur,Gubbi,Goat,Goat,FAQ,2021-08-30,10000,12000,10000.0,219
Karnataka,Tumkur,Gubbi,Goat,Goat,FAQ,2021-12-06,10000,11000,10000.0,219
Karnataka,Tumkur,Sira,Goat,Goat,FAQ,2021-01-26,3000,6500,5100.0,219
Karnataka,Tumkur,Sira,Goat,Goat,FAQ,2021-02-16,3100,6900,5800.0,219
Karnataka,Tumkur,Sira,Goat,Goat,FAQ,2021-03-16,3300,7000,6300.0,219
Karnataka,Tumkur,Sira,Goat,Goat,FAQ,2021-03-23,2900,7100,6600.0,219
Karnataka,Tumkur,Sira,Goat,Goat,FAQ,2021-11-23,3300,7200,6400.0,219
Karnataka,Tumkur,Turvekere,Goat,Goat,FAQ,2021-01-11,10000,10500,10000.0,219
Karnataka,Tumkur,Turvekere,Goat,Goat,FAQ,2021-12-20,9500,9700,9500.0,219
Maharashtra,Amarawati,Anajngaon,Goat,Goat,FAQ,2021-09-06,5000,10000,8000.0,219
Maharashtra,Amarawati,Anajngaon,Goat,Goat,FAQ,2021-11-01,5000,10000,8000.0,219
Maharashtra,Pune,Junnar(Bhlhe),Goat,Other,FAQ,2021-11-22,5000,13000,9000.0,219
Maharashtra,Sangli,Palus,Goat,Goat,FAQ,2021-11-09,3600,9000,5500.0,219
Maharashtra,Sangli,Palus,Goat,Goat,FAQ,2021-11-16,4500,9000,7000.0,219
Maharashtra,Sangli,Palus,Goat,Goat,FAQ,2021-12-28,3600,11000,7400.0,219
Odisha,Gajapati,Parlakhemundi,Goat,Other,FAQ,2021-02-27,7000,8000,8000.0,219
Odisha,Gajapati,Parlakhemundi,Goat,Other,FAQ,2021-04-03,8000,10000,10000.0,219
Odisha,Gajapati,Parlakhemundi,Goat,Other,FAQ,2021-07-31,5800,7000,7000.0,219
Odisha,Gajapati,Parlakhemundi,Goat,Other,FAQ,2021-09-18,8000,9000,9000.0,219
Odisha,Gajapati,Parlakhemundi,Goat,Other,FAQ,2021-10-02,8500,9000,9000.0,219
Odisha,Gajapati,Parlakhemundi,Goat,Other,FAQ,2021-10-30,7000,8000,8000.0,219
Odisha,Keonjhar,Keonjhar(Dhekikote),Goat,Other,FAQ,2021-03-06,1500,3500,3000.0,219
Odisha,Keonjhar,Keonjhar(Dhekikote),Goat,Other,FAQ,2021-04-17,1500,3500,1500.0,219
Odisha,Keonjhar,Keonjhar(Dhekikote),Goat,Other,FAQ,2021-11-27,660,1500,660.0,219
Odisha,Keonjhar,Keonjhar(Dhekikote),Goat,Other,FAQ,2021-12-18,660,1500,1500.0,219
Odisha,Mayurbhanja,Chuliaposi,Goat,Goat,FAQ,2021-01-15,4300,10000,5200.0,219
Odisha,Mayurbhanja,Chuliaposi,Goat,Goat,FAQ,2021-03-16,3200,8300,6000.0,219
Odisha,Mayurbhanja,Chuliaposi,Goat,Goat,FAQ,2021-04-06,2200,11400,6000.0,219
Odisha,Mayurbhanja,Chuliaposi,Goat,Goat,FAQ,2021-04-16,3500,9400,6000.0,219
Odisha,Mayurbhanja,Chuliaposi,Goat,Goat,FAQ,2021-04-27,2600,11400,6500.0,219
Odisha,Mayurbhanja,Chuliaposi,Goat,Goat,FAQ,2021-08-13,2500,8800,5500.0,219
Odisha,Mayurbhanja,Chuliaposi,Goat,Goat,FAQ,2021-08-31,2600,14200,6000.0,219
Odisha,Mayurbhanja,Chuliaposi,Goat,Goat,FAQ,2021-10-05,2600,15800,6500.0,219
Odisha,Mayurbhanja,Chuliaposi,Goat,Goat,FAQ,2021-10-22,3300,12600,6500.0,219
Odisha,Mayurbhanja,Chuliaposi,Goat,Goat,FAQ,2021-11-23,2700,17300,6500.0,219
Odisha,Mayurbhanja,Chuliaposi,Goat,Goat,FAQ,2021-11-30,2700,18500,6500.0,219
Tripura,Dhalai,Chowmanu,Goat,Goat,FAQ,2021-01-30,5000,6000,5500.0,219
Tripura,Dhalai,Chowmanu,Goat,Goat,FAQ,2021-02-27,4000,5000,4500.0,219
Tripura,Dhalai,Chowmanu,Goat,Goat,FAQ,2021-03-27,5000,6000,5500.0,219
Tripura,Dhalai,Chowmanu,Goat,Goat,FAQ,2021-06-26,5000,6000,5500.0,219
Tripura,Dhalai,Kulai,Goat,Goat,FAQ,2021-01-19,4500,6000,5700.0,219
Tripura,Dhalai,Kulai,Goat,Goat,FAQ,2021-04-13,1500,7000,5500.0,219
Tripura,Dhalai,Kulai,Goat,Goat,FAQ,2021-05-11,2200,3000,2500.0,219
Tripura,Dhalai,Kulai,Goat,Goat,FAQ,2021-10-19,2200,4000,3000.0,219
Tripura,Dhalai,Kulai,Goat,Goat,FAQ,2021-11-09,3200,5500,4500.0,219
Tripura,Dhalai,Masli,Goat,Goat,FAQ,2021-01-19,4000,6000,5000.0,219
Tripura,Dhalai,Masli,Goat,Goat,FAQ,2021-02-09,4000,6000,5000.0,219
Tripura,Dhalai,Masli,Goat,Goat,FAQ,2021-02-23,4000,5000,4500.0,219
Tripura,Dhalai,Masli,Goat,Goat,FAQ,2021-04-20,4000,5000,4500.0,219
Tripura,Dhalai,Masli,Goat,Goat,FAQ,2021-07-20,4000,5000,4500.0,219
Tripura,Dhalai,Masli,Goat,Goat,FAQ,2021-08-10,4000,5000,4500.0,219
Tripura,Dhalai,Masli,Goat,Goat,FAQ,2021-10-12,4000,6000,5000.0,219
Tripura,Dhalai,Masli,Goat,Goat,FAQ,2021-10-26,4000,6000,5000.0,219
Tripura,Dhalai,Masli,Goat,Goat,FAQ,2021-11-16,4000,6000,5000.0,219
Tripura,Dhalai,Masli,Goat,Goat,FAQ,2021-12-14,4000,6000,5000.0,219
Tripura,Dhalai,Masli,Goat,Goat,FAQ,2021-12-28,4000,5000,4500.0,219
Tripura,Khowai,Bachaibari,Goat,Goat,FAQ,2021-01-09,1760,5600,3450.0,219
Tripura,Khowai,Bachaibari,Goat,Goat,FAQ,2021-01-26,1960,6500,3350.0,219
Tripura,Khowai,Bachaibari,Goat,Goat,FAQ,2021-04-03,1760,6200,3250.0,219
Tripura,Khowai,Bachaibari,Goat,Goat,FAQ,2021-04-17,1680,5800,3260.0,219
