State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2020-06-09,4000,5000,4500,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2020-06-10,4000,5000,4500,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2020-06-12,4000,5000,4500,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2020-06-20,4500,5000,4750,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2020-06-23,4500,5250,4875,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2020-07-06,3500,4000,3750,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2020-07-10,3500,4250,3875,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2020-07-21,3800,4350,4075,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2020-07-27,2600,3550,3075,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2020-11-10,5000,6000,5500,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2020-11-11,5000,5500,5250,359
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Gram Raw(Chholia),Other,FAQ,2020-06-23,1500,2000,1750,359
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Gram Raw(Chholia),Other,FAQ,2020-07-17,3000,4000,3500,359
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Gram Raw(Chholia),Other,FAQ,2020-07-23,3500,4000,3750,359
