State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Uttar Pradesh,Amethi,Jafarganj,Gramflour,Gramflour,FAQ,2020-01-10,6250,6350,6300,294
Uttar Pradesh,Amethi,Jafarganj,Gramflour,Gramflour,FAQ,2020-01-24,6250,6350,6300,294
Uttar Pradesh,Amethi,Jafarganj,Gramflour,Gramflour,FAQ,2020-02-07,6250,6350,6300,294
Uttar Pradesh,Amethi,Jafarganj,Gramflour,Gramflour,FAQ,2020-02-28,5850,5950,5900,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2020-01-17,7200,7500,7350,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2020-02-14,7200,7500,7300,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2020-03-13,7200,7500,7300,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2020-04-17,7150,7280,7230,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2020-06-26,6800,6900,6850,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2020-07-10,6500,6800,6650,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2020-11-13,6800,6900,6850,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2020-12-04,6800,6900,6850,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2020-12-18,6800,7000,6900,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2021-01-01,6800,7000,6900,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2021-01-22,6800,7000,6850,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2021-02-05,6800,7000,6850,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2021-02-12,6800,7000,6850,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2021-03-26,6800,6900,6850,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2021-08-20,6920,7150,7060,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2021-09-10,6950,7050,6980,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2021-09-24,6950,7080,7000,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2021-12-10,7000,7200,7100,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2021-12-24,7000,7250,7170,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2022-02-04,7250,7500,7400,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2022-02-25,7000,7300,7200,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2022-05-13,7100,7280,7200,294
Uttar Pradesh,Amethi,Sultanpur,Gramflour,Gramflour,FAQ,2022-06-24,7000,7300,7200,294
Kerala,Kollam,Kollam,Gramflour,Other,FAQ,2010-01-12 00:00:00,4600,5000,4800,294
