State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Guntur,Vinukonda,Green Gram Dal (Moong Dal),Local,FAQ,2009-06-18,3400,3700,3600,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-06-06,4400,4600,4500,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-06-09,4500,4800,4650,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-06-12,4600,4800,4700,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-06-17,4800,5200,5000,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-06-22,5100,5200,5150,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-06-30,5000,5400,5200,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-07-02,5000,5400,5200,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-07-03,5200,5400,5300,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-07-29,5600,6200,5900,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-07-31,5600,6200,5900,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-08-11,5800,6200,6000,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-08-12,5800,6200,6000,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-09-18,5500,6000,5750,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-10-08,6000,6400,6200,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-10-09,6000,6400,6200,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-11-06,6600,6800,6700,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-11-19,6800,7200,7000,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-12-04,7000,7500,7250,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-12-17,7000,7400,7200,265
Assam,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Other,FAQ,2009-12-18,7000,7400,7200,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-01-09,4500,5000,4750,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-01-12,4500,5000,4750,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-01-29,4000,4500,4250,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-03-30,4000,4500,4250,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-04-27,4000,5000,4250,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-04-29,4000,5000,4250,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-05-16,4000,4500,4250,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-05-18,4000,5000,4500,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-05-19,4000,5000,4250,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-05-20,4000,5000,4250,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-05-26,4000,5000,4250,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-05-27,4000,5000,4250,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-06-12,4000,5000,4250,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-06-15,4000,5000,4250,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-06-19,4000,5000,4500,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-06-30,4000,5000,4500,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-08-04,5000,6000,5500,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-08-06,5000,6000,5500,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-08-12,5000,6000,5500,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-08-24,5000,6000,5500,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-08-26,5000,6000,5500,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-08-31,5000,6000,5500,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-09-04,5000,6000,5500,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-10-01,5000,6000,5500,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-10-27,5000,6000,5500,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-10-28,5000,6000,5500,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-10-29,5000,6000,5500,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-11-10,5000,6000,5500,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-11-16,5000,6000,5500,265
Assam,Barpeta,Howly,Green Gram Dal (Moong Dal),Other,FAQ,2009-12-14,5000,6000,5500,265
Assam,Cachar,Cachar,Green Gram Dal (Moong Dal),Other,FAQ,2009-10-13,6900,7000,6950,265
Assam,Cachar,Cachar,Green Gram Dal (Moong Dal),Other,FAQ,2009-11-10,8400,8500,8450,265
Assam,Cachar,Cachar,Green Gram Dal (Moong Dal),Other,FAQ,2009-11-18,8400,8500,8450,265
Assam,Dhemaji,Silapathar,Green Gram Dal (Moong Dal),Other,FAQ,2009-06-04,4800,5200,5000,265
Assam,Dhemaji,Silapathar,Green Gram Dal (Moong Dal),Other,FAQ,2009-06-17,4800,5200,5000,265
Assam,Dhemaji,Silapathar,Green Gram Dal (Moong Dal),Other,FAQ,2009-10-30,4800,5200,5000,265
Assam,Dhemaji,Silapathar,Green Gram Dal (Moong Dal),Other,FAQ,2009-10-31,4800,5200,5000,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-04-29,4750,5600,5100,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-05-06,4200,5600,4200,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-06-15,4250,5700,4250,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-06-17,4250,5700,4250,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-07-28,6400,6600,6400,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-08-01,5400,6000,5400,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-08-19,5500,6250,5800,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-08-26,5650,6400,6025,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-09-01,5600,6400,6000,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-10-15,6200,6800,6500,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-10-16,6200,6800,6500,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-11-04,6600,8000,7300,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-11-05,6300,7900,7100,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-11-06,6800,8000,7400,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-11-17,7500,8000,7750,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-11-19,7500,8000,7750,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-11-25,7500,8000,7750,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-11-30,7500,8000,7750,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-12-03,7500,8000,7750,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-12-05,7500,8000,7700,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-12-11,7500,8600,8050,265
Assam,Dibrugarh,Dibrugarh,Green Gram Dal (Moong Dal),Other,FAQ,2009-12-14,7600,8600,8100,265
Assam,Goalpara,Goalpara,Green Gram Dal (Moong Dal),Other,FAQ,2009-11-23,7700,8700,8200,265
Assam,Goalpara,Goalpara,Green Gram Dal (Moong Dal),Other,FAQ,2009-11-30,7700,8700,8200,265
Assam,Goalpara,Goalpara,Green Gram Dal (Moong Dal),Other,FAQ,2009-12-31,8000,8600,8300,265
Assam,Jorhat,Jorhat,Green Gram Dal (Moong Dal),Other,FAQ,2009-07-22,5600,5900,5700,265
Assam,Kamrup,P.O. Uparhali Guwahati,Green Gram Dal (Moong Dal),Bold,FAQ,2009-04-21,3300,4200,3800,265
Assam,Kamrup,P.O. Uparhali Guwahati,Green Gram Dal (Moong Dal),Bold,FAQ,2009-04-28,3800,4200,3830,265
Assam,Kamrup,P.O. Uparhali Guwahati,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,2009-04-06,4200,4550,4300,265
