State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-01-01,4160,4583,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-01-05,4160,4583,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-01-16,4160,4583,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-01-18,4160,4583,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-01-22,4160,4583,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-01-28,4160,4500,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-01-31,4160,4500,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-02-03,4160,4500,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-02-06,4160,4500,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-02-13,4160,4500,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-02-15,4160,4500,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-02-24,4160,4500,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-02-26,4160,4500,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-03-02,4160,4500,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-03-08,4160,4500,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-03-14,4375,5000,4500,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-03-15,4375,5000,4500,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-03-27,4375,5000,4500,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-03-28,4375,5000,4500,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-04-02,4375,5000,4500,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-04-03,4375,5000,4500,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-04-10,4375,5000,4500,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-04-19,4375,5000,4500,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-04-20,4375,5000,4500,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-04-21,4375,5000,4500,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-04-22,4375,5000,4500,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-04-25,4375,5000,4500,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-05-01,4500,5333,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-05-05,4500,5333,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-05-07,4500,5333,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-05-08,4500,5333,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-05-14,4500,5333,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-05-17,5000,5416,5335,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-05-18,5000,5416,5335,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-05-23,5000,5416,5335,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-05-29,5000,5625,5416,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-05-30,5000,5625,5416,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-06-01,5000,5625,5416,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-06-02,5000,5625,5416,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-06-11,5600,6200,5920,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-06-14,5600,6200,5920,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-06-19,5600,6200,5920,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-06-21,5600,6200,5920,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-06-25,5600,6200,5920,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-07-06,5600,5900,5750,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-07-10,5600,5900,5750,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-07-14,5600,5900,5750,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-07-15,5600,5900,5750,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-07-24,5600,5900,5750,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-07-26,5600,5900,5750,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-07-28,5416,5833,5625,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-07-29,5416,5833,5625,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-08-07,5416,5833,5625,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-08-12,5416,5833,5625,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-08-14,5416,5833,5625,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-08-15,5416,5833,5625,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-08-16,5416,5833,5625,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-08-21,4750,5125,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-08-23,5416,5833,5625,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-08-30,5416,5833,5625,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-09-06,5416,5833,5625,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-09-12,5500,5750,5700,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-09-15,5500,5850,5700,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-09-17,5500,5700,5600,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-09-24,5500,5850,5700,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-10-13,5900,6042,6000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-10-18,5900,6042,6000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-11-02,4583,5416,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-11-04,4583,5416,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-11-10,4583,5416,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-11-13,4583,5416,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-11-14,4583,5416,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-11-17,4583,5416,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-11-20,4583,5416,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-11-30,4583,5416,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-12-07,4583,5208,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-12-09,4583,5208,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-12-13,4583,5208,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-12-15,4583,5208,5000,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-12-20,4166,4583,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-12-28,4166,4583,4375,314
Andhra Pradesh,Chittor,Srikalahasti,Groundnut (Split),Groundnut(Split),Medium,2015-12-31,4166,4583,4375,314
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),FAQ,2015-04-08,3730,4655,3730,314
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),FAQ,2015-05-22,4750,4900,4900,314
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),FAQ,2015-05-28,4300,4805,4750,314
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),FAQ,2015-06-05,4500,5360,4995,314
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),FAQ,2015-06-13,3660,5500,4000,314
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),FAQ,2015-07-06,5350,6000,5725,314
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),FAQ,2015-07-31,5700,5700,5700,314
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),FAQ,2015-10-21,3500,3500,3500,314
Gujarat,Junagarh,Junagadh,Groundnut (Split),Groundnut(Split),FAQ,2015-01-13,4250,4955,4750,314
Gujarat,Junagarh,Junagadh,Groundnut (Split),Groundnut(Split),FAQ,2015-01-23,4000,4650,4350,314
Gujarat,Junagarh,Junagadh,Groundnut (Split),Groundnut(Split),FAQ,2015-02-05,3750,4710,4400,314
Gujarat,Junagarh,Junagadh,Groundnut (Split),Groundnut(Split),FAQ,2015-02-18,4000,4250,4150,314
Gujarat,Junagarh,Junagadh,Groundnut (Split),Groundnut(Split),FAQ,2015-02-19,3500,4130,3800,314
Gujarat,Junagarh,Junagadh,Groundnut (Split),Groundnut(Split),FAQ,2015-02-20,3500,4040,3800,314
Gujarat,Junagarh,Junagadh,Groundnut (Split),Groundnut(Split),FAQ,2015-02-21,4000,4380,4250,314
Gujarat,Junagarh,Junagadh,Groundnut (Split),Groundnut(Split),FAQ,2015-02-23,3250,4150,4000,314
Gujarat,Junagarh,Junagadh,Groundnut (Split),Groundnut(Split),FAQ,2015-02-25,3250,4140,3750,314
Gujarat,Junagarh,Junagadh,Groundnut (Split),Groundnut(Split),FAQ,2015-02-27,3250,4180,3900,314
Gujarat,Junagarh,Junagadh,Groundnut (Split),Groundnut(Split),FAQ,2015-03-14,3750,5200,4250,314
Gujarat,Junagarh,Junagadh,Groundnut (Split),Groundnut(Split),FAQ,2015-03-17,3500,4090,3800,314
Gujarat,Junagarh,Junagadh,Groundnut (Split),Groundnut(Split),FAQ,2015-03-21,3605,4160,4000,314
Gujarat,Junagarh,Junagadh,Groundnut (Split),Groundnut(Split),FAQ,2015-04-09,3750,4600,4350,314
