State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-05-05,3201,3603,3425,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-05-06,3500,3601,3600,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-05-10,3500,3500,3500,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-05-19,3400,3466,3401,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-06-17,3148,3416,3372,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-07-04,3100,3152,3141,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-07-22,3200,3270,3270,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-08-17,3281,3310,3310,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-09-07,3171,3635,3600,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-09-08,3283,3733,3490,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-09-09,3484,3642,3558,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-09-16,3326,3502,3488,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-09-19,3251,3260,3260,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-09-22,3286,3585,3452,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-09-25,3251,3481,3401,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-10-07,3091,3484,3472,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-10-09,3136,3509,3489,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-10-12,3401,3655,3550,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-10-23,3201,3581,3577,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-10-27,3136,3509,3489,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-11-01,3207,3509,3490,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-11-02,3252,3461,3431,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-11-09,3299,3564,3470,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-11-10,3296,3551,3437,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-11-15,3000,3551,3485,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-11-16,3352,3571,3508,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-11-18,3271,3561,3529,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-11-20,3462,3540,3540,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-11-21,3281,3576,3513,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-11-27,3525,3680,3629,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-11-29,2700,3752,3690,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-12-02,3445,3750,3725,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-12-08,3310,3723,3667,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-12-13,3545,3725,3692,75
Rajasthan,Hanumangarh,Hanumangarh Town,Guar,Other,FAQ,2017-12-29,3900,4000,3961,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-01-04,2941,3170,3170,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-01-17,2900,2900,2900,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-01-20,2901,2901,2901,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-01-30,3090,3126,3126,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-02-04,3100,3100,3100,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-02-07,3075,3075,3075,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-02-08,3052,3052,3052,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-02-13,3066,3066,3066,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-10-07,2500,3276,3276,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-10-11,3294,3300,3300,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-10-16,3571,3618,3618,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-10-21,3400,3500,3500,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-10-24,3101,3603,3603,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-10-28,3351,3540,3540,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-11-07,3031,3550,3550,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-12-08,3500,3621,3621,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-12-15,3300,3711,3711,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-12-22,3370,3751,3751,75
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Guar,Other,FAQ,2017-12-30,3700,3700,3700,75
Rajasthan,Hanumangarh,Nohar,Guar,Gwar,FAQ,2017-01-10,3170,3170,3170,75
Rajasthan,Hanumangarh,Nohar,Guar,Gwar,FAQ,2017-01-12,3215,3215,3215,75
Rajasthan,Hanumangarh,Nohar,Guar,Gwar,FAQ,2017-01-19,3200,3200,3200,75
Rajasthan,Hanumangarh,Nohar,Guar,Gwar,FAQ,2017-01-20,3198,3198,3198,75
Rajasthan,Hanumangarh,Nohar,Guar,Gwar,FAQ,2017-01-24,3195,3195,3195,75
Rajasthan,Hanumangarh,Nohar,Guar,Gwar,FAQ,2017-01-28,3146,3146,3146,75
Rajasthan,Hanumangarh,Nohar,Guar,Gwar,FAQ,2017-02-03,3154,3154,3154,75
