State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Himachal Pradesh,Kangra,Kangra(Jassour),Guava,Other,Medium,2007-09-19,300,400,350,185
Himachal Pradesh,Kangra,Kangra(Jassour),Guava,Other,Medium,2007-09-22,300,400,350,185
Himachal Pradesh,Kangra,Palampur,Guava,Other,Medium,2007-12-11,1000,1300,1150,185
Himachal Pradesh,Kangra,Palampur,Guava,Other,Medium,2007-12-26,1500,1800,1650,185
Himachal Pradesh,Mandi,Dhanotu (Mandi),Guava,Guava,Medium,2007-02-09,600,1000,800,185
Himachal Pradesh,Mandi,Dhanotu (Mandi),Guava,Guava,Medium,2007-04-04,1000,1500,1000,185
Himachal Pradesh,Mandi,Dhanotu (Mandi),Guava,Guava,Medium,2007-09-21,500,800,500,185
Himachal Pradesh,Mandi,Dhanotu (Mandi),Guava,Guava,Medium,2007-11-29,800,1000,1000,185
Himachal Pradesh,Mandi,Dhanotu (Mandi),Guava,Guava,Medium,2007-11-30,700,1100,1000,185
Himachal Pradesh,Mandi,Dhanotu (Mandi),Guava,Other,Medium,2007-08-20,500,500,500,185
Himachal Pradesh,Mandi,Dhanotu (Mandi),Guava,Other,Medium,2007-08-24,700,800,700,185
Himachal Pradesh,Mandi,Dhanotu (Mandi),Guava,Other,Medium,2007-09-24,500,800,700,185
Himachal Pradesh,Mandi,Dhanotu (Mandi),Guava,Other,Medium,2007-09-26,500,800,800,185
Himachal Pradesh,Mandi,Dhanotu (Mandi),Guava,Other,Medium,2007-10-04,600,800,700,185
Himachal Pradesh,Mandi,Dhanotu (Mandi),Guava,Other,Medium,2007-11-05,1300,1300,1300,185
Himachal Pradesh,Mandi,Mandi(Mandi),Guava,Guava,Medium,2007-10-12,500,600,500,185
Himachal Pradesh,Mandi,Mandi(Mandi),Guava,Guava,Medium,2007-10-16,900,900,900,185
Himachal Pradesh,Mandi,Mandi(Mandi),Guava,Guava,Medium,2007-10-22,500,700,700,185
Himachal Pradesh,Mandi,Mandi(Mandi),Guava,Guava,Medium,2007-12-24,800,1000,800,185
Himachal Pradesh,Sirmore,Nahan,Guava,Other,Medium,2007-09-14,500,500,500,185
Himachal Pradesh,Sirmore,Paonta Sahib,Guava,Other,Medium,2007-08-22,400,400,400,185
Himachal Pradesh,Sirmore,Paonta Sahib,Guava,Other,Medium,2007-08-24,1000,1000,1000,185
Himachal Pradesh,Sirmore,Paonta Sahib,Guava,Other,Medium,2007-08-27,700,800,750,185
Himachal Pradesh,Sirmore,Paonta Sahib,Guava,Other,Medium,2007-09-12,250,250,250,185
Himachal Pradesh,Sirmore,Paonta Sahib,Guava,Other,Medium,2007-09-14,300,300,300,185
Himachal Pradesh,Sirmore,Paonta Sahib,Guava,Other,Medium,2007-12-29,800,1000,800,185
Himachal Pradesh,Una,Una,Guava,Other,Medium,2007-12-01,1800,2000,1900,185
Himachal Pradesh,Una,Una,Guava,Other,Medium,2007-12-03,1800,1850,1825,185
