State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Davangere,Davangere,Gurellu,Gurellu,FAQ,2020-01-31,5500,6000,5750,279
Karnataka,Gadag,Gadag,Gurellu,Gurellu,FAQ,2020-01-14,4919,4919,4919,279
Karnataka,Gadag,Gadag,Gurellu,Gurellu,FAQ,2020-02-17,5001,5001,5001,279
Karnataka,Gadag,Gadag,Gurellu,Gurellu,FAQ,2020-03-03,5249,5249,5249,279
Karnataka,Gadag,Gadag,Gurellu,Gurellu,FAQ,2020-03-21,5279,5279,5279,279
Karnataka,Gadag,Gadag,Gurellu,Gurellu,FAQ,2020-04-29,5151,5151,5151,279
Karnataka,Gadag,Gadag,Gurellu,Gurellu,FAQ,2020-05-29,5118,5118,5118,279
Karnataka,Gadag,Gadag,Gurellu,Gurellu,FAQ,2020-08-24,6057,6057,6057,279
Karnataka,Gadag,Gadag,Gurellu,Gurellu,FAQ,2020-08-29,5789,5789,5789,279
Karnataka,Gadag,Gadag,Gurellu,Gurellu,FAQ,2020-09-25,5469,5469,5469,279
Karnataka,Gadag,Gadag,Gurellu,Gurellu,FAQ,2020-09-29,5681,6009,5850,279
Karnataka,Gadag,Gadag,Gurellu,Gurellu,FAQ,2020-10-20,6218,6218,6218,279
Karnataka,Gadag,Gadag,Gurellu,Gurellu,FAQ,2020-10-27,6119,6119,6119,279
Karnataka,Gadag,Gadag,Gurellu,Gurellu,FAQ,2020-11-27,6409,6409,6409,279
Karnataka,Gadag,Laxmeshwar,Gurellu,Gurellu,FAQ,2020-10-03,5119,6115,5863,279
Karnataka,Gadag,Laxmeshwar,Gurellu,Gurellu,FAQ,2020-10-09,5415,6291,5956,279
Karnataka,Gadag,Laxmeshwar,Gurellu,Gurellu,FAQ,2011-08-19,2874,2874,2874,279
Karnataka,Gadag,Laxmeshwar,Gurellu,Gurellu,FAQ,2011-09-28,2323,3579,3579,279
Karnataka,Gadag,Laxmeshwar,Gurellu,Gurellu,FAQ,2011-12-23,3014,3014,3014,279
