State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-06-20,1800,2200,2000.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-06-30,2000,2400,2200.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-07-06,1800,2200,2000.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-07-08,1800,2200,2000.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-07-13,1800,2200,2000.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-07-22,1800,2200,2000.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-08-03,2500,2700,2600.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-08-08,2200,2600,2400.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-08-09,2400,2600,2500.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-08-11,2600,2800,2700.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-08-16,2400,2600,2500.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-08-26,2700,2900,2800.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-09-03,3000,3400,3200.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-09-05,2800,3200,3000.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-09-22,2300,2500,2400.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-09-30,2400,2800,2600.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-10-01,2800,3200,3000.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-10-08,2400,2800,2600.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-10-12,2300,2500,2400.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-10-26,240,260,250.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-11-08,230,250,240.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-11-17,240,260,250.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-11-25,260,280,270.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-11-26,2500,2700,2600.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-11-30,2500,2700,2600.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-12-12,2200,2400,2300.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-12-17,2500,2900,2700.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-12-19,2400,2600,2500.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-12-26,2400,2800,2600.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-12-28,2600,3000,2800.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-12-29,2400,2800,2600.0,369
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur",Hen,Boiler/Firm(White),FAQ,2007-12-30,2600,3000,2800.0,369
Odisha,Cuttack,Kendupatna,Hen,Other,FAQ,2007-02-21,3000,4000,3500.0,369
Odisha,Cuttack,Kendupatna,Hen,Other,FAQ,2007-03-05,2400,2400,2400.0,369
Odisha,Cuttack,Kendupatna,Hen,Other,FAQ,2007-03-23,2000,2000,2000.0,369
Odisha,Cuttack,Kendupatna,Hen,Other,FAQ,2007-03-29,2330,2330,2330.0,369
Odisha,Cuttack,Kendupatna,Hen,Other,FAQ,2007-04-01,2000,2000,2000.0,369
Odisha,Cuttack,Kendupatna,Hen,Other,FAQ,2007-04-06,2000,2000,2000.0,369
Odisha,Cuttack,Kendupatna,Hen,Other,FAQ,2007-04-14,2000,2500,2250.0,369
Odisha,Cuttack,Kendupatna,Hen,Other,FAQ,2007-04-15,4000,4000,4000.0,369
Odisha,Cuttack,Kendupatna,Hen,Other,FAQ,2007-04-18,2000,2301,2150.5,369
