State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2009-02-26,3600,4250,4250.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2009-03-24,3505,5005,5005.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2009-03-26,4500,4500,4500.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2009-04-10,3750,4550,4550.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2009-04-29,4250,4715,4715.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2009-05-08,4700,4700,4700.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2009-05-30,4705,4705,4705.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2009-06-08,3225,3225,3225.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2009-06-12,4680,4725,4725.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2009-11-02,5990,5990,5990.0,256
Gujarat,Banaskanth,Bhabhar,Isabgul (Psyllium),Isabgul (Psyllium),FAQ,2009-04-15,4250,4750,4500.0,256
Gujarat,Banaskanth,Bhabhar,Isabgul (Psyllium),Isabgul (Psyllium),FAQ,2009-04-21,4750,5350,5050.0,256
Gujarat,Banaskanth,Bhabhar,Isabgul (Psyllium),Isabgul (Psyllium),FAQ,2009-04-25,4500,5500,5000.0,256
Gujarat,Banaskanth,Bhabhar,Isabgul (Psyllium),Isabgul (Psyllium),FAQ,2009-05-02,4750,5500,5125.0,256
Gujarat,Banaskanth,Bhabhar,Isabgul (Psyllium),Isabgul (Psyllium),FAQ,2009-05-06,4750,5500,5125.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-01-02,4000,5445,4722.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-01-03,5255,5305,5280.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-01-17,4250,4750,4500.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-01-20,4000,5450,4725.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-01-21,4000,5350,4675.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-01-23,4655,5100,4877.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-01-29,3750,5105,4427.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-02-12,4890,5155,5022.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-02-19,4700,5455,5077.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-03-07,3505,4295,3900.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-04-13,4500,6155,5327.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-04-15,4500,6415,5457.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-04-23,4500,6190,5345.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-04-25,4500,6005,5252.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-05-07,4000,6200,5100.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-05-11,3750,6360,5055.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-05-15,4500,6520,5510.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-05-29,4250,6300,5275.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-06-02,4000,6285,5142.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-06-11,4500,5885,5192.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-06-27,4750,6270,5510.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-07-10,4300,5325,4822.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-07-20,4175,5860,5017.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-07-21,4625,5650,5137.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-07-28,4755,6375,5565.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-07-31,3750,5870,4810.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-08-04,5125,6180,5652.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-08-07,4000,6005,5002.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-08-20,3675,5245,4460.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-08-22,4505,5625,5065.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-08-25,4930,6230,5580.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-08-27,5300,5820,5560.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-09-03,5150,5800,5475.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-09-05,5730,5874,5800.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-09-12,4750,5875,5312.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-09-23,5590,6245,5917.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-10-05,5000,6285,5642.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-10-10,4500,6430,5465.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-10-24,5500,6315,5907.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-10-27,5000,6655,5827.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-11-07,5750,6605,6177.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-11-09,5200,6240,5720.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-11-16,5400,6580,5980.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-11-25,5750,6520,6135.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-12-03,5750,6555,6152.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-12-04,5900,6560,6230.0,256
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,2009-12-24,5000,6625,5812.0,256
