State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-01-01,1.5,3,2.5,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-01-09,0.8,2.2,1.6,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-01-12,1,2.5,2.0,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-01-14,1,2,1.5,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-01-23,1.5,3,2.5,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-01-29,1.5,3,2.0,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-01-31,1.5,3.5,2.4,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-02-24,1.5,3,2.0,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-02-27,0.5,1.5,1.0,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-03-08,0.7,2,1.0,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-03-13,0.5,1,0.9,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-03-14,0.5,1.5,1.0,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-03-26,0.5,1.5,1.0,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-04-06,0.3,1.4,0.7,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-04-10,0.5,1.5,0.9,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-04-18,1,3,1.8,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-04-22,1.5,3,2.2,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-04-28,2,5,3.0,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-05-01,2,4,3.0,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-05-07,2,3.5,2.4,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-05-08,1.8,3,2.5,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-05-14,2,4,2.2,376
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Jarbara,Jerbara,FAQ,2007-06-02,0.4,1.2,0.7,376
