State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
West Bengal,Coochbehar,Coochbehar,Jute,Other,FAQ,2007-04-13,1240,1280,1260,16
West Bengal,Coochbehar,Coochbehar,Jute,Other,FAQ,2007-06-18,1050,1125,1100,16
West Bengal,Coochbehar,Coochbehar,Jute,Other,FAQ,2007-06-25,1100,1200,1175,16
West Bengal,Coochbehar,Coochbehar,Jute,Other,FAQ,2007-06-26,1100,1200,1180,16
West Bengal,Coochbehar,Coochbehar,Jute,Other,FAQ,2007-07-02,1100,1200,1180,16
West Bengal,Coochbehar,Coochbehar,Jute,Other,FAQ,2007-07-03,1100,1200,1160,16
West Bengal,Coochbehar,Coochbehar,Jute,Other,FAQ,2007-07-18,1075,1125,1100,16
West Bengal,Coochbehar,Coochbehar,Jute,Other,FAQ,2007-07-20,1070,1140,1100,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-01-09,1490,1510,1500,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-02-06,1250,1270,1260,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-02-07,1260,1280,1270,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-02-12,1255,1295,1275,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-03-05,1240,1260,1250,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-03-06,1240,1260,1250,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-03-15,1300,1320,1310,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-03-20,1340,1360,1350,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-03-22,1320,1340,1330,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-04-18,1240,1260,1250,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-04-19,1240,1260,1250,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-05-16,1140,1160,1150,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-06-01,1310,1330,1320,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-06-08,1290,1310,1300,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-06-25,1230,1250,1240,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-08-06,1190,1210,1200,16
West Bengal,Coochbehar,Dinhata,Jute,W-5/TD-5,FAQ,2007-12-07,1250,1270,1260,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-08-10,1200,1300,1250,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-08-12,1150,1200,1175,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-08-15,1150,1200,1175,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-08-18,1300,1400,1350,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-08-23,1250,1300,1275,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-08-25,1200,1300,1250,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-09-03,1300,1400,1350,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-09-06,1250,1500,1465,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-09-10,1250,1350,1300,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-09-11,1250,1350,1300,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-09-16,1200,1300,1250,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-09-17,1100,1200,1150,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-09-21,1175,1225,1200,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-09-29,1200,1250,1225,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-09-30,1175,1225,1200,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-10-15,1200,1250,1225,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-10-19,1100,1150,1125,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-10-21,1200,1250,1225,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-10-26,1150,1250,1200,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-10-27,1200,1250,1225,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-10-28,1200,1250,1225,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-10-29,1150,1250,1200,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-11-17,1100,1150,1125,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-11-23,1100,1150,1125,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-11-25,1100,1150,1125,16
West Bengal,Coochbehar,Haldibari,Jute,TD-5,FAQ,2007-11-28,1050,1100,1075,16
West Bengal,Coochbehar,Toofanganj,Jute,TD-5,FAQ,2007-01-16,1310,1350,1325,16
West Bengal,Dakshin Dinajpur,Balurghat,Jute,TD-5,FAQ,2007-03-08,1150,1200,1175,16
West Bengal,Dakshin Dinajpur,Balurghat,Jute,TD-5,FAQ,2007-03-12,1175,1220,1190,16
West Bengal,Dakshin Dinajpur,Balurghat,Jute,TD-5,FAQ,2007-03-15,1180,1235,1200,16
West Bengal,Dakshin Dinajpur,Balurghat,Jute,TD-5,FAQ,2007-03-20,1150,1225,1175,16
West Bengal,Dakshin Dinajpur,Balurghat,Jute,TD-5,FAQ,2007-03-27,1065,1175,1150,16
West Bengal,Dakshin Dinajpur,Balurghat,Jute,TD-5,FAQ,2007-04-09,1080,1200,1150,16
West Bengal,Dakshin Dinajpur,Balurghat,Jute,TD-5,FAQ,2007-04-20,1040,1140,1125,16
West Bengal,Dakshin Dinajpur,Balurghat,Jute,TD-5,FAQ,2007-04-21,1040,1150,1100,16
West Bengal,Dakshin Dinajpur,Balurghat,Jute,TD-5,FAQ,2007-05-08,975,1070,1025,16
West Bengal,Dakshin Dinajpur,Balurghat,Jute,TD-5,FAQ,2007-05-15,875,1040,1000,16
West Bengal,Dakshin Dinajpur,Balurghat,Jute,TD-5,FAQ,2007-05-17,880,1025,990,16
West Bengal,Dakshin Dinajpur,Balurghat,Jute,TD-5,FAQ,2007-06-05,925,1050,1000,16
West Bengal,Dakshin Dinajpur,Balurghat,Jute,TD-5,FAQ,2007-06-08,950,1050,1000,16
West Bengal,Dakshin Dinajpur,Balurghat,Jute,TD-5,FAQ,2007-06-09,950,1050,1000,16
West Bengal,Dakshin Dinajpur,Balurghat,Jute,TD-5,FAQ,2007-06-14,940,1050,1030,16
West Bengal,Dakshin Dinajpur,Balurghat,Jute,TD-5,FAQ,2007-06-16,940,1050,1030,16
