State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Madhya Pradesh,Mandla,Bichhiya,Jute Seed,Other,FAQ,2007-03-19,350,350,350.0,210
West Bengal,Nadia,Nadia,Jute,TD-5,FAQ,2007-06-02 00:00:00,960,1000,980.0,16
West Bengal,Nadia,Nadia,Jute,TD-5,FAQ,2007-06-03 00:00:00,960,1000,980.0,16
West Bengal,Nadia,Nadia,Jute,TD-5,FAQ,2007-06-10 00:00:00,905,945,925.0,16
West Bengal,Nadia,Nadia,Jute,TD-5,FAQ,2007-06-13 00:00:00,905,945,925.0,16
West Bengal,Nadia,Nadia,Jute,TD-5,FAQ,2007-06-27 00:00:00,900,940,920.0,16
West Bengal,North 24 Parganas,Barasat,Jute,TD-5,FAQ,2007-03-25 00:00:00,1200,1300,1200.0,16
West Bengal,North 24 Parganas,Barasat,Jute,TD-5,FAQ,2007-03-27 00:00:00,1200,1300,1200.0,16
West Bengal,North 24 Parganas,Barasat,Jute,TD-5,FAQ,2007-03-30 00:00:00,1200,1300,1200.0,16
West Bengal,North 24 Parganas,Barasat,Jute,TD-5,FAQ,2007-04-06 00:00:00,1100,1200,1100.0,16
West Bengal,North 24 Parganas,Barasat,Jute,TD-5,FAQ,2007-04-08 00:00:00,1100,1200,1100.0,16
West Bengal,North 24 Parganas,Barasat,Jute,TD-5,FAQ,2007-05-12 00:00:00,1000,1050,1000.0,16
West Bengal,North 24 Parganas,Barasat,Jute,TD-5,FAQ,2007-05-15 00:00:00,1000,1050,1000.0,16
West Bengal,North 24 Parganas,Barasat,Jute,TD-5,FAQ,2007-05-18 00:00:00,1000,1050,1000.0,16
West Bengal,North 24 Parganas,Barasat,Jute,TD-5,FAQ,2007-05-23 00:00:00,1000,1050,1000.0,16
West Bengal,North 24 Parganas,Barasat,Jute,TD-5,FAQ,2007-06-12 00:00:00,1450,1550,1500.0,16
West Bengal,North 24 Parganas,Barasat,Jute,TD-5,FAQ,2007-06-25 00:00:00,950,1050,950.0,16
West Bengal,North 24 Parganas,Barasat,Jute,TD-5,FAQ,2007-07-05 00:00:00,850,900,850.0,16
West Bengal,North 24 Parganas,Barasat,Jute,TD-5,FAQ,2007-07-13 00:00:00,950,1000,950.0,16
West Bengal,North 24 Parganas,Barasat,Jute,TD-5,FAQ,2007-07-16 00:00:00,950,1000,950.0,16
