State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2007-11-08,200,250,230.0,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-08-01,20000,40000,30000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-08-05,10000,30000,20000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-08-11,40000,60000,50000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-08-12,20000,40000,30000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-08-14,10000,30000,20000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-08-19,20000,30000,25000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-08-25,10000,16000,13000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-08-27,10000,16000,13000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-08-30,20000,40000,30000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-09-05,20000,40000,30000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-09-06,20000,40000,30000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-09-15,8000,14000,11000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-09-29,10000,30000,20000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-10-21,20000,40000,30000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-10-22,20000,40000,30000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-10-23,20000,40000,30000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-11-21,15000,30000,22500,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-11-23,20000,30000,25000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-12-04,20000,40000,30000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-12-19,15000,25000,20000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-12-24,10000,20000,15000,230
Maharashtra,Pune,Pune,Kakada,Other,FAQ,2022-12-31,10000,20000,15000,230
Telangana,Hyderabad,Gudimalkapur,Kakada,Kakada,FAQ,2022-08-03,300,500,400,230
Telangana,Hyderabad,Gudimalkapur,Kakada,Kakada,FAQ,2022-08-05,400,800,600,230
Telangana,Hyderabad,Gudimalkapur,Kakada,Kakada,FAQ,2022-08-23,300,500,400,230
Telangana,Hyderabad,Gudimalkapur,Kakada,Kakada,FAQ,2022-08-25,200,300,250,230
Telangana,Hyderabad,Gudimalkapur,Kakada,Kakada,FAQ,2022-10-18,300,500,400,230
Telangana,Hyderabad,Gudimalkapur,Kakada,Kakada,FAQ,2022-10-29,400,600,500,230
Telangana,Hyderabad,Gudimalkapur,Kakada,Kakada,FAQ,2022-10-31,400,600,500,230
Telangana,Hyderabad,Gudimalkapur,Kakada,Kakada,FAQ,2022-11-01,200,400,300,230
Telangana,Hyderabad,Gudimalkapur,Kakada,Kakada,FAQ,2022-11-07,300,400,350,230
Telangana,Hyderabad,Gudimalkapur,Kakada,Kakada,FAQ,2022-11-11,200,400,300,230
Telangana,Hyderabad,Gudimalkapur,Kakada,Kakada,FAQ,2022-11-25,300,400,350,230
Telangana,Hyderabad,Gudimalkapur,Kakada,Kakada,FAQ,2022-12-09,300,500,400,230
Telangana,Hyderabad,Gudimalkapur,Kakada,Kakada,FAQ,2022-12-12,300,400,350,230
Telangana,Hyderabad,Gudimalkapur,Kakada,Kakada,FAQ,2022-12-20,300,500,400,230
Telangana,Hyderabad,Gudimalkapur,Kakada,Kakada,FAQ,2022-12-26,200,400,300,230
