State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-06-13,600,600,600.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-06-14,600,600,600.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-06-29,300,300,300.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-07-18,200,250,230.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-07-20,100,200,160.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-08-02,200,300,280.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-08-03,300,500,400.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-08-08,300,400,350.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-08-16,200,400,300.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-08-31,200,400,300.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-09-07,600,800,700.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-09-11,300,500,400.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-09-15,300,500,450.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-09-21,600,800,700.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-09-24,400,600,500.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-09-27,200,300,220.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-10-03,150,250,200.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-10-06,150,250,200.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-10-10,100,200,150.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-10-12,200,300,250.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-10-15,200,300,250.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-10-17,400,500,450.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-11-03,200,300,250.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-11-19,400,600,500.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-11-26,800,1200,1000.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-12-01,300,500,400.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-12-10,400,500,450.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-12-15,500,600,550.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-12-25,800,1000,900.0,233
Telangana,Hyderabad,Gudimalkapur,Kankambra,Kankambra,FAQ,2023-12-26,800,1000,900.0,233
