State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Karbuja(Musk Melon),Other,Medium,2015-06-09,1000,1060,1050,187
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Karbuja(Musk Melon),Other,Medium,2015-06-10,1200,1200,1200,187
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Karbuja(Musk Melon),Other,Medium,2015-06-16,600,660,650,187
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Karbuja(Musk Melon),Other,Medium,2015-06-17,500,500,500,187
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Karbuja(Musk Melon),Other,Medium,2015-06-18,600,660,650,187
Punjab,Sangrur,Lehra Gaga,Karbuja(Musk Melon),Other,Medium,2015-05-19,2000,2000,2000,187
Punjab,Sangrur,Lehra Gaga,Karbuja(Musk Melon),Other,Medium,2015-05-24,1000,1000,1000,187
Punjab,Sangrur,Lehra Gaga,Karbuja(Musk Melon),Other,Medium,2015-06-03,500,500,500,187
Punjab,Sangrur,Lehra Gaga,Karbuja(Musk Melon),Other,Medium,2015-06-12,500,500,500,187
Punjab,Sangrur,Lehra Gaga,Karbuja(Musk Melon),Other,Medium,2015-06-15,500,500,500,187
Punjab,Sangrur,Lehra Gaga,Karbuja(Musk Melon),Other,Medium,2015-06-16,500,500,500,187
Punjab,Sangrur,Sangrur,Karbuja(Musk Melon),Karbhuja,Large,2015-05-06,2500,2500,2500,187
Punjab,Sangrur,Sangrur,Karbuja(Musk Melon),Karbhuja,Large,2015-05-22,600,1000,800,187
Punjab,Sangrur,Sangrur,Karbuja(Musk Melon),Karbhuja,Large,2015-05-24,600,800,700,187
Punjab,Sangrur,Sangrur,Karbuja(Musk Melon),Karbhuja,Large,2015-05-29,700,1000,1000,187
Punjab,Sangrur,Sangrur,Karbuja(Musk Melon),Karbhuja,Large,2015-05-30,300,500,400,187
Punjab,Sangrur,Sangrur,Karbuja(Musk Melon),Karbhuja,Large,2015-06-07,200,500,300,187
Punjab,Sangrur,Sangrur,Karbuja(Musk Melon),Karbhuja,Large,2015-06-14,300,500,500,187
Punjab,Sangrur,Sangrur,Karbuja(Musk Melon),Karbhuja,Large,2015-06-16,150,300,200,187
Punjab,Sangrur,Sangrur,Karbuja(Musk Melon),Karbhuja,Medium,2015-06-17,200,300,300,187
Punjab,Sangrur,Sangrur,Karbuja(Musk Melon),Karbhuja,Large,2015-06-18,400,400,400,187
Punjab,Sangrur,Sangrur,Karbuja(Musk Melon),Karbhuja,Large,2015-06-19,400,500,500,187
Punjab,Sangrur,Sunam,Karbuja(Musk Melon),Other,Medium,2015-06-10,500,800,600,187
Punjab,Sangrur,Sunam,Karbuja(Musk Melon),Other,Medium,2015-06-18,500,700,600,187
Punjab,Sangrur,Sunam,Karbuja(Musk Melon),Other,Medium,2015-06-19,300,600,500,187
Punjab,Sangrur,Sunam,Karbuja(Musk Melon),Other,Medium,2015-06-21,500,800,700,187
Punjab,Tarntaran,Patti,Karbuja(Musk Melon),Other,Medium,2015-06-01,600,800,700,187
Punjab,Tarntaran,Patti,Karbuja(Musk Melon),Other,Medium,2015-06-20,300,500,400,187
Rajasthan,Ajmer,Ajmer(F&V),Karbuja(Musk Melon),Other,Small,2015-01-18,1000,1800,1500,187
Rajasthan,Ajmer,Ajmer(F&V),Karbuja(Musk Melon),Other,Small,2015-03-27,1000,1800,1600,187
Rajasthan,Ajmer,Ajmer(F&V),Karbuja(Musk Melon),Other,Small,2015-04-09,700,1800,1500,187
Rajasthan,Ajmer,Ajmer(F&V),Karbuja(Musk Melon),Other,Large,2015-05-26,500,1200,1000,187
Rajasthan,Ajmer,Ajmer(F&V),Karbuja(Musk Melon),Other,Large,2015-05-30,500,1400,1000,187
Rajasthan,Ajmer,Ajmer(F&V),Karbuja(Musk Melon),Other,Large,2015-06-06,500,1000,800,187
Rajasthan,Ajmer,Ajmer(F&V),Karbuja(Musk Melon),Other,Large,2015-06-07,500,1000,750,187
Rajasthan,Ajmer,Ajmer(F&V),Karbuja(Musk Melon),Other,Large,2015-06-15,600,1200,850,187
Rajasthan,Ajmer,Ajmer(F&V),Karbuja(Musk Melon),Other,Large,2015-06-30,500,1000,800,187
Rajasthan,Chittorgarh,Chittorgarh,Karbuja(Musk Melon),Other,Medium,2015-04-26,800,1600,1300,187
Rajasthan,Chittorgarh,Chittorgarh,Karbuja(Musk Melon),Other,Medium,2015-05-09,500,1000,800,187
Rajasthan,Chittorgarh,Chittorgarh,Karbuja(Musk Melon),Other,Medium,2015-05-19,500,1000,800,187
Rajasthan,Chittorgarh,Chittorgarh,Karbuja(Musk Melon),Other,Medium,2015-05-20,700,1000,800,187
Rajasthan,Chittorgarh,Chittorgarh,Karbuja(Musk Melon),Other,Medium,2015-05-26,500,1000,700,187
Rajasthan,Chittorgarh,Chittorgarh,Karbuja(Musk Melon),Other,Medium,2015-05-30,700,1000,800,187
Rajasthan,Chittorgarh,Chittorgarh,Karbuja(Musk Melon),Other,Medium,2015-06-08,700,1100,800,187
Rajasthan,Chittorgarh,Chittorgarh,Karbuja(Musk Melon),Other,Medium,2015-06-11,500,1100,800,187
Rajasthan,Chittorgarh,Chittorgarh,Karbuja(Musk Melon),Other,Medium,2015-06-19,600,1000,800,187
Rajasthan,Chittorgarh,Chittorgarh,Karbuja(Musk Melon),Other,Medium,2015-06-28,1000,1500,1200,187
Rajasthan,Ganganagar,Sriganganagar (F&V),Karbuja(Musk Melon),Other,Medium,2015-04-25,1500,1500,1500,187
Rajasthan,Ganganagar,Sriganganagar (F&V),Karbuja(Musk Melon),Other,Medium,2015-05-10,1000,1000,1000,187
Rajasthan,Ganganagar,Sriganganagar (F&V),Karbuja(Musk Melon),Other,Medium,2015-05-12,1600,1600,1600,187
Rajasthan,Ganganagar,Sriganganagar (F&V),Karbuja(Musk Melon),Other,Medium,2015-05-19,800,800,800,187
Rajasthan,Ganganagar,Sriganganagar (F&V),Karbuja(Musk Melon),Other,Medium,2015-06-03,600,600,600,187
Rajasthan,Ganganagar,Sriganganagar (F&V),Karbuja(Musk Melon),Other,Medium,2015-06-04,600,600,600,187
Rajasthan,Ganganagar,Sriganganagar (F&V),Karbuja(Musk Melon),Other,Medium,2015-06-10,800,800,800,187
Rajasthan,Ganganagar,Sriganganagar (F&V),Karbuja(Musk Melon),Other,Medium,2015-06-17,300,300,300,187
Rajasthan,Ganganagar,Sriganganagar (F&V),Karbuja(Musk Melon),Other,Medium,2015-06-23,600,600,600,187
Rajasthan,Ganganagar,Sriganganagar (F&V),Karbuja(Musk Melon),Other,Medium,2015-06-24,600,600,600,187
Rajasthan,Jalore,Jalore,Karbuja(Musk Melon),Other,Medium,2015-04-23,2000,3000,2500,187
Rajasthan,Jalore,Jalore,Karbuja(Musk Melon),Other,Medium,2015-04-27,1500,2200,1800,187
Rajasthan,Jalore,Jalore,Karbuja(Musk Melon),Other,Medium,2015-05-02,1500,2200,1800,187
Rajasthan,Jodhpur,Jodhpur (F&V),Karbuja(Musk Melon),Other,Medium,2015-04-25,400,800,600,187
Rajasthan,Jodhpur,Jodhpur (F&V),Karbuja(Musk Melon),Other,Medium,2015-05-05,1000,1200,1100,187
Rajasthan,Jodhpur,Jodhpur (F&V),Karbuja(Musk Melon),Other,Medium,2015-05-07,800,1000,900,187
Rajasthan,Jodhpur,Jodhpur (F&V),Karbuja(Musk Melon),Other,Medium,2015-05-22,400,800,600,187
Rajasthan,Jodhpur,Jodhpur (F&V),Karbuja(Musk Melon),Other,Medium,2015-06-11,300,700,500,187
Rajasthan,Jodhpur,Jodhpur (F&V),Karbuja(Musk Melon),Other,Medium,2015-06-17,400,600,500,187
Rajasthan,Kota,Kota (F&V),Karbuja(Musk Melon),Other,Medium,2015-01-11,3200,3500,3250,187
Rajasthan,Kota,Kota (F&V),Karbuja(Musk Melon),Other,Large,2015-04-08,1000,3000,2000,187
Rajasthan,Kota,Kota (F&V),Karbuja(Musk Melon),Other,Large,2015-04-18,1200,2000,1600,187
Rajasthan,Kota,Kota (F&V),Karbuja(Musk Melon),Other,Large,2015-04-21,1000,1600,1300,187
Rajasthan,Kota,Kota (F&V),Karbuja(Musk Melon),Other,Large,2015-04-29,800,2200,1500,187
Rajasthan,Kota,Kota (F&V),Karbuja(Musk Melon),Other,Large,2015-04-30,600,1000,800,187
Rajasthan,Kota,Kota (F&V),Karbuja(Musk Melon),Other,Large,2015-05-05,800,3000,1900,187
Rajasthan,Kota,Kota (F&V),Karbuja(Musk Melon),Other,Large,2015-05-10,700,1500,1100,187
Rajasthan,Kota,Kota (F&V),Karbuja(Musk Melon),Other,Large,2015-05-13,800,1600,1200,187
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Karbuja(Musk Melon),Other,Medium,2015-02-25,1500,2000,1800,187
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Karbuja(Musk Melon),Other,Medium,2015-03-02,2500,3500,3200,187
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Karbuja(Musk Melon),Other,Medium,2015-03-09,2000,3000,2800,187
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Karbuja(Musk Melon),Other,Medium,2015-03-10,2000,3000,2800,187
