State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-01-08,5000,6200,5600.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-01-09,5000,6000,5500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-01-17,4000,6000,5000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-01-30,5000,6000,5500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-02-04,5000,6000,5500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-02-06,5000,7000,6000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-02-08,5500,6500,6000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-02-17,5000,6000,5500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-02-18,6500,7500,7000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-02-26,5500,6500,6000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-02-28,5500,6500,6000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-03-01,6000,7000,6500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-03-10,6000,7000,6500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-03-22,5500,6500,6000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-03-25,5500,6500,6000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-04-04,5500,6500,6000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-04-08,5500,6500,6000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-04-17,6000,7000,6500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-04-25,5000,6000,5500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-05-02,6000,7000,6500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-05-04,6000,7000,6500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-05-07,7000,8000,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-05-12,6000,8000,7000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-05-20,6000,7000,6500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-05-30,6000,7000,6500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-06-01,6000,7500,6700.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-06-03,6000,7000,6500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-06-16,7000,8000,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-06-17,5500,6500,6000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-06-18,6000,7500,6700.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-06-26,5500,7500,6500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-06-30,7000,9000,8000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-07-06,6000,8000,7000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-07-16,7000,8000,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-07-17,7000,8000,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-07-19,6500,7500,7000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-07-22,6000,7500,6800.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-08-01,6500,8000,7300.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-08-12,6000,8000,7000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-08-22,5000,7000,6000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-09-09,6000,7000,6500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-09-10,5000,7000,6000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-09-19,5000,7000,6000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-09-24,6000,7000,6500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-09-27,7000,8000,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-09-30,7000,8000,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-10-04,6000,8000,7000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-10-12,6000,7000,6500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-10-20,6000,8000,7000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-10-21,5500,6500,6000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-10-25,6000,7000,6500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-10-26,6000,7000,6500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-11-14,5000,6000,5600.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-11-17,4500,5000,4700.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-11-21,4800,6000,5400.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-11-27,5000,6000,5500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-11-28,4000,6000,5000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-11-29,5000,6000,5500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-12-05,6500,7500,7000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-12-17,6500,7000,6800.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-12-21,5000,6500,5700.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Dhap,FAQ,2006-12-25,5200,6400,5800.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-01-04,6500,7600,7000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-01-11,6500,8500,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-01-15,7000,8300,7600.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-01-19,7000,8000,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-01-23,7200,8500,7800.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-01-25,6500,8000,7200.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-01-27,7000,8500,7700.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-01-28,5000,7500,6200.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-02-03,7000,8000,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-02-05,6000,8000,7000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-02-06,6000,8000,7000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-02-08,6000,8000,7000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-02-26,7000,8000,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-03-03,7000,9000,8000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-03-07,8000,9000,8500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-03-09,7500,8500,8000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-03-29,6000,7000,6500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-04-04,7000,8000,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-04-06,5500,7000,6300.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-04-07,7000,8000,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-04-08,6800,7800,7300.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-04-09,7000,8000,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-04-10,6500,7500,7000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-04-14,7000,8000,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-04-16,7500,8500,8000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-04-19,9000,9500,9200.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-04-29,7000,8500,7700.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-04-30,8000,9500,8600.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-05-02,9000,10000,9500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-05-15,8500,10000,9200.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-05-22,7000,8000,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-05-23,7000,8500,7700.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-05-28,8000,10500,9200.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-07-02,8500,9500,9000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-07-05,9000,10000,9500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-07-11,8000,9000,8500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-07-14,8000,9500,8600.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-07-19,8000,9500,8800.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-07-21,8000,10000,9000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-07-27,7000,8000,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-08-11,9000,10000,9500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-08-15,8000,9000,8500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-08-23,7000,8000,7500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-08-26,7000,9000,8000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-08-27,7500,9000,8200.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-08-28,7500,9500,8500.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-09-04,6000,8000,7000.0,372
NCT of Delhi,Delhi,"Khoya Market, Kashmiri Gate",Khoya,Pindi,FAQ,2006-09-09,7500,8500,8000.0,372
