State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Punjab,Patiala,Samana,Kinnow,Kinnow,Medium,2021-01-04,800,1400,1200,336
Punjab,Patiala,Samana,Kinnow,Kinnow,Medium,2021-01-05,1000,1400,1200,336
Punjab,Patiala,Samana,Kinnow,Kinnow,Medium,2021-01-06,1000,1500,1200,336
Punjab,Patiala,Samana,Kinnow,Kinnow,Medium,2021-01-23,1000,1500,1200,336
Punjab,Patiala,Samana,Kinnow,Kinnow,Medium,2021-01-31,1000,1500,1400,336
Punjab,Patiala,Samana,Kinnow,Kinnow,Medium,2021-02-18,1200,1500,1400,336
Punjab,Patiala,Samana,Kinnow,Kinnow,Medium,2021-03-29,1000,1500,1200,336
Punjab,Patiala,Samana,Kinnow,Kinnow,Medium,2021-11-22,2500,3000,2500,336
Punjab,Patiala,Samana,Kinnow,Kinnow,Medium,2021-11-30,1400,2000,1800,336
Punjab,Patiala,Samana,Kinnow,Kinnow,Medium,2021-12-25,2200,2800,2400,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Large,2021-01-02,1300,1400,1350,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Large,2021-01-08,1400,1500,1450,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Large,2021-01-14,1100,1200,1150,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Large,2021-01-19,1200,1300,1250,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Large,2021-01-25,1300,1400,1350,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Large,2021-01-26,1300,1400,1350,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Medium,2021-02-02,1400,1500,1450,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Large,2021-02-04,1400,1500,1450,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Large,2021-02-05,1400,1500,1450,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Medium,2021-02-13,1600,1700,1650,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Large,2021-02-16,1200,1300,1250,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Large,2021-02-18,1400,1500,1450,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Large,2021-02-25,1500,1600,1550,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Large,2021-02-27,1500,1600,1550,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Large,2021-03-02,1400,1500,1450,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Large,2021-03-04,1300,1400,1350,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Medium,2021-03-08,2500,2600,2550,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Medium,2021-03-10,2500,2600,2550,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Large,2021-03-15,2100,2200,2150,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Medium,2021-11-16,2100,2200,2150,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Medium,2021-11-17,2100,2200,2150,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Medium,2021-12-02,1900,2000,1950,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Medium,2021-12-07,1900,2000,1950,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Medium,2021-12-08,1900,2000,1950,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Medium,2021-12-10,2400,2500,2450,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Medium,2021-12-21,2400,2500,2450,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Medium,2021-12-29,3400,3500,3450,336
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Kinnow,Other,Medium,2021-12-31,3200,3300,3250,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Large,2021-01-07,1400,1700,1600,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Medium,2021-01-09,1400,1400,1400,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Medium,2021-01-14,1200,1200,1200,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Medium,2021-01-15,1300,1300,1300,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Medium,2021-01-18,1400,1400,1400,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Medium,2021-01-19,1400,1400,1400,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Medium,2021-02-04,1300,1300,1300,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Medium,2021-02-09,1500,1500,1500,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Medium,2021-02-12,1500,1500,1500,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Medium,2021-02-18,1650,1650,1650,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Medium,2021-02-22,1450,1450,1450,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Medium,2021-02-24,1800,1800,1800,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Medium,2021-03-03,1600,1600,1600,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Medium,2021-03-16,2800,2800,2800,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Medium,2021-04-06,3800,3800,3800,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Medium,2021-04-07,4000,4000,4000,336
Punjab,Ropar (Rupnagar),Morinda,Kinnow,Kinnow,Medium,2021-04-08,3800,3800,3800,336
Punjab,Ropar (Rupnagar),Ropar,Kinnow,Other,Medium,2021-01-01,1500,1500,1500,336
Punjab,Ropar (Rupnagar),Ropar,Kinnow,Other,Medium,2021-01-05,1200,1300,1200,336
Punjab,Ropar (Rupnagar),Ropar,Kinnow,Other,Medium,2021-01-06,1000,2000,1500,336
Punjab,Ropar (Rupnagar),Ropar,Kinnow,Other,Medium,2021-01-11,1000,1400,1000,336
Punjab,Ropar (Rupnagar),Ropar,Kinnow,Other,Medium,2021-01-23,1000,1500,1200,336
Punjab,Ropar (Rupnagar),Ropar,Kinnow,Other,Medium,2021-02-01,1500,1600,1500,336
Punjab,Ropar (Rupnagar),Ropar,Kinnow,Other,Medium,2021-02-02,1500,3000,1800,336
Punjab,Ropar (Rupnagar),Ropar,Kinnow,Other,Medium,2021-02-10,1400,1700,1400,336
Punjab,Ropar (Rupnagar),Ropar,Kinnow,Other,Medium,2021-03-04,1500,2000,1800,336
Punjab,Ropar (Rupnagar),Ropar,Kinnow,Other,Medium,2021-03-09,1500,1600,1500,336
Punjab,Ropar (Rupnagar),Ropar,Kinnow,Other,Medium,2021-03-11,1400,1600,1400,336
Punjab,Ropar (Rupnagar),Ropar,Kinnow,Other,Medium,2021-03-15,2000,3000,2500,336
Punjab,Ropar (Rupnagar),Ropar,Kinnow,Other,Medium,2021-03-16,2000,2000,2000,336
Punjab,Ropar (Rupnagar),Ropar,Kinnow,Other,Medium,2021-03-17,2000,2000,2000,336
Punjab,Ropar (Rupnagar),Ropar,Kinnow,Other,Medium,2021-03-20,2000,2800,2500,336
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Kinnow,Kinnow,Medium,2021-12-03,3400,4200,3800,336
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Kinnow,Kinnow,Medium,2021-12-07,3200,4200,3700,336
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Kinnow,Kinnow,Medium,2021-12-08,3200,4200,3700,336
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Kinnow,Kinnow,Medium,2021-12-18,3500,4000,3750,336
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Kinnow,Kinnow,Medium,2021-12-24,3500,4200,3850,336
Himachal Pradesh,Kangra,Kangra(Jassour),Kinnow,Other,Medium,2021-01-02,500,2000,1250,336
Himachal Pradesh,Kangra,Kangra(Jassour),Kinnow,Other,Medium,2021-01-05,500,2000,1250,336
Himachal Pradesh,Kangra,Kangra(Jassour),Kinnow,Other,Medium,2021-01-19,500,2200,1350,336
Himachal Pradesh,Kangra,Kangra(Jassour),Kinnow,Other,Medium,2021-01-25,1500,2000,1750,336
Himachal Pradesh,Kangra,Kangra(Jassour),Kinnow,Other,Medium,2021-02-02,1000,1800,1400,336
Himachal Pradesh,Kangra,Kangra(Jassour),Kinnow,Other,Medium,2021-02-24,800,1800,1300,336
Himachal Pradesh,Kangra,Kangra(Jassour),Kinnow,Other,Medium,2021-03-09,1000,3000,2000,336
Himachal Pradesh,Kangra,Kangra(Jassour),Kinnow,Other,Medium,2021-03-23,1000,4000,2500,336
Himachal Pradesh,Kangra,Kangra(Jassour),Kinnow,Other,Medium,2021-03-27,1500,4000,2750,336
