State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Madhya Pradesh,Jabalpur,Shahpura(Jabalpur),Kulthi(Horse Gram),Other,FAQ,2007-08-23,1770,2100,1770,114
Madhya Pradesh,Jabalpur,Shahpura(Jabalpur),Kulthi(Horse Gram),Other,FAQ,2007-08-24,2500,2500,2500,114
Madhya Pradesh,Jabalpur,Shahpura(Jabalpur),Kulthi(Horse Gram),Other,FAQ,2007-08-27,2271,2271,2271,114
Madhya Pradesh,Jabalpur,Shahpura(Jabalpur),Kulthi(Horse Gram),Other,FAQ,2007-09-10,2100,2100,2100,114
Madhya Pradesh,Jabalpur,Shahpura(Jabalpur),Kulthi(Horse Gram),Other,FAQ,2007-09-22,2045,2075,2060,114
Madhya Pradesh,Jabalpur,Shahpura(Jabalpur),Kulthi(Horse Gram),Other,FAQ,2007-09-23,2120,2130,2125,114
Madhya Pradesh,Jabalpur,Shahpura(Jabalpur),Kulthi(Horse Gram),Other,FAQ,2007-09-25,2175,2225,2201,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-01-02,2121,2351,2351,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-01-10,2180,2391,2390,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-01-15,2152,2371,2371,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-01-22,2170,2410,2410,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-01-25,2249,2400,2400,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-02-03,2080,2956,2280,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-02-07,1991,2834,2159,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-02-23,1771,3180,1870,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-03-05,1692,2770,1841,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-03-12,1800,2941,1917,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-03-17,2600,2736,2701,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-04-16,2059,2914,2280,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-04-17,2110,2904,2270,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-04-26,2000,2823,2219,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-06-20,1974,2629,2130,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-07-05,2060,2892,2260,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-07-06,1994,2960,2200,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-07-26,2044,2781,2270,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-08-04,1967,2716,2140,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-08-06,1901,2600,2090,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-08-16,1992,2800,2169,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-08-17,1989,2767,2200,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-08-29,2650,2712,2712,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-08-30,2000,2771,2204,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-08-31,1651,2800,1780,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-09-03,1980,2764,2182,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-09-05,1980,2731,2190,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-09-10,2502,2690,2674,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-09-14,1931,2876,2134,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-09-16,1799,2887,1981,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-10-08,2765,2878,2878,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-10-22,2079,2975,2302,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-10-25,1982,2980,2200,114
Madhya Pradesh,Mandsaur,Mandsaur,Kulthi(Horse Gram),Other,FAQ,2007-10-27,1900,2990,2100,114
Madhya Pradesh,Sagar,Bamora,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-03-13,1870,1970,1930,114
Madhya Pradesh,Sagar,Bamora,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-03-22,2132,2415,2180,114
Madhya Pradesh,Sagar,Bamora,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-04-07,2100,2231,2190,114
Madhya Pradesh,Sagar,Bamora,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-04-09,2100,2211,2195,114
Madhya Pradesh,Sagar,Bamora,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-04-12,2200,2285,2260,114
Madhya Pradesh,Sagar,Bamora,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-04-20,2160,2245,2225,114
Madhya Pradesh,Sagar,Bamora,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-05-03,2100,2225,2175,114
Madhya Pradesh,Sagar,Bamora,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-05-11,2065,2197,2115,114
Madhya Pradesh,Sagar,Bamora,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-05-12,2020,2193,2135,114
Madhya Pradesh,Sagar,Bamora,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-05-15,2050,3139,2139,114
Madhya Pradesh,Sagar,Bamora,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-06-18,1926,2075,2060,114
Madhya Pradesh,Sagar,Deori,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-02-23,1600,1600,1600,114
Madhya Pradesh,Sagar,Deori,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-02-26,1650,1800,1700,114
Madhya Pradesh,Sagar,Deori,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-03-13,1800,1800,1800,114
Madhya Pradesh,Sagar,Deori,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-07-06,2000,2000,2000,114
Madhya Pradesh,Sagar,Deori,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-08-20,1900,1900,1900,114
Madhya Pradesh,Sagar,Deori,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-08-27,1950,1950,1950,114
Madhya Pradesh,Sagar,Deori,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-09-13,1900,1900,1900,114
Madhya Pradesh,Sagar,Deori,Kulthi(Horse Gram),Horse gram (Whole),FAQ,2007-10-08,1850,2100,1900,114
