State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Thane,Kalyan,Little gourd (Kundru),Other,FAQ,2017-10-27,2000,2500,2250,302
Maharashtra,Thane,Kalyan,Little gourd (Kundru),Other,FAQ,2017-10-31,1500,3000,2250,302
Maharashtra,Thane,Kalyan,Little gourd (Kundru),Other,FAQ,2017-11-01,1600,3000,2300,302
Maharashtra,Thane,Kalyan,Little gourd (Kundru),Other,FAQ,2017-11-05,1600,3200,2400,302
Maharashtra,Thane,Kalyan,Little gourd (Kundru),Other,FAQ,2017-11-06,3200,3600,3400,302
Maharashtra,Thane,Kalyan,Little gourd (Kundru),Other,FAQ,2017-11-09,3200,3600,3400,302
Maharashtra,Thane,Kalyan,Little gourd (Kundru),Other,FAQ,2017-11-17,2400,2600,2500,302
Maharashtra,Thane,Kalyan,Little gourd (Kundru),Other,FAQ,2017-12-17,3200,3500,3350,302
Maharashtra,Thane,Kalyan,Little gourd (Kundru),Other,FAQ,2017-12-27,1600,2500,2000,302
Maharashtra,Thane,Kalyan,Little gourd (Kundru),Other,FAQ,2017-12-28,1400,3000,2200,302
Odisha,Balasore,Bampada,Little gourd (Kundru),Other,FAQ,2017-06-16,1000,1100,1050,302
Odisha,Balasore,Bampada,Little gourd (Kundru),Other,FAQ,2017-11-05,250,2700,2600,302
Odisha,Balasore,Bampada,Little gourd (Kundru),Other,FAQ,2017-11-24,250,2700,2600,302
Odisha,Balasore,Barikpur,Little gourd (Kundru),Other,FAQ,2017-06-06,1000,1200,1100,302
Odisha,Balasore,Barikpur,Little gourd (Kundru),Other,FAQ,2017-11-01,2500,2700,2600,302
Odisha,Balasore,Barikpur,Little gourd (Kundru),Other,FAQ,2017-11-23,2000,2300,2200,302
Odisha,Balasore,Nilagiri,Little gourd (Kundru),Other,FAQ,2017-06-04,700,750,750,302
Odisha,Balasore,Nilagiri,Little gourd (Kundru),Other,FAQ,2017-06-08,750,800,750,302
Odisha,Balasore,Nilagiri,Little gourd (Kundru),Other,FAQ,2017-06-23,1600,1600,1600,302
Odisha,Balasore,Nilagiri,Little gourd (Kundru),Other,FAQ,2017-06-26,1200,1400,1300,302
Odisha,Balasore,Nilagiri,Little gourd (Kundru),Other,FAQ,2017-07-05,1400,1600,1500,302
Odisha,Balasore,Nilagiri,Little gourd (Kundru),Other,FAQ,2017-07-07,1200,1300,1200,302
Odisha,Balasore,Nilagiri,Little gourd (Kundru),Other,FAQ,2017-07-16,1000,1200,1100,302
Odisha,Balasore,Nilagiri,Little gourd (Kundru),Other,FAQ,2017-07-25,1100,1200,1100,302
Odisha,Balasore,Nilagiri,Little gourd (Kundru),Other,FAQ,2017-08-20,1400,1600,1500,302
Odisha,Balasore,Nilagiri,Little gourd (Kundru),Other,FAQ,2017-09-05,1400,1600,1500,302
Odisha,Balasore,Nilagiri,Little gourd (Kundru),Other,FAQ,2017-09-06,1400,1600,1500,302
Odisha,Balasore,Nilagiri,Little gourd (Kundru),Other,FAQ,2017-09-10,1100,1200,1200,302
Odisha,Balasore,Nilagiri,Little gourd (Kundru),Other,FAQ,2017-09-16,1000,1200,1100,302
Odisha,Balasore,Nilagiri,Little gourd (Kundru),Other,FAQ,2017-09-20,1000,1200,1100,302
Odisha,Balasore,Nilagiri,Little gourd (Kundru),Other,FAQ,2017-10-11,1200,1300,1200,302
Odisha,Balasore,Nilagiri,Little gourd (Kundru),Other,FAQ,2017-10-18,1000,1100,1100,302
Odisha,Bargarh,Attabira,Little gourd (Kundru),Other,FAQ,2017-03-06,1500,2000,2000,302
Odisha,Bargarh,Attabira,Little gourd (Kundru),Other,FAQ,2017-03-20,1200,1500,1500,302
Odisha,Bargarh,Attabira,Little gourd (Kundru),Other,FAQ,2017-04-10,1800,2000,2000,302
Odisha,Bargarh,Attabira,Little gourd (Kundru),Other,FAQ,2017-05-08,1500,2000,2000,302
Odisha,Bargarh,Attabira,Little gourd (Kundru),Other,FAQ,2017-06-05,1800,2000,1800,302
Odisha,Bargarh,Attabira,Little gourd (Kundru),Other,FAQ,2017-09-18,1500,2000,2000,302
Odisha,Bargarh,Attabira,Little gourd (Kundru),Other,FAQ,2017-12-18,2000,2500,2500,302
Odisha,Bargarh,Godabhaga,Little gourd (Kundru),Other,FAQ,2017-01-26,1800,2000,2000,302
Odisha,Bargarh,Godabhaga,Little gourd (Kundru),Other,FAQ,2017-08-17,1800,2000,1800,302
Odisha,Bargarh,Godabhaga,Little gourd (Kundru),Other,FAQ,2017-09-14,1800,2000,2000,302
Odisha,Bargarh,Godabhaga,Little gourd (Kundru),Other,FAQ,2017-10-26,1800,2000,2000,302
Odisha,Bargarh,Godabhaga,Little gourd (Kundru),Other,FAQ,2017-12-21,1500,2000,2000,302
Odisha,Bolangir,Kantabaji,Little gourd (Kundru),Other,FAQ,2017-06-19,2000,3000,3000,302
Odisha,Bolangir,Kantabaji,Little gourd (Kundru),Other,FAQ,2017-07-19,3000,3000,3000,302
Odisha,Bolangir,Kantabaji,Little gourd (Kundru),Other,FAQ,2017-07-21,2000,3000,3000,302
Odisha,Bolangir,Kantabaji,Little gourd (Kundru),Other,FAQ,2017-07-28,2000,3000,3000,302
Odisha,Bolangir,Kantabaji,Little gourd (Kundru),Other,FAQ,2017-08-02,2000,3000,3000,302
Odisha,Bolangir,Kantabaji,Little gourd (Kundru),Other,FAQ,2017-08-03,3000,3000,3000,302
Odisha,Bolangir,Kantabaji,Little gourd (Kundru),Other,FAQ,2017-08-04,3000,4000,4000,302
Odisha,Bolangir,Kantabaji,Little gourd (Kundru),Other,FAQ,2017-08-31,3000,4000,4000,302
Odisha,Bolangir,Kantabaji,Little gourd (Kundru),Other,FAQ,2017-10-20,3000,4000,4000,302
Odisha,Bolangir,Kantabaji,Little gourd (Kundru),Other,FAQ,2017-11-15,3000,4000,4000,302
Odisha,Bolangir,Kantabaji,Little gourd (Kundru),Other,FAQ,2017-11-23,2000,3000,3000,302
Odisha,Boudh,Boudh,Little gourd (Kundru),Other,FAQ,2017-04-26,3000,3000,3000,302
Odisha,Boudh,Boudh,Little gourd (Kundru),Other,FAQ,2017-04-27,3000,3000,3000,302
Odisha,Boudh,Boudh,Little gourd (Kundru),Other,FAQ,2017-04-30,3000,3000,3000,302
Odisha,Boudh,Boudh,Little gourd (Kundru),Other,FAQ,2017-05-08,2000,3000,2000,302
