State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2017-03-22,15,24,20.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2017-05-18,1,4,3.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2017-05-20,2,4,3.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2017-05-25,1,3,2.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2017-05-28,0.5,2,1.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2017-06-07,1,3,2.1,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2017-06-30,1,3,2.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2017-07-01,1,3,2.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2017-08-01,2,5,3.5,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2017-09-30,1,2,1.6,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2017-10-02,1,2,1.5,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2017-10-07,1,3,2.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2017-11-06,1,4,3.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2017-11-12,3,7,6.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2017-11-13,3,6,5.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2017-12-03,3,5,4.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-01-04,10,18,15.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-03-06,5,10,8.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-03-08,8,12,10.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-03-18,5,10,8.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-03-19,4,10,7.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-08-10,4,8,7.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-08-15,5,10,8.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-08-16,4,6,5.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-08-29,4,5,4.6,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-09-17,1,2,1.6,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-10-01,1,2,1.5,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-10-10,1,2,1.6,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-10-14,2,4,3.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-11-02,10,15,13.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-11-10,15,30,25.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-11-19,8,12,10.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-11-21,5,15,10.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-11-30,10,14,12.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-12-01,8,12,10.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-12-04,8,12,10.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-12-05,9,11,10.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-12-10,8,12,11.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-12-13,15,20,18.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-12-16,8,15,12.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2020-12-25,10,20,15.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-02-05,5,8,7.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-02-07,6,9,8.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-02-09,4,7,6.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-02-10,5,9,8.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-02-17,6,15,12.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-03-05,8,15,12.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-03-11,8,15,12.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-03-22,5,15,12.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-04-07,7,10,8.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-05-01,5,10,8.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-05-07,4,8,7.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-05-08,5,7,6.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-06-01,1,5,4.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-07-07,1,3,2.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-08-02,2,3,2.5,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-09-01,3,6,5.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-09-06,1,3,2.0,403
NCT of Delhi,Delhi,"Flower Market,Gazipur",Lotus,Other,FAQ,2015-10-01,1,2,1.5,403
