State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Madhya Pradesh,Mandla,Mandla,Lotus Sticks,Lotus Sticks,FAQ,2007-02-28,2220,2805,2805,339
Madhya Pradesh,Mandla,Mandla,Lotus Sticks,Lotus Sticks,FAQ,2007-03-10,1733,3100,3100,339
Madhya Pradesh,Mandla,Mandla,Lotus Sticks,Lotus Sticks,FAQ,2007-12-17,4870,4870,4870,339
Madhya Pradesh,Mandla,Mandla,Lotus Sticks,Lotus Sticks,FAQ,2007-12-19,4791,5132,5132,339
Madhya Pradesh,Morena,Kailaras,Lotus Sticks,Lotus Sticks,FAQ,2007-10-27,600,600,600,339
Madhya Pradesh,Morena,Kailaras,Lotus Sticks,Lotus Sticks,FAQ,2007-10-30,500,500,500,339
Madhya Pradesh,Morena,Kailaras,Lotus Sticks,Lotus Sticks,FAQ,2007-11-14,500,500,500,339
Madhya Pradesh,Morena,Kailaras,Lotus Sticks,Lotus Sticks,FAQ,2007-11-21,500,500,500,339
Madhya Pradesh,Morena,Kailaras,Lotus Sticks,Lotus Sticks,FAQ,2007-11-28,500,500,500,339
Madhya Pradesh,Morena,Kailaras,Lotus Sticks,Lotus Sticks,FAQ,2007-12-03,500,500,500,339
Madhya Pradesh,Morena,Kailaras,Lotus Sticks,Lotus Sticks,FAQ,2007-12-04,500,500,500,339
Madhya Pradesh,Morena,Morena,Lotus Sticks,Lotus Sticks,FAQ,2007-10-09,700,700,700,339
Madhya Pradesh,Morena,Morena,Lotus Sticks,Lotus Sticks,FAQ,2007-10-19,700,700,700,339
Madhya Pradesh,Morena,Morena,Lotus Sticks,Lotus Sticks,FAQ,2007-11-19,500,500,500,339
Madhya Pradesh,Morena,Porsa,Lotus Sticks,Lotus Sticks,FAQ,2007-10-27,600,600,600,339
Madhya Pradesh,Morena,Porsa,Lotus Sticks,Lotus Sticks,FAQ,2007-11-20,500,500,500,339
Madhya Pradesh,Morena,Porsa,Lotus Sticks,Lotus Sticks,FAQ,2007-12-03,500,500,500,339
Madhya Pradesh,Morena,Sabalgarh,Lotus Sticks,Lotus Sticks,FAQ,2007-10-09,700,700,700,339
Madhya Pradesh,Morena,Sabalgarh,Lotus Sticks,Lotus Sticks,FAQ,2007-10-25,600,600,600,339
Madhya Pradesh,Morena,Sabalgarh,Lotus Sticks,Lotus Sticks,FAQ,2007-10-30,500,500,500,339
Madhya Pradesh,Morena,Sabalgarh,Lotus Sticks,Lotus Sticks,FAQ,2007-11-28,500,500,500,339
Madhya Pradesh,Narsinghpur,Gadarwada,Lotus Sticks,Lotus Sticks,FAQ,2007-01-11,2985,3571,3450,339
