State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
West Bengal,Medinipur(E),Tamluk (Medinipur E),Marigold(Calcutta),Other,FAQ,2007-03-02,1200,1400,1300,235
West Bengal,Medinipur(E),Tamluk (Medinipur E),Marigold(Calcutta),Other,FAQ,2007-03-09,250,400,300,235
West Bengal,Medinipur(E),Tamluk (Medinipur E),Marigold(Calcutta),Other,FAQ,2007-03-21,200,400,300,235
West Bengal,Medinipur(E),Tamluk (Medinipur E),Marigold(Calcutta),Other,FAQ,2007-11-30,2500,3500,3000,235
West Bengal,Medinipur(E),Tamluk (Medinipur E),Marigold(Calcutta),Other,FAQ,2007-12-02,2500,3500,3000,235
West Bengal,Medinipur(E),Tamluk (Medinipur E),Marigold(Calcutta),Other,FAQ,2007-12-14,1800,2500,2000,235
Andhra Pradesh,Visakhapatnam,Paderu,Marigold(Calcutta),Other,FAQ,2007-11-06,400,600,500.0,235
Andhra Pradesh,Visakhapatnam,Paderu,Marigold(Calcutta),Other,FAQ,2007-11-17,600,800,700.0,235
Maharashtra,Pune,Manchar,Marigold(Calcutta),Other,FAQ,2007-01-05,800,800,800.0,235
Maharashtra,Pune,Manchar,Marigold(Calcutta),Other,FAQ,2007-01-14,1000,1000,1000.0,235
Maharashtra,Pune,Manchar,Marigold(Calcutta),Other,FAQ,2007-01-16,800,1000,900.0,235
Maharashtra,Pune,Manchar,Marigold(Calcutta),Other,FAQ,2007-02-26,600,1000,800.0,235
Maharashtra,Pune,Manchar,Marigold(Calcutta),Other,FAQ,2007-03-20,700,1500,1100.0,235
Maharashtra,Pune,Manchar,Marigold(Calcutta),Other,FAQ,2007-04-02,600,1100,800.0,235
Maharashtra,Pune,Manchar,Marigold(Calcutta),Other,FAQ,2007-04-04,700,1200,950.0,235
Maharashtra,Pune,Manchar,Marigold(Calcutta),Other,FAQ,2007-04-09,800,1100,950.0,235
Maharashtra,Pune,Manchar,Marigold(Calcutta),Other,FAQ,2007-04-15,1500,1500,1500.0,235
Maharashtra,Pune,Manchar,Marigold(Calcutta),Other,FAQ,2007-04-16,1300,2000,1650.0,235
Maharashtra,Pune,Manchar,Marigold(Calcutta),Other,FAQ,2007-04-17,1200,1500,1350.0,235
Maharashtra,Pune,Manchar,Marigold(Calcutta),Other,FAQ,2007-07-19,600,1000,800.0,235
Maharashtra,Pune,Manchar,Marigold(Calcutta),Other,FAQ,2007-08-01,500,500,500.0,235
Maharashtra,Pune,Manchar,Marigold(Calcutta),Other,FAQ,2007-08-02,500,500,500.0,235
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Marigold(Calcutta),Marigold(Calcutta),FAQ,2007-01-06,4.5,6,5.0,235
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Marigold(Calcutta),Marigold(Calcutta),FAQ,2007-01-11,4,6.25,5.5,235
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Marigold(Calcutta),Marigold(Calcutta),FAQ,2007-01-15,5,6.25,5.5,235
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Marigold(Calcutta),Marigold(Calcutta),FAQ,2007-01-16,4,5.5,5.0,235
